cohort	sample1	sample2	delta	discordance
bcm_snp_breast	BCM_PDX_0002-P1_IlluminaSNP	BCM_PDX_0002-P18_IlluminaSNP	17	0.17074954296160877
bcm_snp_breast	BCM_PDX_2147-P2_IlluminaSNP	BCM_PDX_2147-P19_IlluminaSNP	17	0.04963235294117647
bcm_snp_breast	BCM_PDX_2665-P1_IlluminaSNP	BCM_PDX_2665-P19_IlluminaSNP	18	0.21441639224295647
bcm_snp_breast	BCM_PDX_3469-P1_IlluminaSNP	BCM_PDX_3469-P19_IlluminaSNP	18	0.18302094818081588
bcm_snp_breast	BCM_PDX_3887-P2_IlluminaSNP	BCM_PDX_3887-P19_IlluminaSNP	17	0.03409090909090909
bcm_snp_breast	BCM_PDX_4013-P1_IlluminaSNP	BCM_PDX_4013-P18_IlluminaSNP	17	0.18676470588235294
bcm_snp_breast	BCM_PDX_4195-P2_IlluminaSNP	BCM_PDX_4195-P19_IlluminaSNP	17	0.20197947214076245
bcm_snp_breast	BCM_PDX_4664-P1_IlluminaSNP	BCM_PDX_4664-P19_IlluminaSNP	18	0.02570694087403599
bcm_snp_breast	BCM_PDX_5097-P2_IlluminaSNP	BCM_PDX_5097-P19_IlluminaSNP	17	0.04352637403172261
bcm_snp_breast	BCM_PDX_5998-P1_IlluminaSNP	BCM_PDX_5998-P19_IlluminaSNP	18	0.056129985228951254
bcm_snp_breast	BCM_PDX_7441-P2_IlluminaSNP	BCM_PDX_7441-P19_IlluminaSNP	17	0.06656859139389482
bcm_snp_breast	BCM_PDX_7482-P1_IlluminaSNP	BCM_PDX_7482-P19_IlluminaSNP	18	0.21512915129151292
bcm_snp_breast	BCM_PDX_MC1-P1_IlluminaSNP	BCM_PDX_MC1-P18_IlluminaSNP	17	0.15898192548874954
bcm_snp_breast	BCM_PDX_WHIM12-P0_IlluminaSNP	BCM_PDX_WHIM12-P21_IlluminaSNP	21	0.06465833945628215
europdx_wgs_brca	BC111_P2_WGS	BC111_P5_WGS	3	0.010215249908792412
europdx_wgs_brca	BC126_P1_WGS	BC126_P5_WGS	4	0.001093693036820999
europdx_wgs_brca	BC127_P1_WGS	BC127_P5_WGS	4	0.2010928961748634
europdx_wgs_brca	BC162_P1_WGS	BC162_P5_WGS	4	0.016769959897921984
europdx_wgs_brca	BC201_P1_WGS	BC201_P5_WGS	4	0.07546481954064893
europdx_wgs_brca	BC227_P0_WGS	BC227_P6_WGS	6	0.18939670932358318
europdx_wgs_brca	BC230_P2_WGS	BC230_P6_WGS	4	0.13160772876412688
europdx_wgs_brca	BC239_P1_WGS	BC239_P5_WGS	4	0.02335766423357664
europdx_wgs_brca	BC241_P1_WGS	BC241_P5_WGS	4	0.030987969376594968
europdx_wgs_brca	BC250_P1_WGS	BC250_P4_WGS	3	0.10299488677867057
europdx_wgs_brca	BC256_P1_WGS	BC256_P5_WGS	4	0.2592997811816193
europdx_wgs_brca	BC274_P1_WGS	BC274_P5_WGS	4	0.008394160583941606
europdx_wgs_brca	BC283_P1_WGS	BC283_P5_WGS	4	0.05445906432748538
europdx_wgs_brca	BC288_P1_WGS	BC288_P5_WGS	4	0.06265938069216757
europdx_wgs_brca	BC291_P0_WGS	BC291_P5_WGS	5	0.6828290193219103
europdx_wgs_brca	BC291A_P1_WGS	BC291A_P7_WGS	6	0.26523166727471725
europdx_wgs_brca	BC297_P1_WGS	BC297_P6_WGS	5	0.05614290922347794
europdx_wgs_brca	BC302_P1_WGS	BC302_P5_WGS	4	0.009107468123861567
europdx_wgs_brca	BC325_P1_WGS	BC325_P5_WGS	4	0.027737226277372264
europdx_wgs_brca	BC326_P1_WGS	BC326_P7_WGS	6	0.12513681138270705
europdx_wgs_brca	BC332_P1_WGS	BC332_P5_WGS	4	0.005833029529711994
europdx_wgs_brca	BC336_P1_WGS	BC336_P5_WGS	4	0.19555717407137654
europdx_wgs_brca	BC343_P1_WGS	BC343_P5_WGS	4	0.22826880934989044
europdx_wgs_brca	BC408_P0_WGS	BC408_P6_WGS	6	0.12408759124087591
europdx_wgs_brca	BC426_P1_WGS	BC426_P5_WGS	4	0.08275610645278891
europdx_wgs_brca	BC430_P0_WGS	BC430_P5_WGS	5	0.3740430185927816
europdx_wgs_brca	BC453_P1_WGS	BC453_P4_WGS	3	0.002187386073641998
europdx_wgs_brca	BC457_P1_WGS	BC457_P5_WGS	4	0.26839038601602333
europdx_wgs_brca	BC464_P1_WGS	BC464_P9_WGS	8	0.04083120670798396
europdx_wgs_brca	BC474_P0_WGS	BC474_P7_WGS	7	0.134987230937614
europdx_wgs_brca	BC509_P1_WGS	BC509_P5_WGS	4	0.015339663988312637
europdx_wgs_brca	BC513_P1_WGS	BC513_P7_WGS	6	0.0014571948998178506
europdx_wgs_brca	BC519_P1_WGS	BC519_P5_WGS	4	0.02334914264866837
europdx_wgs_brca	BC531_P1_WGS	BC531_P5_WGS	4	0.24033552151714077
europdx_wgs_brca	BC666_P1_WGS	BC666_P5_WGS	4	0.0988329686360321
europdx_wgs_brca	BC701_P1_WGS	BC701_P5_WGS	4	0.1062043795620438
europdx_wgs_brca	BC715_P1_WGS	BC715_P5_WGS	4	0.16429872495446265
europdx_wgs_brca	BC794_P1_WGS	BC794_P5_WGS	4	0.03642987249544627
europdx_wgs_brca	BC801_P1_WGS	BC801_P5_WGS	4	0.17541940189642596
europdx_wgs_brca	BC878_P0_WGS	BC878_P5_WGS	5	0.00291970802919708
europdx_wgs_brca	BC899_P1_WGS	BC899_P5_WGS	4	0.05253557095950383
europdx_wgs_brca	BC989_P1_WGS	BC989_P5_WGS	4	0.12577469923441487
europdx_wgs_brca	BC1006_P1_WGS	BC1006_P5_WGS	4	0.0018214936247723133
europdx_wgs_crc	CRC1_P0_WGS	CRC1_P3_WGS	3	0.012336448598130842
europdx_wgs_crc	CRC2_P1_WGS	CRC2_P6_WGS	5	0.0
