cohort	sample1	sample2	sample1_tfx	sample2_tfx	tfx_diff	sample1_ploidy	sample2_ploidy	ploidy_diff
bcm_snp_breast	BCM_PDX_0002-P1_IlluminaSNP	BCM_PDX_0002-P18_IlluminaSNP	1.0	1.0	0.0	3.203	2.672	0.531
bcm_snp_breast	BCM_PDX_2147-P2_IlluminaSNP	BCM_PDX_2147-P19_IlluminaSNP	0.9983	0.8647	0.134	1.929	1.904	0.025
bcm_snp_breast	BCM_PDX_2665-P1_IlluminaSNP	BCM_PDX_2665-P19_IlluminaSNP	0.8205	0.8279	0.007	3.012	3.002	0.01
bcm_snp_breast	BCM_PDX_3469-P1_IlluminaSNP	BCM_PDX_3469-P19_IlluminaSNP	0.924	0.9591	0.035	2.904	2.973	0.069
bcm_snp_breast	BCM_PDX_3887-P2_IlluminaSNP	BCM_PDX_3887-P19_IlluminaSNP	0.8424	0.8912	0.049	1.976	1.984	0.008
bcm_snp_breast	BCM_PDX_4013-P1_IlluminaSNP	BCM_PDX_4013-P18_IlluminaSNP	0.8157	0.8539	0.038	3.203	3.098	0.105
bcm_snp_breast	BCM_PDX_4195-P2_IlluminaSNP	BCM_PDX_4195-P19_IlluminaSNP	0.8328	0.8829	0.05	1.998	1.994	0.004
bcm_snp_breast	BCM_PDX_4664-P1_IlluminaSNP	BCM_PDX_4664-P19_IlluminaSNP	1.0	1.0	0.0	2.521	2.48	0.041
bcm_snp_breast	BCM_PDX_5097-P2_IlluminaSNP	BCM_PDX_5097-P19_IlluminaSNP	0.785	0.884	0.099	3.494	3.23	0.264
bcm_snp_breast	BCM_PDX_5998-P1_IlluminaSNP	BCM_PDX_5998-P19_IlluminaSNP	1.0	0.9514	0.049	1.983	1.975	0.008
bcm_snp_breast	BCM_PDX_7441-P2_IlluminaSNP	BCM_PDX_7441-P19_IlluminaSNP	1.0	0.9767	0.023	3.25	2.88	0.37
bcm_snp_breast	BCM_PDX_7482-P1_IlluminaSNP	BCM_PDX_7482-P19_IlluminaSNP	1.0	0.9455	0.054	3.232	2.433	0.799
bcm_snp_breast	BCM_PDX_MC1-P1_IlluminaSNP	BCM_PDX_MC1-P18_IlluminaSNP	1.0	0.9394	0.061	3.016	2.949	0.067
bcm_snp_breast	BCM_PDX_WHIM12-P0_IlluminaSNP	BCM_PDX_WHIM12-P21_IlluminaSNP	1.0	1.0	0.0	3.031	3.04	0.009
europdx_wgs_brca	BC111_P2_WGS	BC111_P5_WGS	1.0	1.0	0.0	3.002	3.007	0.005
europdx_wgs_brca	BC126_PT_WGS	BC126_P1_WGS	0.7494	1.0	0.251	1.999	1.998	0.001
europdx_wgs_brca	BC126_P1_WGS	BC126_P5_WGS	1.0	1.0	0.0	1.998	1.999	0.001
europdx_wgs_brca	BC127_PT_WGS	BC127_P1_WGS	0.1231	0.9986	0.876	2.95	2.835	0.115
europdx_wgs_brca	BC127_P1_WGS	BC127_P5_WGS	0.9986	1.0	0.001	2.835	2.276	0.559
europdx_wgs_brca	BC162_PT_WGS	BC162_P1_WGS	0.4	0.9924	0.592	1.821	1.918	0.097
europdx_wgs_brca	BC162_P1_WGS	BC162_P5_WGS	0.9924	0.9973	0.005	1.918	1.941	0.023
europdx_wgs_brca	BC201_PT_WGS	BC201_P1_WGS	0.5138	0.994	0.48	2.894	3.014	0.12
europdx_wgs_brca	BC201_P1_WGS	BC201_P5_WGS	0.994	0.9944	0.0	3.014	3.013	0.001
europdx_wgs_brca	BC227_PT_WGS	BC227_P0_WGS	0.6768	0.9591	0.282	2.117	2.105	0.012
europdx_wgs_brca	BC227_P0_WGS	BC227_P6_WGS	0.9591	0.9983	0.039	2.105	2.005	0.1
europdx_wgs_brca	BC230_PT_WGS	BC230_P2_WGS	0.7448	0.9839	0.239	1.943	1.931	0.012
europdx_wgs_brca	BC230_P2_WGS	BC230_P6_WGS	0.9839	0.996	0.012	1.931	1.948	0.017
europdx_wgs_brca	BC239_PT_WGS	BC239_P1_WGS	0.5817	1.0	0.418	2.003	2.001	0.002
europdx_wgs_brca	BC239_P1_WGS	BC239_P5_WGS	1.0	1.0	0.0	2.001	2.0	0.001
europdx_wgs_brca	BC241_PT_WGS	BC241_P1_WGS	0.347	0.6908	0.344	2.761	2.62	0.141
europdx_wgs_brca	BC241_P1_WGS	BC241_P5_WGS	0.6908	1.0	0.309	2.62	3.066	0.446
europdx_wgs_brca	BC250_PT_WGS	BC250_P1_WGS	0.6866	0.9795	0.293	2.988	2.956	0.032
europdx_wgs_brca	BC250_P1_WGS	BC250_P4_WGS	0.9795	0.9865	0.007	2.956	2.962	0.006
europdx_wgs_brca	BC256_PT_WGS	BC256_P1_WGS	0.9307	1.0	0.069	2.836	2.995	0.159
europdx_wgs_brca	BC256_P1_WGS	BC256_P5_WGS	1.0	1.0	0.0	2.995	3.046	0.051
europdx_wgs_brca	BC274_PT_WGS	BC274_P1_WGS	0.8084	0.9984	0.19	1.98	1.97	0.01
europdx_wgs_brca	BC274_P1_WGS	BC274_P5_WGS	0.9984	1.0	0.002	1.97	1.968	0.002
europdx_wgs_brca	BC283_PT_WGS	BC283_P1_WGS	0.124	1.0	0.876	2.905	2.969	0.064
europdx_wgs_brca	BC283_P1_WGS	BC283_P5_WGS	1.0	1.0	0.0	2.969	2.958	0.011
europdx_wgs_brca	BC288_PT_WGS	BC288_P1_WGS	0.6188	1.0	0.381	2.905	2.651	0.254
europdx_wgs_brca	BC288_P1_WGS	BC288_P5_WGS	1.0	1.0	0.0	2.651	2.83	0.179
europdx_wgs_brca	BC291_PT_WGS	BC291_P0_WGS	0.6277	0.9771	0.349	2.775	2.954	0.179
europdx_wgs_brca	BC291_P0_WGS	BC291_P5_WGS	0.9771	1.0	0.023	2.954	3.098	0.144
europdx_wgs_brca	BC291A_PT_WGS	BC291A_P1_WGS	0.2813	1.0	0.719	3.231	2.903	0.328
europdx_wgs_brca	BC291A_P1_WGS	BC291A_P7_WGS	1.0	0.9008	0.099	2.903	2.574	0.329
europdx_wgs_brca	BC297_PT_WGS	BC297_P1_WGS	0.1605	1.0	0.84	2.778	3.029	0.251
europdx_wgs_brca	BC297_P1_WGS	BC297_P6_WGS	1.0	1.0	0.0	3.029	3.016	0.013
europdx_wgs_brca	BC302_PT_WGS	BC302_P1_WGS	0.2908	1.0	0.709	2.327	2.033	0.294
europdx_wgs_brca	BC302_P1_WGS	BC302_P5_WGS	1.0	1.0	0.0	2.033	2.031	0.002
europdx_wgs_brca	BC325_PT_WGS	BC325_P1_WGS	0.9356	1.0	0.064	1.993	1.998	0.005
europdx_wgs_brca	BC325_P1_WGS	BC325_P5_WGS	1.0	1.0	0.0	1.998	2.004	0.006
europdx_wgs_brca	BC326_PT_WGS	BC326_P1_WGS	0.885	0.9906	0.106	2.842	2.803	0.039
europdx_wgs_brca	BC326_P1_WGS	BC326_P7_WGS	0.9906	1.0	0.009	2.803	2.86	0.057
europdx_wgs_brca	BC332_PT_WGS	BC332_P1_WGS	0.9709	1.0	0.029	2.002	1.994	0.008
europdx_wgs_brca	BC332_P1_WGS	BC332_P5_WGS	1.0	0.9986	0.001	1.994	1.986	0.008
europdx_wgs_brca	BC336_PT_WGS	BC336_P1_WGS	0.2079	1.0	0.792	3.03	3.026	0.004
