europdx_wgs_brca	BC111_PT_WGS
europdx_wgs_crc	CRC4_PT_WGS
europdx_wgs_crc	CRC11_P1_WGS
europdx_wgs_crc	CRC18_PT_WGS
europdx_wgs_crc	CRC35_PT_WGS
europdx_wgs_crc	CRC35_P1_WGS
europdx_wgs_crc	CRC35_P6_WGS
europdx_wgs_crc	CRC42_P5_WGS
europdx_wgs_crc	CRC45_PT_WGS
europdx_wgs_crc	CRC45_P1_WGS
europdx_wgs_crc	CRC45_P5_WGS
europdx_wgs_crc	CRC54_P1_WGS
europdx_wgs_crc	CRC55_PT_WGS
europdx_wgs_crc	CRC67_PT_WGS
europdx_wgs_crc	CRC73_PT_WGS
europdx_wgs_crc	CRC76_P1_WGS
europdx_wgs_crc	CRC76_P4_WGS
europdx_wgs_crc	CRC84_P0_WGS
