pair1	pair2		all_samples
BC111_PT_WGS	BC111_P2_WGS		BC111_PT_WGS
BC111_P2_WGS	BC111_P5_WGS		BC111_P2_WGS
BC126_PT_WGS	BC126_P1_WGS		BC111_P5_WGS
BC126_P1_WGS	BC126_P5_WGS		BC126_PT_WGS
BC127_PT_WGS	BC127_P1_WGS		BC126_P1_WGS
BC127_P1_WGS	BC127_P5_WGS		BC126_P5_WGS
BC162_PT_WGS	BC162_P1_WGS		BC127_PT_WGS
BC162_P1_WGS	BC162_P5_WGS		BC127_P1_WGS
BC201_PT_WGS	BC201_P1_WGS		BC127_P5_WGS
BC201_P1_WGS	BC201_P5_WGS		BC162_PT_WGS
BC227_PT_WGS	BC227_P0_WGS		BC162_P1_WGS
BC227_P0_WGS	BC227_P6_WGS		BC162_P5_WGS
BC230_PT_WGS	BC230_P2_WGS		BC201_PT_WGS
BC230_P2_WGS	BC230_P6_WGS		BC201_P1_WGS
BC239_PT_WGS	BC239_P1_WGS		BC201_P5_WGS
BC239_P1_WGS	BC239_P5_WGS		BC227_PT_WGS
BC241_PT_WGS	BC241_P1_WGS		BC227_P0_WGS
BC241_P1_WGS	BC241_P5_WGS		BC227_P6_WGS
BC250_PT_WGS	BC250_P1_WGS		BC230_PT_WGS
BC250_P1_WGS	BC250_P4_WGS		BC230_P2_WGS
BC256_PT_WGS	BC256_P1_WGS		BC230_P6_WGS
BC256_P1_WGS	BC256_P5_WGS		BC239_PT_WGS
BC274_PT_WGS	BC274_P1_WGS		BC239_P1_WGS
BC274_P1_WGS	BC274_P5_WGS		BC239_P5_WGS
BC283_PT_WGS	BC283_P1_WGS		BC241_PT_WGS
BC283_P1_WGS	BC283_P5_WGS		BC241_P1_WGS
BC288_PT_WGS	BC288_P1_WGS		BC241_P5_WGS
BC288_P1_WGS	BC288_P5_WGS		BC250_PT_WGS
BC291_PT_WGS	BC291_P0_WGS		BC250_P1_WGS
BC291_P0_WGS	BC291_P5_WGS		BC250_P4_WGS
BC291A_PT_WGS	BC291A_P1_WGS		BC256_PT_WGS
BC291A_P1_WGS	BC291A_P7_WGS		BC256_P1_WGS
BC297_PT_WGS	BC297_P1_WGS		BC256_P5_WGS
BC297_P1_WGS	BC297_P6_WGS		BC274_PT_WGS
BC302_PT_WGS	BC302_P1_WGS		BC274_P1_WGS
BC302_P1_WGS	BC302_P5_WGS		BC274_P5_WGS
BC325_PT_WGS	BC325_P1_WGS		BC283_PT_WGS
BC325_P1_WGS	BC325_P5_WGS		BC283_P1_WGS
BC326_PT_WGS	BC326_P1_WGS		BC283_P5_WGS
BC326_P1_WGS	BC326_P7_WGS		BC288_PT_WGS
BC332_PT_WGS	BC332_P1_WGS		BC288_P1_WGS
BC332_P1_WGS	BC332_P5_WGS		BC288_P5_WGS
BC336_PT_WGS	BC336_P1_WGS		BC291_PT_WGS
BC336_P1_WGS	BC336_P5_WGS		BC291_P0_WGS
BC343_PT_WGS	BC343_P1_WGS		BC291_P5_WGS
BC343_P1_WGS	BC343_P5_WGS		BC291A_PT_WGS
BC408_PT_WGS	BC408_P0_WGS		BC291A_P1_WGS
BC408_P0_WGS	BC408_P6_WGS		BC291A_P7_WGS
BC426_PT_WGS	BC426_P1_WGS		BC297_PT_WGS
BC426_P1_WGS	BC426_P5_WGS		BC297_P1_WGS
BC430_PT_WGS	BC430_P0_WGS		BC297_P6_WGS
BC430_P0_WGS	BC430_P5_WGS		BC302_PT_WGS
BC453_PT_WGS	BC453_P1_WGS		BC302_P1_WGS
BC453_P1_WGS	BC453_P4_WGS		BC302_P5_WGS
BC457_PT_WGS	BC457_P1_WGS		BC325_PT_WGS
BC457_P1_WGS	BC457_P5_WGS		BC325_P1_WGS
BC464_PT_WGS	BC464_P1_WGS		BC325_P5_WGS
BC464_P1_WGS	BC464_P9_WGS		BC326_PT_WGS
BC474_PT_WGS	BC474_P0_WGS		BC326_P1_WGS
BC474_P0_WGS	BC474_P7_WGS		BC326_P7_WGS
BC509_PT_WGS	BC509_P1_WGS		BC332_PT_WGS
BC509_P1_WGS	BC509_P5_WGS		BC332_P1_WGS
BC513_PT_WGS	BC513_P1_WGS		BC332_P5_WGS
BC513_P1_WGS	BC513_P7_WGS		BC336_PT_WGS
BC519_PT_WGS	BC519_P1_WGS		BC336_P1_WGS
BC519_P1_WGS	BC519_P5_WGS		BC336_P5_WGS
BC531_PT_WGS	BC531_P1_WGS		BC343_PT_WGS
BC531_P1_WGS	BC531_P5_WGS		BC343_P1_WGS
