pair1	pair2		all_samples
CRC1_PT_WGS	CRC1_P0_WGS		CRC1_PT_WGS
CRC1_P0_WGS	CRC1_P3_WGS		CRC1_P0_WGS
CRC2_PT_WGS	CRC2_P1_WGS		CRC1_P3_WGS
CRC2_P1_WGS	CRC2_P6_WGS		CRC2_PT_WGS
CRC3_PT_WGS	CRC3_P1_WGS		CRC2_P1_WGS
CRC3_P1_WGS	CRC3_P5_WGS		CRC2_P6_WGS
CRC4_PT_WGS	CRC4_P1_WGS		CRC3_PT_WGS
CRC4_P1_WGS	CRC4_P6_WGS		CRC3_P1_WGS
CRC5_PT_WGS	CRC5_P1_WGS		CRC3_P5_WGS
CRC5_P1_WGS	CRC5_P5_WGS		CRC4_PT_WGS
CRC7_PT_WGS	CRC7_P1_WGS		CRC4_P1_WGS
CRC7_P1_WGS	CRC7_P6_WGS		CRC4_P6_WGS
CRC8_PT_WGS	CRC8_P1_WGS		CRC5_PT_WGS
CRC8_P1_WGS	CRC8_P6_WGS		CRC5_P1_WGS
CRC9_PT_WGS	CRC9_P1_WGS		CRC5_P5_WGS
CRC9_P1_WGS	CRC9_P4_WGS		CRC6_PT_WGS
CRC10_PT_WGS	CRC10_P0_WGS		CRC7_PT_WGS
CRC10_P0_WGS	CRC10_P3_WGS		CRC7_P1_WGS
CRC11_PT_WGS	CRC11_P1_WGS		CRC7_P6_WGS
CRC11_P1_WGS	CRC11_P6_WGS		CRC8_PT_WGS
CRC12_PT_WGS	CRC12_P6_WGS		CRC8_P1_WGS
CRC13_PT_WGS	CRC13_P1_WGS		CRC8_P6_WGS
CRC13_P1_WGS	CRC13_P4_WGS		CRC9_PT_WGS
CRC14_PT_WGS	CRC14_P1_WGS		CRC9_P1_WGS
CRC14_P1_WGS	CRC14_P6_WGS		CRC9_P4_WGS
CRC15_PT_WGS	CRC15_P1_WGS		CRC10_PT_WGS
CRC15_P1_WGS	CRC15_P4_WGS		CRC10_P0_WGS
CRC16_PT_WGS	CRC16_P1_WGS		CRC10_P3_WGS
CRC16_P1_WGS	CRC16_P6_WGS		CRC11_PT_WGS
CRC17_PT_WGS	CRC17_P1_WGS		CRC11_P1_WGS
CRC17_P1_WGS	CRC17_P6_WGS		CRC11_P6_WGS
CRC18_PT_WGS	CRC18_P1_WGS		CRC12_PT_WGS
CRC18_P1_WGS	CRC18_P6_WGS		CRC12_P6_WGS
CRC20_PT_WGS	CRC20_P1_WGS		CRC13_PT_WGS
CRC20_P1_WGS	CRC20_P5_WGS		CRC13_P1_WGS
CRC21_PT_WGS	CRC21_P1_WGS		CRC13_P4_WGS
CRC21_P1_WGS	CRC21_P6_WGS		CRC14_PT_WGS
CRC22_PT_WGS	CRC22_P1_WGS		CRC14_P1_WGS
CRC22_P1_WGS	CRC22_P5_WGS		CRC14_P6_WGS
CRC23_PT_WGS	CRC23_P1_WGS		CRC15_PT_WGS
CRC23_P1_WGS	CRC23_P6_WGS		CRC15_P1_WGS
CRC24_PT_WGS	CRC24_P1_WGS		CRC15_P4_WGS
CRC24_P1_WGS	CRC24_P6_WGS		CRC16_PT_WGS
CRC25_PT_WGS	CRC25_P1_WGS		CRC16_P1_WGS
CRC25_P1_WGS	CRC25_P6_WGS		CRC16_P6_WGS
CRC27_PT_WGS	CRC27_P1_WGS		CRC17_PT_WGS
CRC27_P1_WGS	CRC27_P6_WGS		CRC17_P1_WGS
CRC28_PT_WGS	CRC28_P1_WGS		CRC17_P6_WGS
CRC28_P1_WGS	CRC28_P6_WGS		CRC18_PT_WGS
CRC29_PT_WGS	CRC29_P1_WGS		CRC18_P1_WGS
CRC29_P1_WGS	CRC29_P5_WGS		CRC18_P6_WGS
CRC30_PT_WGS	CRC30_P1_WGS		CRC20_PT_WGS
CRC30_P1_WGS	CRC30_P4_WGS		CRC20_P1_WGS
CRC32_PT_WGS	CRC32_P1_WGS		CRC20_P5_WGS
CRC32_P1_WGS	CRC32_P6_WGS		CRC21_PT_WGS
CRC33_PT_WGS	CRC33_P1_WGS		CRC21_P1_WGS
CRC33_P1_WGS	CRC33_P5_WGS		CRC21_P6_WGS
CRC34_PT_WGS	CRC34_P0_WGS		CRC22_PT_WGS
CRC34_P0_WGS	CRC34_P3_WGS		CRC22_P1_WGS
CRC35_PT_WGS	CRC35_P1_WGS		CRC22_P5_WGS
CRC35_P1_WGS	CRC35_P6_WGS		CRC23_PT_WGS
CRC36_PT_WGS	CRC36_P0_WGS		CRC23_P1_WGS
CRC36_P0_WGS	CRC36_P2_WGS		CRC23_P6_WGS
CRC37_PT_WGS	CRC37_P1_WGS		CRC24_PT_WGS
CRC37_P1_WGS	CRC37_P5_WGS		CRC24_P1_WGS
CRC38_PT_WGS	CRC38_P1_WGS		CRC24_P6_WGS
CRC38_P1_WGS	CRC38_P6_WGS		CRC25_PT_WGS
CRC39_PT_WGS	CRC39_P1_WGS		CRC25_P1_WGS
CRC39_P1_WGS	CRC39_P6_WGS		CRC25_P6_WGS
CRC40_PT_WGS	CRC40_P0_WGS		CRC27_PT_WGS
CRC40_P0_WGS	CRC40_P2_WGS		CRC27_P1_WGS
CRC41_PT_WGS	CRC41_P1_WGS		CRC27_P6_WGS
CRC41_P1_WGS	CRC41_P4_WGS		CRC28_PT_WGS
CRC42_PT_WGS	CRC42_P1_WGS		CRC28_P1_WGS
CRC42_P1_WGS	CRC42_P5_WGS		CRC28_P6_WGS
CRC43_PT_WGS	CRC43_P1_WGS		CRC29_PT_WGS
CRC43_P1_WGS	CRC43_P5_WGS		CRC29_P1_WGS
CRC44_PT_WGS	CRC44_P1_WGS		CRC29_P5_WGS
CRC44_P1_WGS	CRC44_P6_WGS		CRC30_PT_WGS
CRC45_PT_WGS	CRC45_P1_WGS		CRC30_P1_WGS
CRC45_P1_WGS	CRC45_P5_WGS		CRC30_P4_WGS
CRC46_PT_WGS	CRC46_P1_WGS		CRC32_PT_WGS
CRC46_P1_WGS	CRC46_P6_WGS		CRC32_P1_WGS
CRC47_PT_WGS	CRC47_P1_WGS		CRC32_P6_WGS
CRC47_P1_WGS	CRC47_P5_WGS		CRC33_PT_WGS
CRC48_PT_WGS	CRC48_P1_WGS		CRC33_P1_WGS
CRC48_P1_WGS	CRC48_P6_WGS		CRC33_P5_WGS
CRC49_PT_WGS	CRC49_P1_WGS		CRC34_PT_WGS
CRC49_P1_WGS	CRC49_P5_WGS		CRC34_P0_WGS
CRC50_PT_WGS	CRC50_P0_WGS		CRC34_P3_WGS
CRC50_P0_WGS	CRC50_P2_WGS		CRC35_PT_WGS
CRC51_PT_WGS	CRC51_P1_WGS		CRC35_P1_WGS
CRC51_P1_WGS	CRC51_P4_WGS		CRC35_P6_WGS
CRC52_PT_WGS	CRC52_P1_WGS		CRC36_PT_WGS
CRC52_P1_WGS	CRC52_P6_WGS		CRC36_P0_WGS
CRC53_PT_WGS	CRC53_P1_WGS		CRC36_P2_WGS
CRC53_P1_WGS	CRC53_P6_WGS		CRC37_PT_WGS
CRC54_PT_WGS	CRC54_P1_WGS		CRC37_P1_WGS
CRC54_P1_WGS	CRC54_P6_WGS		CRC37_P5_WGS
CRC55_PT_WGS	CRC55_P1_WGS		CRC38_PT_WGS
CRC55_P1_WGS	CRC55_P5_WGS		CRC38_P1_WGS
CRC56_PT_WGS	CRC56_P1_WGS		CRC38_P6_WGS
CRC56_P1_WGS	CRC56_P5_WGS		CRC39_PT_WGS
