pair1	pair2	pt	all_samples
J000098169_J000100945_P0_002P0_AffySNP	J000098169_J000103432_P1_001P0009P1_AffySNP	NA	J000092712_J000095175_P0_004P0_AffySNP
J000098169_J000100948_P0_001P0_AffySNP	J000098169_J000103432_P1_001P0009P1_AffySNP	NA	J000092712_J000096798_P0_002P0_AffySNP
J000100646_J000102432_P0_002P0_AffySNP	J000100646_J000103693_P1_001P0006P1_AffySNP	NA	J000098169_J000100945_P0_002P0_AffySNP
J000100646_J000102435_P0_001P0_AffySNP	J000100646_J000103693_P1_001P0006P1_AffySNP	NA	J000098169_J000100948_P0_001P0_AffySNP
TM00020_BL0382F1232P0_P0_AffySNP	TM00020_BL0382F1232P0001P1_P1_AffySNP	NA	J000098169_J000103432_P1_001P0009P1_AffySNP
TM00026_BL0479F1894P0_P0_AffySNP	TM00026_BL0479F1895P0005P1_P1_AffySNP	NA	J000100646_J000102432_P0_002P0_AffySNP
TM01029_BL0215FPT_PT_AffySNP	TM01029_BL0215F124P0_P0_AffySNP	TM01029_BL0215FPT_PT_AffySNP	J000100646_J000102435_P0_001P0_AffySNP
			J000100646_J000103693_P1_001P0006P1_AffySNP
			TM00013_BL0058F037P0_P0_AffySNP
			TM00013_BL0058F039P0_P0_AffySNP
			TM00020_BL0382F1232P0_P0_AffySNP
			TM00020_BL0382F1232P0001P1_P1_AffySNP
			TM00026_BL0479F1894P0_P0_AffySNP
			TM00026_BL0479F1895P0005P1_P1_AffySNP
			TM01029_BL0215FPT_PT_AffySNP
			TM01029_BL0215F124P0_P0_AffySNP
