pair1	pair2		all_samples
J000100674_J000101830_P0_001P0_AffySNP	J000100674_J000103088_P1_001P0006P1_AffySNP		J000099327_J000100857_P0_001P0_AffySNP
J000100674_J000101974_P0_002P0_AffySNP	J000100674_J000103088_P1_001P0006P1_AffySNP		J000099327_J000101348_P0_002P0_AffySNP
J000100675_J000102704_P0_001P0_AffySNP	J000100675_J000104167_P1_001P0006P1_AffySNP		J000100674_J000101830_P0_001P0_AffySNP
J000102184_J000104879_P0_001P0_AffySNP	J000102184_J000105634_P1_001P0006P1_AffySNP		J000100674_J000101974_P0_002P0_AffySNP
TM00113_BR1180FPT_PT_AffySNP	TM00113_BR1180F160P0472P1_P1_AffySNP		J000100674_J000103088_P1_001P0006P1_AffySNP
TM01117_TM01117FPT_PT_AffySNP	TM01117_TM01117F270P0_P0_AffySNP		J000100675_J000102704_P0_001P0_AffySNP
			J000100675_J000104167_P1_001P0006P1_AffySNP
			J000102184_J000104879_P0_001P0_AffySNP
			J000102184_J000105634_P1_001P0006P1_AffySNP
			TM00090_BR0744F097P0_P0_AffySNP
			TM00090_BR0744F098P0_P0_AffySNP
			TM00096_BR0851F002P0_P0_AffySNP
			TM00096_BR0851F004P0_P0_AffySNP
			TM00113_BR1180FPT_PT_AffySNP
			TM00113_BR1180F160P0472P1_P1_AffySNP
			TM01117_TM01117FPT_PT_AffySNP
			TM01117_TM01117F270P0_P0_AffySNP
