pair1	pair2	pt	all_samples
J000094707_J000101139_P0_002P0_AffySNP	J000094707_J000102913_P1_001P0014P1_AffySNP	NA	J000094707_J000101139_P0_002P0_AffySNP
J000094707_J000101141_P0_001P0_AffySNP	J000094707_J000102913_P1_001P0014P1_AffySNP	NA	J000094707_J000101141_P0_001P0_AffySNP
J000094707_J000101139_P0_002P0_AffySNP	J000094707_J000103479_P1_001P0011P1_AffySNP	NA	J000094707_J000102913_P1_001P0014P1_AffySNP
J000094707_J000101141_P0_001P0_AffySNP	J000094707_J000103479_P1_001P0011P1_AffySNP	NA	J000094707_J000103479_P1_001P0011P1_AffySNP
J000099318_J000101529_P0_001P0_AffySNP	J000099318_J000103814_P1_001P0006P1_AffySNP	NA	J000099318_J000101529_P0_001P0_AffySNP
J000099318_J000101791_P0_002P0_AffySNP	J000099318_J000103814_P1_001P0006P1_AffySNP	NA	J000099318_J000101791_P0_002P0_AffySNP
J000101006_J000101979_P0_002P0_AffySNP	J000101006_J000103458_P1_001P0007P1_AffySNP	NA	J000099318_J000103814_P1_001P0006P1_AffySNP
J000101006_J000101984_P0_001P0_AffySNP	J000101006_J000103458_P1_001P0007P1_AffySNP	NA	J000101006_J000101979_P0_002P0_AffySNP
J000101328_J000102289_P0_002P0_AffySNP	J000101328_J000103053_P1_001P0009P1_AffySNP	NA	J000101006_J000101984_P0_001P0_AffySNP
J000101328_J000102291_P0_001P0_AffySNP	J000101328_J000103053_P1_001P0009P1_AffySNP	NA	J000101006_J000103458_P1_001P0007P1_AffySNP
J000101329_J000102066_P0_001P0_AffySNP	J000101329_J000103067_P1_001P0006P1_AffySNP	NA	J000101328_J000102289_P0_002P0_AffySNP
J000102630_J000106822_P1_002P0019P1_AffySNP	J000102630_J000107525_P2_002P0019P1003P2_AffySNP	NA	J000101328_J000102291_P0_001P0_AffySNP
TM00926_CN1611FPT_PT_AffySNP	TM00926_CN1611F000P0076P1_P1_AffySNP	TM00926_CN1611FPT_PT_AffySNP	J000101328_J000103053_P1_001P0009P1_AffySNP
TM00980_CN0010FPT_PT_AffySNP	TM00980_CN0010F100P0_P0_AffySNP	TM00980_CN0010FPT_PT_AffySNP	J000101329_J000102066_P0_001P0_AffySNP
TM01014_CN0500FPT_PT_AffySNP	TM01014_CN0500F107P0_P0_AffySNP	TM01014_CN0500FPT_PT_AffySNP	J000101329_J000103067_P1_001P0006P1_AffySNP
TM01048_CN1641F116P0_P0_AffySNP	TM01048_CN1641F116P0147P1_P1_AffySNP	NA	J000102630_J000106822_P1_002P0019P1_AffySNP
TM01231_TM01231FPT_PT_AffySNP	TM01231_TM01231F001P0_P0_AffySNP	TM01231_TM01231FPT_PT_AffySNP	J000102630_J000107525_P2_002P0019P1003P2_AffySNP
TM01237_TM01237F560P0_P0_AffySNP	TM01237_TM01237F560P0245P1_P1_AffySNP	NA	TM00134_CN0330F214P0_P0_AffySNP
TM01239_TM01239FPT_PT_AffySNP	TM01239_TM01239F561P0_P0_AffySNP	TM01239_TM01239FPT_PT_AffySNP	TM00134_CN0330F216P0_P0_AffySNP
TM01258_TM01258F643P0_P0_AffySNP	TM01258_TM01258F643P0216P1_P1_AffySNP	NA	TM00926_CN1611FPT_PT_AffySNP
TM01303_TM01303F820P0_P0_AffySNP	TM01303_TM01303F800P0241P1_P1_AffySNP	NA	TM00926_CN1611F000P0076P1_P1_AffySNP
			TM00980_CN0010FPT_PT_AffySNP
			TM00980_CN0010F100P0_P0_AffySNP
			TM01014_CN0500FPT_PT_AffySNP
			TM01014_CN0500F107P0_P0_AffySNP
			TM01048_CN1641F116P0_P0_AffySNP
			TM01048_CN1641F116P0147P1_P1_AffySNP
			TM01231_TM01231FPT_PT_AffySNP
			TM01231_TM01231F001P0_P0_AffySNP
			TM01237_TM01237F560P0_P0_AffySNP
			TM01237_TM01237F560P0245P1_P1_AffySNP
			TM01239_TM01239FPT_PT_AffySNP
			TM01239_TM01239F561P0_P0_AffySNP
			TM01258_TM01258F643P0_P0_AffySNP
			TM01258_TM01258F643P0216P1_P1_AffySNP
			TM01303_TM01303F820P0_P0_AffySNP
			TM01303_TM01303F800P0241P1_P1_AffySNP
			TM01340_TM01340F884P0_P0_AffySNP
			TM01340_TM01340F885P0_P0_AffySNP
			TM01464_TM01464F1330P0_P0_AffySNP
			TM01464_TM01464F1331P0_P0_AffySNP
			TM01498_TM01498F014P0_P0_AffySNP
			TM01498_TM01498F11P0_P0_AffySNP
			TM01500_TM01500F023P0_P0_AffySNP
			TM01500_TM01500F21P0_P0_AffySNP
			TM01500_TM01500F25P0_P0_AffySNP
