pair1	pair2	pt	all_samples
J000100672_J000102690_P0_001P0_AffySNP	J000100672_J000103864_P1_001P0006P1_AffySNP	NA	J000096652_J000099828_P0_002P0_AffySNP
TM00199_LG0703F948P0_P0_AffySNP	TM00199_LG0703F940P0001P1_P1_AffySNP	NA	J000096652_J000099831_P0_001P0_AffySNP
TM00229_LG1189F1952P0_P0_AffySNP	TM00229_LG1189F1952P0002P1_P1_AffySNP	NA	J000100672_J000102690_P0_001P0_AffySNP
TM00302_LG1306aF130P0_P0_AffySNP	TM00302_LG1306F130P0078P1_P1_AffySNP	NA	J000100672_J000103864_P1_001P0006P1_AffySNP
TM01446_TM01446F1264P0_P0_AffySNP	TM01446_TM01446F1265P0256P1_P1_AffySNP	NA	TM00199_LG0703F948P0_P0_AffySNP
TM01446_TM01446F14P0_P0_AffySNP	TM01446_TM01446F1265P0256P1_P1_AffySNP	NA	TM00199_LG0703F940P0001P1_P1_AffySNP
TM01510_TM01510F48P0_P0_AffySNP	TM01510_TM01510F46P0235P1_P1_AffySNP	NA	TM00206_LG0812PE1330P0_P0_AffySNP
			TM00206_LG0812PE1332P0_P0_AffySNP
			TM00229_LG1189F1952P0_P0_AffySNP
			TM00229_LG1189F1952P0002P1_P1_AffySNP
			TM00302_LG1306aF130P0_P0_AffySNP
			TM00302_LG1306F130P0078P1_P1_AffySNP
			TM01446_TM01446F1264P0_P0_AffySNP
			TM01446_TM01446F14P0_P0_AffySNP
			TM01446_TM01446F1265P0256P1_P1_AffySNP
			TM01510_TM01510F48P0_P0_AffySNP
			TM01510_TM01510F46P0235P1_P1_AffySNP
