pair1	pair2	pt	all_samples
J000095054_J000100453_P0_001P0_AffySNP	J000095054_J000102120_P1_001P0006P1_AffySNP	NA	J000094290_J000095941_P0_005P0_AffySNP
J000095054_J000100453_P0_001P0_AffySNP	J000095054_J000102504_P1_001P0009P1_AffySNP	NA	J000094290_J000095990_P0_003P0_AffySNP
J000099257_J000101156_P0_001P0_AffySNP	J000099257_J000103717_P1_001P0007P1_AffySNP	NA	J000095054_J000100453_P0_001P0_AffySNP
TM00188_LG0520F433P0_P0_AffySNP	TM00188_LG0520F434P0000P1000P2006P3_P3_AffySNP	NA	J000095054_J000102120_P1_001P0006P1_AffySNP
TM00188_LG0520F434P0_P0_AffySNP	TM00188_LG0520F434P0000P1000P2006P3_P3_AffySNP	NA	J000095054_J000102504_P1_001P0009P1_AffySNP
TM00355_LG0551F552P0_P0_AffySNP	TM00355_LG0551F552P0001P1_P1_AffySNP	NA	J000095633_J000099195_P0_003P0_AffySNP
TM00939_LG1475F356P0_P0_AffySNP	TM00939_LG1475F356P0189P1_P1_AffySNP	NA	J000095633_J000100357_P0_004P0_AffySNP
			J000099257_J000101156_P0_001P0_AffySNP
			J000099257_J000103717_P1_001P0007P1_AffySNP
			J000099999_J000100807_P0_002P0_AffySNP
			J000099999_J000100810_P0_001P0_AffySNP
			TM00188_LG0520F433P0_P0_AffySNP
			TM00188_LG0520F434P0_P0_AffySNP
			TM00188_LG0520F434P0000P1000P2006P3_P3_AffySNP
			TM00198_LG0671F884P0002P1_P1_AffySNP
			TM00198_LG0671F888P0001P1_P1_AffySNP
			TM00355_LG0551F552P0_P0_AffySNP
			TM00355_LG0551F552P0001P1_P1_AffySNP
			TM00939_LG1475F356P0_P0_AffySNP
			TM00939_LG1475F356P0189P1_P1_AffySNP
			TM01148_TM01148F198P0_P0_AffySNP
			TM01148_TM01148F200P0_P0_AffySNP
			TM01245_TM01245F588P0_P0_AffySNP
			TM01245_TM01245F589P0_P0_AffySNP
			TM01406_TM01406F1141P0_P0_AffySNP
			TM01406_TM01406F1142P0_P0_AffySNP
