pair1	pair2	pt	all_samples
J000097253_J000100910_P0_002P0_AffySNP	J000097253_J000102934_P1_001P0010P1_AffySNP	NA	J000097253_J000100910_P0_002P0_AffySNP
J000097253_J000100914_P0_001P0_AffySNP	J000097253_J000102934_P1_001P0010P1_AffySNP	NA	J000097253_J000100914_P0_001P0_AffySNP
TM01137_SK0259FPT_PT_AffySNP	TM01137_SK0259F028P0_P0_AffySNP	TM01137_SK0259FPT_PT_AffySNP	J000097253_J000102934_P1_001P0010P1_AffySNP
TM01149_TM01149FPT_PT_AffySNP	TM01149_TM01149F093P0_P0_AffySNP	TM01149_TM01149FPT_PT_AffySNP	TM01137_SK0259FPT_PT_AffySNP
TM01264_TM01264FPT_PT_AffySNP	TM01264_TM01264F667P0_P0_AffySNP	TM01264_TM01264FPT_PT_AffySNP	TM01137_SK0259F028P0_P0_AffySNP
TM01612_TM01612F464P0_P0_AffySNP	TM01612_TM01612F464P0001P1_P1_AffySNP	NA	TM01149_TM01149FPT_PT_AffySNP
			TM01149_TM01149F093P0_P0_AffySNP
			TM01264_TM01264FPT_PT_AffySNP
			TM01264_TM01264F667P0_P0_AffySNP
			TM01441_TM01441F1236P0_P0_AffySNP
			TM01441_TM01441F1237P0_P0_AffySNP
			TM01442_TM01442F1243P0_P0_AffySNP
			TM01442_TM01442F1245P0_P0_AffySNP
			TM01443_TM01443F1246P0_P0_AffySNP
			TM01443_TM01443F1249P0_P0_AffySNP
			TM01612_TM01612F464P0_P0_AffySNP
			TM01612_TM01612F464P0001P1_P1_AffySNP
