pair1	pair2	pt	ID
TM00194_LG0627PE001P0_P0_AffySNP	TM00194_LG0627PE569P0000P1030P2_P2_AffySNP	NA	J000093933_J000097391_P0_004P0_AffySNP
TM00269_LG1331F164P0_P0_AffySNP	TM00269_LG1331F164P0166P1_P1_AffySNP	NA	J000093933_J000097393_P0_003P0_AffySNP
TM01284_TM01284F744P0_P0_AffySNP	TM01284_TM01284F744P0237P1_P1_AffySNP	NA	TM00194_LG0627PE001P0_P0_AffySNP
TM01031_LG1502FPT_PT_AffySNP	TM01031_LG1502F412P0_P0_AffySNP	TM01031_LG1502FPT_PT_AffySNP	TM00194_LG0627PE569P0000P1030P2_P2_AffySNP
TM01031_LG1502F412P0_P0_AffySNP	TM01031_LG1502F412P0193P1_P1_AffySNP	TM01031_LG1502FPT_PT_AffySNP	TM00269_LG1331F164P0_P0_AffySNP
TM01031_LG1502FPT_PT_AffySNP	TM01031_LG1502F412P0193P1_P1_AffySNP	TM01031_LG1502FPT_PT_AffySNP	TM00269_LG1331F164P0166P1_P1_AffySNP
			TM01284_TM01284F744P0_P0_AffySNP
			TM01284_TM01284F744P0237P1_P1_AffySNP
			TM01031_LG1502FPT_PT_AffySNP
			TM01031_LG1502F412P0_P0_AffySNP
			TM01031_LG1502F412P0193P1_P1_AffySNP
