pair1	pair2		all_samples
TM01127_SA1208005F001P0_P0_AffySNP	TM01127_SA1208005F2P043P1_P1_AffySNP		TM01127_SA1208005F001P0_P0_AffySNP
TM01423_KD1349FPT_PT_AffySNP	TM01423_KD1349F117P0_P0_AffySNP		TM01127_SA1208005F2P043P1_P1_AffySNP
J000100365_J000101777_P0_001P0_AffySNP	J000100365_J000103116_P1_001P0006P1_AffySNP		J000101892_J000103179_P1_001P0008P1_AffySNP
TM01373_TM01373F1015P0_P0_AffySNP	TM01373_TM01373F1015P0343P1_P1_AffySNP		J000101892_J000103725_P1_001P0009P1_AffySNP
TM01373_TM01373F1015P0_P0_AffySNP	TM01373_TM01373F1015P0344P1_P1_AffySNP		TM01354_TM01354F927P0_P0_AffySNP
J000079689_J000079689PT_PT_AffySNP	J000079689_J000095142_P0_001P0_AffySNP		TM01354_TM01354F928P0_P0_AffySNP
TM01087_TM01087F108P0_P0_AffySNP	TM01087_TM01087F108P0104P1_P1_AffySNP		TM01423_KD1349FPT_PT_AffySNP
TM01044_LY2238AF016P0_P0_AffySNP	TM01044_LY2238A16P01P1_P1_AffySNP		TM01423_KD1349F117P0_P0_AffySNP
TM01212_TM01212F463P0_P0_AffySNP	TM01212_TM01212F463P0307P1_P1_AffySNP		J000100365_J000101777_P0_001P0_AffySNP
			J000100365_J000103116_P1_001P0006P1_AffySNP
			TM01373_TM01373F1015P0_P0_AffySNP
			TM01373_TM01373F1015P0343P1_P1_AffySNP
			TM01373_TM01373F1015P0344P1_P1_AffySNP
			TM01420_TM01420F1179P0_P0_AffySNP
			TM01420_TM01420F1180P0_P0_AffySNP
			J000079689_J000079689PT_PT_AffySNP
			J000079689_J000095142_P0_001P0_AffySNP
			TM01087_TM01087F108P0_P0_AffySNP
			TM01087_TM01087F108P0104P1_P1_AffySNP
			TM00368_LY0055F667P0_P0_AffySNP
			TM00368_LY0055F668P0_P0_AffySNP
			TM01044_LY2238AF016P0_P0_AffySNP
			TM01044_LY2238A16P01P1_P1_AffySNP
			TM01212_TM01212F463P0_P0_AffySNP
			TM01212_TM01212F463P0307P1_P1_AffySNP
