pair1	pair2	pt	ID
TM00324_OV2022F394P0_P0_AffySNP	TM00324_OV2022F394P0000P1002P2_P2_AffySNP	NA	TM00324_OV2022F394P0_P0_AffySNP
TM00333_OV0857F006P0_P0_AffySNP	TM00333_OV0857F006P0026P1_P1_AffySNP	NA	TM00324_OV2022F394P0000P1002P2_P2_AffySNP
TM00334_OV1110F024P0_P0_AffySNP	TM00334_OV1110F024P0000P1008P2_P2_AffySNP	NA	TM00327_OVJX01F000P0_P0_AffySNP
TM00335_OV1828F081P0_P0_AffySNP	TM00335_OV1828F082P0000P1008P2_P2_AffySNP	NA	TM00327_OVJX01F017P0_P0_AffySNP
TM00916_OM1058F141P0_P0_AffySNP	TM00916_OM1058F141P059P1_P1_AffySNP	NA	TM00327_OVJX01F020P0_P0_AffySNP
TM00927_OV11094F172P0_P0_AffySNP	TM00927_OV11094F172P0118P1_P1_AffySNP	NA	TM00327_OVJX01F021P0_P0_AffySNP
			TM00333_OV0857F006P0_P0_AffySNP
			TM00333_OV0857F006P0026P1_P1_AffySNP
			TM00334_OV1110F024P0_P0_AffySNP
			TM00334_OV1110F024P0000P1008P2_P2_AffySNP
			TM00335_OV1828F081P0_P0_AffySNP
			TM00335_OV1828F082P0000P1008P2_P2_AffySNP
			TM00916_OM1058F141P0_P0_AffySNP
			TM00916_OM1058F141P059P1_P1_AffySNP
			TM00927_OV11094F172P0_P0_AffySNP
			TM00927_OV11094F172P0118P1_P1_AffySNP
