pair1	pair2		ID
TM01085_TM01085FPT_PT_AffySNP	TM01085_TM01085F061P0_P0_AffySNP		TM01085_TM01085FPT_PT_AffySNP
J000104314_J000105274_P0_001P0_AffySNP	J000104314_J000105749_P1_001P0006P1_AffySNP		TM01085_TM01085F061P0_P0_AffySNP
TM01053_RP2246FPT_PT_AffySNP	TM01053_RP2246F198P0_P0_AffySNP		J000104314_J000105274_P0_001P0_AffySNP
J000099873_J000102461_P0_005P0_AffySNP	J000099873_J000102568_P1_001P0007P1_AffySNP		J000104314_J000105749_P1_001P0006P1_AffySNP
TM00360_SA0082PT_PT_AffySNP	TM00360_SA0082F006P0000P1_P1_AffySNP		TM01053_RP2246FPT_PT_AffySNP
TM01302_TM01302FPT_PT_AffySNP	TM01302_TM01302F816P0_P0_AffySNP		TM01053_RP2246F198P0_P0_AffySNP
			J000099873_J000102461_P0_005P0_AffySNP
			J000099873_J000102568_P1_001P0007P1_AffySNP
			TM00360_SA0082PT_PT_AffySNP
			TM00360_SA0082F006P0000P1_P1_AffySNP
			TM00274_SA0426F1132P0_P0_AffySNP
			TM00274_SA0426F1133P0_P0_AffySNP
			TM00274_SA0426F1137P0_P0_AffySNP
			TM01302_TM01302FPT_PT_AffySNP
			TM01302_TM01302F816P0_P0_AffySNP
			J000078366_J000079989_P0_001P0_AffySNP
			J000078366_J000092578_P0_005P0_AffySNP
