pair1	pair2		all_samples
G1_PTPN_RNASEQ	G1_P0PN_RNASEQ		G1_PTPN_RNASEQ
G15_PTPN_RNASEQ	G15_P0PN_RNASEQ		G1_P0PN_RNASEQ
G19_PTPN_RNASEQ	G19_P0PN_RNASEQ		G15_PTPN_RNASEQ
G21_PTPN_RNASEQ	G21_P0PN_RNASEQ		G15_P0PN_RNASEQ
G23_PTPN_RNASEQ	G23_P0PN_RNASEQ		G19_PTPN_RNASEQ
G28_PTPN_RNASEQ	G28_P0PN_RNASEQ		G19_P0PN_RNASEQ
G29_PTPN_RNASEQ	G29_P0PN_RNASEQ		G21_PTPN_RNASEQ
G34_PTPN_RNASEQ	G34_P0PN_RNASEQ		G21_P0PN_RNASEQ
G38_PTPN_RNASEQ	G38_P0PN_RNASEQ		G23_PTPN_RNASEQ
G46_PTPN_RNASEQ	G46_P0PN_RNASEQ		G23_P0PN_RNASEQ
G53_PTPN_RNASEQ	G53_P0PN_RNASEQ		G28_PTPN_RNASEQ
G59_PTPN_RNASEQ	G59_P0PN_RNASEQ		G28_P0PN_RNASEQ
G68_PTPN_RNASEQ	G68_P0PN_RNASEQ		G29_PTPN_RNASEQ
G90_PTPN_RNASEQ	G90_P0PN_RNASEQ		G29_P0PN_RNASEQ
G93_PTPN_RNASEQ	G93_P0PN_RNASEQ		G34_PTPN_RNASEQ
G99_PTPN_RNASEQ	G99_P0PN_RNASEQ		G34_P0PN_RNASEQ
G100_PTPN_RNASEQ	G100_P0PN_RNASEQ		G38_PTPN_RNASEQ
G112_PTPN_RNASEQ	G112_P0PN_RNASEQ		G38_P0PN_RNASEQ
G114_PTPN_RNASEQ	G114_P0PN_RNASEQ		G46_PTPN_RNASEQ
G119_PTPN_RNASEQ	G119_P0PN_RNASEQ		G46_P0PN_RNASEQ
G129_PTPN_RNASEQ	G129_P0PN_RNASEQ		G53_PTPN_RNASEQ
G130_PTPN_RNASEQ	G130_P0PN_RNASEQ		G53_P0PN_RNASEQ
G157_PTPN_RNASEQ	G157_P0PN_RNASEQ		G59_PTPN_RNASEQ
G170_PTPN_RNASEQ	G170_P0PN_RNASEQ		G59_P0PN_RNASEQ
G171_PTPN_RNASEQ	G171_P0PN_RNASEQ		G68_PTPN_RNASEQ
G176_PTPN_RNASEQ	G176_P0PN_RNASEQ		G68_P0PN_RNASEQ
G179_PTPN_RNASEQ	G179_P0PN_RNASEQ		G90_PTPN_RNASEQ
G181_PTPN_RNASEQ	G181_P0PN_RNASEQ		G90_P0PN_RNASEQ
G183_PTPN_RNASEQ	G183_P0PN_RNASEQ		G93_PTPN_RNASEQ
G184_PTPN_RNASEQ	G184_P0PN_RNASEQ		G93_P0PN_RNASEQ
G194_PTPN_RNASEQ	G194_P0PN_RNASEQ		G99_PTPN_RNASEQ
G195_PTPN_RNASEQ	G195_P0PN_RNASEQ		G99_P0PN_RNASEQ
G200_PTPN_RNASEQ	G200_P0PN_RNASEQ		G100_PTPN_RNASEQ
G201_PTPN_RNASEQ	G201_P0PN_RNASEQ		G100_P0PN_RNASEQ
G202_PTPN_RNASEQ	G202_P0PN_RNASEQ		G112_PTPN_RNASEQ
G203_PTPN_RNASEQ	G203_P0PN_RNASEQ		G112_P0PN_RNASEQ
G203A_PTPN_RNASEQ	G203A_P0PN_RNASEQ		G114_PTPN_RNASEQ
G204_PTPN_RNASEQ	G204_P0PN_RNASEQ		G114_P0PN_RNASEQ
G208_PTPN_RNASEQ	G208_P0PN_RNASEQ		G119_PTPN_RNASEQ
G210_PTPN_RNASEQ	G210_P0PN_RNASEQ		G119_P0PN_RNASEQ
G222_PTPN_RNASEQ	G222_P0PN_RNASEQ		G129_PTPN_RNASEQ
G224_PTPN_RNASEQ	G224_P0PN_RNASEQ		G129_P0PN_RNASEQ
			G130_PTPN_RNASEQ
			G130_P0PN_RNASEQ
			G157_PTPN_RNASEQ
			G157_P0PN_RNASEQ
			G170_PTPN_RNASEQ
			G170_P0PN_RNASEQ
			G171_PTPN_RNASEQ
			G171_P0PN_RNASEQ
			G176_PTPN_RNASEQ
			G176_P0PN_RNASEQ
			G179_PTPN_RNASEQ
			G179_P0PN_RNASEQ
			G181_PTPN_RNASEQ
			G181_P0PN_RNASEQ
			G183_PTPN_RNASEQ
			G183_P0PN_RNASEQ
			G184_PTPN_RNASEQ
			G184_P0PN_RNASEQ
			G194_PTPN_RNASEQ
			G194_P0PN_RNASEQ
			G195_PTPN_RNASEQ
			G195_P0PN_RNASEQ
			G200_PTPN_RNASEQ
			G200_P0PN_RNASEQ
			G201_PTPN_RNASEQ
			G201_P0PN_RNASEQ
			G202_PTPN_RNASEQ
			G202_P0PN_RNASEQ
			G203_PTPN_RNASEQ
			G203_P0PN_RNASEQ
			G203A_PTPN_RNASEQ
			G203A_P0PN_RNASEQ
			G204_PTPN_RNASEQ
			G204_P0PN_RNASEQ
			G208_PTPN_RNASEQ
			G208_P0PN_RNASEQ
			G210_PTPN_RNASEQ
			G210_P0PN_RNASEQ
			G222_PTPN_RNASEQ
			G222_P0PN_RNASEQ
			G224_PTPN_RNASEQ
			G224_P0PN_RNASEQ
