pair1	pair2		all_samples
G1_PT_RNASEQ	G1_P0_RNASEQ		G1_PT_RNASEQ
G15_PT_RNASEQ	G15_P0_RNASEQ		G1_P0_RNASEQ
G19_PT_RNASEQ	G19_P0_RNASEQ		G15_PT_RNASEQ
G21_PT_RNASEQ	G21_P0_RNASEQ		G15_P0_RNASEQ
G23_PT_RNASEQ	G23_P0_RNASEQ		G19_PT_RNASEQ
G28_PT_RNASEQ	G28_P0_RNASEQ		G19_P0_RNASEQ
G29_PT_RNASEQ	G29_P0_RNASEQ		G21_PT_RNASEQ
G34_PT_RNASEQ	G34_P0_RNASEQ		G21_P0_RNASEQ
G38_PT_RNASEQ	G38_P0_RNASEQ		G23_PT_RNASEQ
G46_PT_RNASEQ	G46_P0_RNASEQ		G23_P0_RNASEQ
G53_PT_RNASEQ	G53_P0_RNASEQ		G28_PT_RNASEQ
G59_PT_RNASEQ	G59_P0_RNASEQ		G28_P0_RNASEQ
G68_PT_RNASEQ	G68_P0_RNASEQ		G29_PT_RNASEQ
G90_PT_RNASEQ	G90_P0_RNASEQ		G29_P0_RNASEQ
G93_PT_RNASEQ	G93_P0_RNASEQ		G34_PT_RNASEQ
G99_PT_RNASEQ	G99_P0_RNASEQ		G34_P0_RNASEQ
G100_PT_RNASEQ	G100_P0_RNASEQ		G38_PT_RNASEQ
G112_PT_RNASEQ	G112_P0_RNASEQ		G38_P0_RNASEQ
G114_PT_RNASEQ	G114_P0_RNASEQ		G46_PT_RNASEQ
G119_PT_RNASEQ	G119_P0_RNASEQ		G46_P0_RNASEQ
G129_PT_RNASEQ	G129_P0_RNASEQ		G53_PT_RNASEQ
G130_PT_RNASEQ	G130_P0_RNASEQ		G53_P0_RNASEQ
G157_PT_RNASEQ	G157_P0_RNASEQ		G59_PT_RNASEQ
G170_PT_RNASEQ	G170_P0_RNASEQ		G59_P0_RNASEQ
G171_PT_RNASEQ	G171_P0_RNASEQ		G68_PT_RNASEQ
G176_PT_RNASEQ	G176_P0_RNASEQ		G68_P0_RNASEQ
G179_PT_RNASEQ	G179_P0_RNASEQ		G90_PT_RNASEQ
G181_PT_RNASEQ	G181_P0_RNASEQ		G90_P0_RNASEQ
G183_PT_RNASEQ	G183_P0_RNASEQ		G93_PT_RNASEQ
G184_PT_RNASEQ	G184_P0_RNASEQ		G93_P0_RNASEQ
G194_PT_RNASEQ	G194_P0_RNASEQ		G99_PT_RNASEQ
G195_PT_RNASEQ	G195_P0_RNASEQ		G99_P0_RNASEQ
G200_PT_RNASEQ	G200_P0_RNASEQ		G100_PT_RNASEQ
G201_PT_RNASEQ	G201_P0_RNASEQ		G100_P0_RNASEQ
G202_PT_RNASEQ	G202_P0_RNASEQ		G112_PT_RNASEQ
G203_PT_RNASEQ	G203_P0_RNASEQ		G112_P0_RNASEQ
G203A_PT_RNASEQ	G203A_P0_RNASEQ		G114_PT_RNASEQ
G204_PT_RNASEQ	G204_P0_RNASEQ		G114_P0_RNASEQ
G208_PT_RNASEQ	G208_P0_RNASEQ		G119_PT_RNASEQ
G210_PT_RNASEQ	G210_P0_RNASEQ		G119_P0_RNASEQ
G222_PT_RNASEQ	G222_P0_RNASEQ		G129_PT_RNASEQ
G224_PT_RNASEQ	G224_P0_RNASEQ		G129_P0_RNASEQ
			G130_PT_RNASEQ
			G130_P0_RNASEQ
			G157_PT_RNASEQ
			G157_P0_RNASEQ
			G170_PT_RNASEQ
			G170_P0_RNASEQ
			G171_PT_RNASEQ
			G171_P0_RNASEQ
			G176_PT_RNASEQ
			G176_P0_RNASEQ
			G179_PT_RNASEQ
			G179_P0_RNASEQ
			G181_PT_RNASEQ
			G181_P0_RNASEQ
			G183_PT_RNASEQ
			G183_P0_RNASEQ
			G184_PT_RNASEQ
			G184_P0_RNASEQ
			G194_PT_RNASEQ
			G194_P0_RNASEQ
			G195_PT_RNASEQ
			G195_P0_RNASEQ
			G200_PT_RNASEQ
			G200_P0_RNASEQ
			G201_PT_RNASEQ
			G201_P0_RNASEQ
			G202_PT_RNASEQ
			G202_P0_RNASEQ
			G203_PT_RNASEQ
			G203_P0_RNASEQ
			G203A_PT_RNASEQ
			G203A_P0_RNASEQ
			G204_PT_RNASEQ
			G204_P0_RNASEQ
			G208_PT_RNASEQ
			G208_P0_RNASEQ
			G210_PT_RNASEQ
			G210_P0_RNASEQ
			G222_PT_RNASEQ
			G222_P0_RNASEQ
			G224_PT_RNASEQ
			G224_P0_RNASEQ
