pair1	pair2	pt	all_samples
TC211_PT_WES	TC211_P0_WES	TC211_PT_WES	TC211_PT_WES
TC219_PT_WES	TC219_P0_WES	TC219_PT_WES	TC211_P0_WES
TC241_PT_WES	TC241_P0_WES	TC241_PT_WES	TC219_PT_WES
TC247_PT_WES	TC247_P0_WES	TC247_PT_WES	TC219_P0_WES
TC253_PT_WES	TC253_P0_WES	TC253_PT_WES	TC241_PT_WES
TC255_PT_WES	TC255_P0_WES	TC255_PT_WES	TC241_P0_WES
TC286_PT_WES	TC286_P0_WES	TC286_PT_WES	TC247_PT_WES
TC303_PT_WES	TC303_P0_WES	TC303_PT_WES	TC247_P0_WES
TC314_PT_WES	TC314_P0_WES	TC314_PT_WES	TC253_PT_WES
TC316_PT_WES	TC316_P0_WES	TC316_PT_WES	TC253_P0_WES
TC355_PT_WES	TC355_P1_WES	TC355_PT_WES	TC255_PT_WES
TC371_PT_WES	TC371_P0_WES	TC371_PT_WES	TC255_P0_WES
TC386_PT_WES	TC386_P1_WES	TC386_PT_WES	TC286_PT_WES
TC402_PT_WES	TC402_P0_WES	TC402_PT_WES	TC286_P0_WES
TC423_PT_WES	TC423_P0_WES	TC423_PT_WES	TC303_PT_WES
TC429_PT_WES	TC429_P0_WES	TC429_PT_WES	TC303_P0_WES
TC435_PT_WES	TC435_P1_WES	TC435_PT_WES	TC314_PT_WES
TC453_PT_WES	TC453_P0_WES	TC453_PT_WES	TC314_P0_WES
TC454_PT_WES	TC454_P0_WES	TC454_PT_WES	TC316_PT_WES
TC464_PT_WES	TC464_P0_WES	TC464_PT_WES	TC316_P0_WES
TC494_PT_WES	TC494_P0_WES	TC494_PT_WES	TC355_PT_WES
TC496_PT_WES	TC496_P0_WES	TC496_PT_WES	TC355_P1_WES
			TC371_PT_WES
			TC371_P0_WES
			TC386_PT_WES
			TC386_P1_WES
			TC402_PT_WES
			TC402_P0_WES
			TC423_PT_WES
			TC423_P0_WES
			TC429_PT_WES
			TC429_P0_WES
			TC435_PT_WES
			TC435_P1_WES
			TC453_PT_WES
			TC453_P0_WES
			TC454_PT_WES
			TC454_P0_WES
			TC464_PT_WES
			TC464_P0_WES
			TC494_PT_WES
			TC494_P0_WES
			TC496_PT_WES
			TC496_P0_WES
