pair1	pair2	pt	all_samples
135848--042-T--JI5_P0_WES	135848--042-T--JI5M632_P1_WES	NA	135848--042-T--JI5_P0_WES
135848--042-T--JI5_P0_WES	135848--042-T--JI6K88_P1_WES	NA	135848--042-T--JI6_P0_WES
135848--042-T--JI5_P0_WES	135848--042-T--JI6_RG-KD3_P1_WES	NA	135848--042-T--JI5M632_P1_WES
135848--042-T--JI5_P0_WES	135848--042-T--JI5M633KB9_P2_WES	NA	135848--042-T--JI6K88_P1_WES
135848--042-T--JI6_P0_WES	135848--042-T--JI5M632_P1_WES	NA	135848--042-T--JI6_RG-KD3_P1_WES
135848--042-T--JI6_P0_WES	135848--042-T--JI6K88_P1_WES	NA	135848--042-T--JI5M633KB9_P2_WES
135848--042-T--JI6_P0_WES	135848--042-T--JI6_RG-KD3_P1_WES	NA	185487--224-T--KB5LE7_P1_WES
135848--042-T--JI6_P0_WES	135848--042-T--JI5M633KB9_P2_WES	NA	185487--224-T--KB5LE7_RG-M488_P2_WES
185487--224-T--KB5LE7_P1_WES	185487--224-T--KB5LE7_RG-M488_P2_WES	NA	185487--224-T--KB5LE3MF2N28_P3_WES
185487--224-T--KB5LE7_P1_WES	185487--224-T--KB5LE3MF2N28_P3_WES	NA	186413--043-R--UQ7_P0_WES
186413--043-R--UQ7_P0_WES	186413--043-R--UQ6QC6_P1_WES	NA	186413--043-R--UQ6QC6_P1_WES
186413--043-R--UQ7_P0_WES	186413--043-R--UQ7VU0_P1_WES	NA	186413--043-R--UQ7VU0_P1_WES
186413--043-R--UQ7_P0_WES	186413--043-R--UQ7VT8W69_P2_WES	NA	186413--043-R--UQ7VT8W69_P2_WES
186413--043-R--UQ7_P0_WES	186413--043-R--UQ8Q44QR5_P2_WES	NA	186413--043-R--UQ8Q44QR5_P2_WES
253994--281-T--E85M208_P1_WES	253994--281-T--E85M207E17_P2_WES	NA	253994--281-T--E85M208_P1_WES
253994--281-T--E85M208_P1_WES	253994--281-T--E85M209EE3F36A35_P4_WES	NA	253994--281-T--E85M209_P1_WES
253994--281-T--E85M209_P1_WES	253994--281-T--E85M207E17_P2_WES	NA	253994--281-T--E85M207E17_P2_WES
253994--281-T--E85M209_P1_WES	253994--281-T--E85M209EE3F36A35_P4_WES	NA	253994--281-T--E85M209EE3F36A35_P4_WES
273541--280-R--E79_P0_WES	273541--280-R--E79A62_P1_WES	NA	273541--280-R--E79_P0_WES
273541--280-R--E79_P0_WES	273541--280-R--E79A63_P1_WES	NA	273541--280-R--E79A62_P1_WES
273541--280-R--E79_P0_WES	273541--280-R--E79A62F58_P2_WES	NA	273541--280-R--E79A63_P1_WES
296347--364-R--U76_P0_WES	296347--364-R--U77V73_P1_WES	NA	273541--280-R--E79A62F58_P2_WES
296347--364-R--U76_P0_WES	296347--364-R--U77V74_P1_WES	NA	296347--364-R--U76_P0_WES
296347--364-R--U76_P0_WES	296347--364-R--U76V70QC7E19_P3_WES	NA	296347--364-R--U77_P0_WES
296347--364-R--U76_P0_WES	296347--364-R--U77V73PT4K85_P3_WES	NA	296347--364-R--U77V73_P1_WES
