sample1	sample2	pt	ID
226611--082-R--XF8_P0_WES	226611--082-R--XF6V27_P1_WES	NA	226611--082-R--XF8_P0_WES
226611--082-R--XF8_P0_WES	226611--082-R--XF7VA2_P1_WES	NA	226611--082-R--XF6V27_P1_WES
226611--082-R--XF6V27_P1_WES	226611--082-R--XF6V30U25_P2_WES	NA	226611--082-R--XF7VA2_P1_WES
226611--082-R--XF7VA2_P1_WES	226611--082-R--XF6V30U25_P2_WES	NA	226611--082-R--XF6V30U25_P2_WES
226611--082-R--XF6V30U25_P2_WES	226611--082-R--XF8V32_RG-VZ9_P3_WES	NA	226611--082-R--XF8V32_RG-VZ9_P3_WES
226611--082-R--XF6V30U25_P2_WES	226611--082-R--XF8V33_RG-VZ9_P3_WES	NA	226611--082-R--XF8V33_RG-VZ9_P3_WES
245127--232-R--KE6_P0_WES	245127--232-R--KE6L74_P1_WES	NA	245127--232-R--KE6_P0_WES
245127--232-R--KE6L74_P1_WES	245127--232-R--KE8KY7_RG-LW5_P2_WES	NA	245127--232-R--KE6L74_P1_WES
245127--232-R--KE8KY7_RG-LW5_P2_WES	245127--232-R--KE6L72N45VG1_P3_WES	NA	245127--232-R--KE8KY7_RG-LW5_P2_WES
246569--268-R--FE9_P0_WES	246569--268-R--FE9WE1M277_P2_WES	NA	245127--232-R--KE6L72N45VG1_P3_WES
246569--268-R--FE9_P0_WES	246569--268-R--FE9WE2_RG-W11_P2_WES	NA	246569--268-R--FE9_P0_WES
246569--268-R--FE9_P0_WES	246569--268-R--FE9WE4M890_P2_WES	NA	246569--268-R--FE9WE1M277_P2_WES
246569--268-R--FE9_P0_WES	246569--268-R--FE9WE5_RG-W15_P2_WES	NA	246569--268-R--FE9WE2_RG-W11_P2_WES
246569--268-R--FE9WE1M277_P2_WES	246569--268-R--FE9WE4M889M938_P3_WES	NA	246569--268-R--FE9WE4M890_P2_WES
246569--268-R--FE9WE2_RG-W11_P2_WES	246569--268-R--FE9WE4M889M938_P3_WES	NA	246569--268-R--FE9WE5_RG-W15_P2_WES
246569--268-R--FE9WE4M890_P2_WES	246569--268-R--FE9WE4M889M938_P3_WES	NA	246569--268-R--FE9WE4M889M938_P3_WES
246569--268-R--FE9WE5_RG-W15_P2_WES	246569--268-R--FE9WE4M889M938_P3_WES	NA	275155--148-R--ORIGINATOR_PT_WES
275155--148-R--ORIGINATOR_PT_WES	275155--148-R--T16_P0_WES	275155--148-R--ORIGINATOR_PT_WES	275155--148-R--T16_P0_WES
275155--148-R--T16_P0_WES	275155--148-R--T12T71TC0_P2_WES	275155--148-R--ORIGINATOR_PT_WES	275155--148-R--T12T71TC0_P2_WES
275155--148-R--T16_P0_WES	275155--148-R--T13T75TE5_P2_WES	275155--148-R--ORIGINATOR_PT_WES	275155--148-R--T13T75TE5_P2_WES
275155--148-R--T16_P0_WES	275155--148-R--T15TB2TX9_P2_WES	275155--148-R--ORIGINATOR_PT_WES	275155--148-R--T15TB2TX9_P2_WES
275155--148-R--T16_P0_WES	275155--148-R--T16TJ3UK1_P2_WES	275155--148-R--ORIGINATOR_PT_WES	275155--148-R--T16TJ3UK1_P2_WES
297248--317-R--AS2NA9E78_P2_WES	297248--317-R--AS2NA9E78F14FG2HE2_P5_WES	NA	295223--140-R--CS3G61_P1_WES
297248--317-R--AS2NA9E79_P2_WES	297248--317-R--AS2NA9E78F14FG2HE2_P5_WES	NA	295223--140-R--CS5GA2_P1_WES
297248--317-R--AS2NA9E78F14FG2HE2_P5_WES	297248--317-R--AS2NA9E78F14FG0G41HV4_P6_WES	NA	295223--140-R--CS6G66_P1_WES
328373--195-R--ORIGINATOR_PT_WES	328373--195-R--G50_P0_WES	328373--195-R--ORIGINATOR_PT_WES	295223--140-R--CS7G71_P1_WES
328373--195-R--G50_P0_WES	328373--195-R--G47GE9_P1_WES	328373--195-R--ORIGINATOR_PT_WES	297248--317-R--AS2NA9E78_P2_WES
328373--195-R--G50_P0_WES	328373--195-R--G48GJ3_P1_WES	328373--195-R--ORIGINATOR_PT_WES	297248--317-R--AS2NA9E79_P2_WES
328373--195-R--G47GE9_P1_WES	328373--195-R--G47GF1GP6_P2_WES	328373--195-R--ORIGINATOR_PT_WES	297248--317-R--AS2NA9E78F14FG2HE2_P5_WES
328373--195-R--G48GJ3_P1_WES	328373--195-R--G47GF1GP6_P2_WES	328373--195-R--ORIGINATOR_PT_WES	297248--317-R--AS2NA9E78F14FG0G41HV4_P6_WES
328373--195-R--G47GF1GP6_P2_WES	328373--195-R--G49GM6GT6Y25_P3_WES	328373--195-R--ORIGINATOR_PT_WES	328373--195-R--ORIGINATOR_PT_WES
345371--062-R--P24_P0_WES	345371--062-R--P25PJ8_P1_WES	NA	328373--195-R--G50_P0_WES
345371--062-R--P24_P0_WES	345371--062-R--P26PK3_P1_WES	NA	328373--195-R--G47GE9_P1_WES
345371--062-R--P24_P0_WES	345371--062-R--P26PK6_P1_WES	NA	328373--195-R--G48GJ3_P1_WES
345371--062-R--P24_P0_WES	345371--062-R--P27PQ6_P1_WES	NA	328373--195-R--G47GF1GP6_P2_WES
345371--062-R--P26_P0_WES	345371--062-R--P25PJ8_P1_WES	NA	328373--195-R--G49GM6GT6Y25_P3_WES
345371--062-R--P26_P0_WES	345371--062-R--P26PK3_P1_WES	NA	345371--062-R--P24_P0_WES
345371--062-R--P26_P0_WES	345371--062-R--P26PK6_P1_WES	NA	345371--062-R--P26_P0_WES
345371--062-R--P26_P0_WES	345371--062-R--P27PQ6_P1_WES	NA	345371--062-R--P25PJ8_P1_WES
562742--068-R--H25_P0_WES	562742--068-R--H25HE5_P1_WES	NA	345371--062-R--P26PK3_P1_WES
562742--068-R--H25_P0_WES	562742--068-R--H25HE8_P1_WES	NA	345371--062-R--P26PK6_P1_WES
562742--068-R--H25HE5_P1_WES	562742--068-R--H24WF0M892_P2_WES	NA	345371--062-R--P27PQ6_P1_WES
562742--068-R--H25HE5_P1_WES	562742--068-R--H26HF3M876_P2_WES	NA	562742--068-R--H25_P0_WES
562742--068-R--H25HE8_P1_WES	562742--068-R--H24WF0M892_P2_WES	NA	562742--068-R--H25HE5_P1_WES
562742--068-R--H25HE8_P1_WES	562742--068-R--H26HF3M876_P2_WES	NA	562742--068-R--H25HE8_P1_WES
562742--068-R--H24WF0M892_P2_WES	562742--068-R--H24WF0M894X07_P3_WES	NA	562742--068-R--H24WF0M892_P2_WES
562742--068-R--H26HF3M876_P2_WES	562742--068-R--H24WF0M894X07_P3_WES	NA	562742--068-R--H26HF3M876_P2_WES
582836--169-R--ORIGINATOR_PT_WES	582836--169-R--A37_P0_WES	582836--169-R--ORIGINATOR_PT_WES	562742--068-R--H24WF0M894X07_P3_WES
582836--169-R--ORIGINATOR_PT_WES	582836--169-R--A39_P0_WES	582836--169-R--ORIGINATOR_PT_WES	582836--169-R--ORIGINATOR_PT_WES
582836--169-R--A37_P0_WES	582836--169-R--A37AA1_P1_WES	582836--169-R--ORIGINATOR_PT_WES	582836--169-R--A37_P0_WES
582836--169-R--A37_P0_WES	582836--169-R--A38AC6_P1_WES	582836--169-R--ORIGINATOR_PT_WES	582836--169-R--A39_P0_WES
582836--169-R--A37_P0_WES	582836--169-R--A38AC8_P1_WES	582836--169-R--ORIGINATOR_PT_WES	582836--169-R--A37AA1_P1_WES
582836--169-R--A37_P0_WES	582836--169-R--A39AH5_P1_WES	582836--169-R--ORIGINATOR_PT_WES	582836--169-R--A38AC6_P1_WES
582836--169-R--A39_P0_WES	582836--169-R--A37AA1_P1_WES	582836--169-R--ORIGINATOR_PT_WES	582836--169-R--A38AC8_P1_WES
582836--169-R--A39_P0_WES	582836--169-R--A38AC6_P1_WES	582836--169-R--ORIGINATOR_PT_WES	582836--169-R--A39AH5_P1_WES
582836--169-R--A39_P0_WES	582836--169-R--A38AC8_P1_WES	582836--169-R--ORIGINATOR_PT_WES	668155--338-R--YE7_P0_WES
582836--169-R--A39_P0_WES	582836--169-R--A39AH5_P1_WES	582836--169-R--ORIGINATOR_PT_WES	668155--338-R--YE8XD4_P1_WES
668155--338-R--YE7_P0_WES	668155--338-R--YE8XD4_P1_WES	NA	668155--338-R--YF0XE0_P1_WES
668155--338-R--YE7_P0_WES	668155--338-R--YF0XE0_P1_WES	NA	735871--273-R--ORIGINATOR_PT_WES
735871--273-R--ORIGINATOR_PT_WES	735871--273-R--GU9_P0_WES	735871--273-R--ORIGINATOR_PT_WES	735871--273-R--GU9_P0_WES
735871--273-R--GU9_P0_WES	735871--273-R--GV1Y89_P1_WES	735871--273-R--ORIGINATOR_PT_WES	735871--273-R--GV1Y89_P1_WES
735871--273-R--GV1Y89_P1_WES	735871--273-R--GU7Y57YM7_P2_WES	735871--273-R--ORIGINATOR_PT_WES	735871--273-R--GU7Y57YM7_P2_WES
735871--273-R--GV1Y89_P1_WES	735871--273-R--GU8YF8X78_P2_WES	735871--273-R--ORIGINATOR_PT_WES	735871--273-R--GU8YF8X78_P2_WES
735871--273-R--GV1Y89_P1_WES	735871--273-R--GU9YA2X13_P2_WES	735871--273-R--ORIGINATOR_PT_WES	735871--273-R--GU9YA2X13_P2_WES
784116--028-R--H04_P0_WES	784116--028-R--H04M900_P1_WES	NA	784116--028-R--H04_P0_WES
784116--028-R--H04_P0_WES	784116--028-R--H06HG0_P1_WES	NA	784116--028-R--H06_P0_WES
784116--028-R--H06_P0_WES	784116--028-R--H04M900_P1_WES	NA	784116--028-R--H04M900_P1_WES
784116--028-R--H06_P0_WES	784116--028-R--H06HG0_P1_WES	NA	784116--028-R--H06HG0_P1_WES
784116--028-R--H04M900_P1_WES	784116--028-R--H04M898M143_P2_WES	NA	784116--028-R--H04M898M143_P2_WES
784116--028-R--H04M900_P1_WES	784116--028-R--H06HF7W51_P2_WES	NA	784116--028-R--H06HF7W51_P2_WES
784116--028-R--H06HG0_P1_WES	784116--028-R--H04M898M143_P2_WES	NA	832693--133-R--VW3_P0_WES
784116--028-R--H06HG0_P1_WES	784116--028-R--H06HF7W51_P2_WES	NA	832693--133-R--VW5_P0_WES
832693--133-R--VW3_P0_WES	832693--133-R--VW3M168_P1_WES	NA	832693--133-R--VW3M168_P1_WES
832693--133-R--VW3_P0_WES	832693--133-R--VW5PV3_P1_WES	NA	832693--133-R--VW5PV3_P1_WES
