pair1	pair2	pt	all_samples
258747--076-R--XB9_P0_WES	258747--076-R--XB9WS8_P1_WES	NA	258747--076-R--XB9_P0_WES
258747--076-R--XB9_P0_WES	258747--076-R--XB9WS9_P1_WES	NA	258747--076-R--XB9WS8_P1_WES
258747--076-R--XB9_P0_WES	258747--076-R--XB9WT1_P1_WES	NA	258747--076-R--XB9WS9_P1_WES
258747--076-R--XB9_P0_WES	258747--076-R--XB9WT1Y20_P2_WES	NA	258747--076-R--XB9WT1_P1_WES
349418--098-R--JS4_P0_WES	349418--098-R--JS4KX0_P1_WES	NA	258747--076-R--XB9WT1Y20_P2_WES
349418--098-R--JS4_P0_WES	349418--098-R--JU4KS6_P1_WES	NA	349418--098-R--JS4_P0_WES
349418--098-R--JS4_P0_WES	349418--098-R--JU4KT5L04_P2_WES	NA	349418--098-R--JS5_P0_WES
349418--098-R--JS4_P0_WES	349418--098-R--JU4_RG-M304MK1_P2_WES	NA	349418--098-R--JU4_P0_WES
349418--098-R--JS5_P0_WES	349418--098-R--JS4KX0_P1_WES	NA	349418--098-R--JS4KX0_P1_WES
349418--098-R--JS5_P0_WES	349418--098-R--JU4KS6_P1_WES	NA	349418--098-R--JU4KS6_P1_WES
349418--098-R--JS5_P0_WES	349418--098-R--JU4KT5L04_P2_WES	NA	349418--098-R--JU4KT5L04_P2_WES
349418--098-R--JS5_P0_WES	349418--098-R--JU4_RG-M304MK1_P2_WES	NA	349418--098-R--JU4_RG-M304MK1_P2_WES
349418--098-R--JU4_P0_WES	349418--098-R--JS4KX0_P1_WES	NA	417821--307-R--TO3_P0_WES
349418--098-R--JU4_P0_WES	349418--098-R--JU4KS6_P1_WES	NA	417821--307-R--TO3US9_P1_WES
349418--098-R--JU4_P0_WES	349418--098-R--JU4KT5L04_P2_WES	NA	417821--307-R--TO3UT0VL0_P2_WES
349418--098-R--JU4_P0_WES	349418--098-R--JU4_RG-M304MK1_P2_WES	NA	417821--307-R--TO3UT3VL8_P2_WES
417821--307-R--TO3_P0_WES	417821--307-R--TO3US9_P1_WES	NA	417821--307-R--TO3UT1VL1Q87_P3_WES
417821--307-R--TO3_P0_WES	417821--307-R--TO3UT0VL0_P2_WES	NA	417821--307-R--TO3UT2VL5Q89_P3_WES
417821--307-R--TO3_P0_WES	417821--307-R--TO3UT3VL8_P2_WES	NA	692585--246-R--ORIGINATOR_PT_WES
417821--307-R--TO3_P0_WES	417821--307-R--TO3UT1VL1Q87_P3_WES	NA	692585--246-R--AB7_P0_WES
417821--307-R--TO3_P0_WES	417821--307-R--TO3UT2VL5Q89_P3_WES	NA	692585--246-R--AB7IJ0_P1_WES
692585--246-R--AB7_P0_WES	692585--246-R--AB7IJ0_P1_WES	692585--246-R--ORIGINATOR_PT_WES	692585--246-R--AB7IJ0NI0_P2_WES
692585--246-R--AB7_P0_WES	692585--246-R--AB7IJ0NI0_P2_WES	692585--246-R--ORIGINATOR_PT_WES	692585--246-R--AB7IJ0NH9QS9_P3_WES
692585--246-R--AB7_P0_WES	692585--246-R--AB7IJ0NH9QS9_P3_WES	692585--246-R--ORIGINATOR_PT_WES	692585--246-R--AB7IJ1NK6M780_P3_WES
