pair1	pair2	pt	all_samples				
128128--338-R--L42_P0_WES	128128--338-R--L43MZ1_P1_WES	NA	128128--338-R--L42_P0_WES				
128128--338-R--L42_P0_WES	128128--338-R--L43MZ4_P1_WES	NA	128128--338-R--L43_P0_WES				
128128--338-R--L42_P0_WES	128128--338-R--L44NT6_P1_WES	NA	128128--338-R--L43MZ1_P1_WES				
128128--338-R--L43_P0_WES	128128--338-R--L43MZ1_P1_WES	NA	128128--338-R--L43MZ4_P1_WES				
128128--338-R--L43_P0_WES	128128--338-R--L43MZ4_P1_WES	NA	128128--338-R--L44NT6_P1_WES				
128128--338-R--L43_P0_WES	128128--338-R--L44NT6_P1_WES	NA	128128--338-R--L44NT9_RG-Q18_P2_WES				
128128--338-R--L43MZ1_P1_WES	128128--338-R--L44NT9_RG-Q18_P2_WES	NA	137849--337-R--TW7_P0_WES				
128128--338-R--L43MZ4_P1_WES	128128--338-R--L44NT9_RG-Q18_P2_WES	NA	137849--337-R--TW8_P0_WES				
128128--338-R--L44NT6_P1_WES	128128--338-R--L44NT9_RG-Q18_P2_WES	NA	137849--337-R--TW7VT3_P1_WES				
137849--337-R--TW7_P0_WES	137849--337-R--TW7VT3_P1_WES	NA	137849--337-R--TW8VT5_P1_WES				
137849--337-R--TW7_P0_WES	137849--337-R--TW8VT5_P1_WES	NA	137849--337-R--TW7VT4_RG-M188_P2_WES				
137849--337-R--TW8_P0_WES	137849--337-R--TW7VT3_P1_WES	NA	137849--337-R--TW8VT6M270_P2_WES				
137849--337-R--TW8_P0_WES	137849--337-R--TW8VT5_P1_WES	NA	156681--154-R--A26_P0_WES				
137849--337-R--TW7VT3_P1_WES	137849--337-R--TW7VT4_RG-M188_P2_WES	NA	156681--154-R--A26A88AJ3AW1_P3_WES				
137849--337-R--TW7VT3_P1_WES	137849--337-R--TW8VT6M270_P2_WES	NA	156681--154-R--A26A88AJ4I88_RG_P3_WES				
137849--337-R--TW8VT5_P1_WES	137849--337-R--TW7VT4_RG-M188_P2_WES	NA	156681--154-R--A26A89AJ5AW4_P3_WES				
137849--337-R--TW8VT5_P1_WES	137849--337-R--TW8VT6M270_P2_WES	NA	156681--154-R--A26A89AJ6AU1_P3_WES				
156681--154-R--A26_P0_WES	156681--154-R--A26A88AJ3AW1_P3_WES	NA	174316--266-R--ORIGINATOR_PT_WES				
156681--154-R--A26_P0_WES	156681--154-R--A26A88AJ4I88_RG_P3_WES	NA	174316--266-R--AD7_P0_WES				
156681--154-R--A26_P0_WES	156681--154-R--A26A89AJ5AW4_P3_WES	NA	174316--266-R--AD8_P0_WES				
156681--154-R--A26_P0_WES	156681--154-R--A26A89AJ6AU1_P3_WES	NA	174316--266-R--AD7I14_P1_WES				
174316--266-R--ORIGINATOR_PT_WES	174316--266-R--AD7_P0_WES	174316--266-R--ORIGINATOR_PT_WES	174316--266-R--AD8I91NB6E05_P3_WES				
174316--266-R--ORIGINATOR_PT_WES	174316--266-R--AD8_P0_WES	174316--266-R--ORIGINATOR_PT_WES	174316--266-R--AD7I12II7NB9WC6_P4_WES				
174316--266-R--AD7_P0_WES	174316--266-R--AD7I14_P1_WES	174316--266-R--ORIGINATOR_PT_WES	174941--126-T--DA3_P0_WES				
174316--266-R--AD8_P0_WES	174316--266-R--AD7I14_P1_WES	174316--266-R--ORIGINATOR_PT_WES	174941--126-T--DA3DW6_P1_WES				
174316--266-R--AD7I14_P1_WES	174316--266-R--AD8I91NB6E05_P3_WES	174316--266-R--ORIGINATOR_PT_WES	174941--126-T--DA4DZ5_P1_WES				
174316--266-R--AD8I91NB6E05_P3_WES	174316--266-R--AD7I12II7NB9WC6_P4_WES	174316--266-R--ORIGINATOR_PT_WES	174941--126-T--DA3DW5YB6_P2_WES				
174941--126-T--DA3_P0_WES	174941--126-T--DA3DW6_P1_WES	NA	174941--126-T--DA4DZ7WS8_P2_WES				
174941--126-T--DA3_P0_WES	174941--126-T--DA4DZ5_P1_WES	NA	174941--126-T--DA3DW5YB6Z33_P3_WES				
174941--126-T--DA3DW6_P1_WES	174941--126-T--DA3DW5YB6_P2_WES	NA	415371--026-R--ORIGINATOR_PT_WES				
174941--126-T--DA3DW6_P1_WES	174941--126-T--DA4DZ7WS8_P2_WES	NA	415371--026-R--YQ9_P0_WES				
174941--126-T--DA4DZ5_P1_WES	174941--126-T--DA3DW5YB6_P2_WES	NA	415371--026-R--YR0_P0_WES				
174941--126-T--DA4DZ5_P1_WES	174941--126-T--DA4DZ7WS8_P2_WES	NA	415371--026-R--YQ9XN9_P1_WES				
174941--126-T--DA3DW5YB6_P2_WES	174941--126-T--DA3DW5YB6Z33_P3_WES	NA	415371--026-R--YR0WA5_P1_WES				
174941--126-T--DA4DZ7WS8_P2_WES	174941--126-T--DA3DW5YB6Z33_P3_WES	NA	415371--026-R--YQ9XP1WT3_P2_WES				
415371--026-R--ORIGINATOR_PT_WES	415371--026-R--YQ9_P0_WES	415371--026-R--ORIGINATOR_PT_WES	415371--026-R--YR0WA4WT7_P2_WES				
415371--026-R--ORIGINATOR_PT_WES	415371--026-R--YR0_P0_WES	415371--026-R--ORIGINATOR_PT_WES	563396--261-R--KP0_P0_WES				
415371--026-R--YQ9_P0_WES	415371--026-R--YQ9XN9_P1_WES	415371--026-R--ORIGINATOR_PT_WES	563396--261-R--KN9L92_P1_WES				
415371--026-R--YQ9_P0_WES	415371--026-R--YR0WA5_P1_WES	415371--026-R--ORIGINATOR_PT_WES	563396--261-R--KP1LD4_P1_WES				
415371--026-R--YR0_P0_WES	415371--026-R--YQ9XN9_P1_WES	415371--026-R--ORIGINATOR_PT_WES	563396--261-R--KP1LD5_P1_WES				
415371--026-R--YR0_P0_WES	415371--026-R--YR0WA5_P1_WES	415371--026-R--ORIGINATOR_PT_WES	563396--261-R--KN9L97_RG-M706_P2_WES				
