ID	chromosome	start	end	N	log2.ratio
272462--364-R--APP_P0_WES	1	65529	119987198	5044404	-0.379487
272462--364-R--APP_P0_WES	1	143544364	201205076	2478834	-0.383992
272462--364-R--APP_P0_WES	1	201206099	201214969	6845	-0.469865
272462--364-R--APP_P0_WES	1	201216624	248441064	1746777	-0.395759
272462--364-R--APP_P0_WES	1	248441164	248913702	22347	-0.51254
272462--364-R--APP_P0_WES	2	41366	91749464	2664208	0.202255
272462--364-R--APP_P0_WES	2	94871500	95889774	43743	0.0106011
272462--364-R--APP_P0_WES	2	95935375	95954125	4339	0.00264173
272462--364-R--APP_P0_WES	2	95962194	97142612	135074	0.0275938
272462--364-R--APP_P0_WES	2	97142657	97511190	10370	0.0642172
272462--364-R--APP_P0_WES	2	97576286	242004266	4560321	0.0649223
272462--364-R--APP_P0_WES	3	326074	75214571	2644254	-0.382928
272462--364-R--APP_P0_WES	3	75630725	75665825	1608	-0.563769
272462--364-R--APP_P0_WES	3	75731880	89407936	68550	-0.481818
272462--364-R--APP_P0_WES	3	93877297	195519008	2800596	0.0662908
272462--364-R--APP_P0_WES	3	195618565	195983958	39872	0.169414
272462--364-R--APP_P0_WES	3	195984311	197999191	127328	0.0629867
272462--364-R--APP_P0_WES	4	60478	49037941	1156270	-0.386538
272462--364-R--APP_P0_WES	4	52029884	190026883	2564199	-0.392883
272462--364-R--APP_P0_WES	5	156694	1293971	113570	0.00655205
272462--364-R--APP_P0_WES	5	1320607	1594355	21497	-0.38805
272462--364-R--APP_P0_WES	5	1708757	44809643	744780	0.0304867
272462--364-R--APP_P0_WES	5	50402346	146047964	2322634	0.0548266
272462--364-R--APP_P0_WES	5	146062570	146263485	20212	-0.34681
272462--364-R--APP_P0_WES	5	146458877	181239649	1212262	0.0396769
272462--364-R--APP_P0_WES	6	203722	367552	5018	-0.102536
272462--364-R--APP_P0_WES	6	599042	31662218	961782	-0.235959
272462--364-R--APP_P0_WES	6	31710744	31869714	50956	-0.269277
272462--364-R--APP_P0_WES	6	31870664	57182325	1420763	-0.224735
272462--364-R--APP_P0_WES	6	60400131	170566692	2396859	-0.253596
272462--364-R--APP_P0_WES	7	193091	57177540	1691821	0.825641
272462--364-R--APP_P0_WES	7	63568687	63894327	2281	1.34359
272462--364-R--APP_P0_WES	7	64207074	100949667	1295949	0.821102
272462--364-R--APP_P0_WES	7	100949895	100991652	6523	0.550491
272462--364-R--APP_P0_WES	7	101005632	102473107	110911	0.801134
272462--364-R--APP_P0_WES	7	102500893	103098732	32827	0.546934
272462--364-R--APP_P0_WES	7	103313179	142208504	1270332	0.852268
272462--364-R--APP_P0_WES	7	142308504	142346081	4694	0.856764
272462--364-R--APP_P0_WES	7	142346093	142721177	5881	0.815323
272462--364-R--APP_P0_WES	7	142749349	142752844	2397	1.11654
272462--364-R--APP_P0_WES	7	142753014	144232679	109273	0.806479
272462--364-R--APP_P0_WES	7	144251315	144371387	14687	0.695302
272462--364-R--APP_P0_WES	7	144378656	159138084	532263	0.795452
272462--364-R--APP_P0_WES	8	232807	7055509	116417	-0.0282755
272462--364-R--APP_P0_WES	8	7429219	7882333	21791	-0.0128919
272462--364-R--APP_P0_WES	8	8378013	43315836	1088418	0.0188998
272462--364-R--APP_P0_WES	8	46843218	145003393	2139162	-0.00675381
272462--364-R--APP_P0_WES	9	154795	41183587	881204	-0.0203121
272462--364-R--APP_P0_WES	9	61104542	63819774	3340	-0.0920124
272462--364-R--APP_P0_WES	9	63837645	138177100	2964052	-2.91E-07
272462--364-R--APP_P0_WES	10	49134	38383023	953920	-0.0145332
272462--364-R--APP_P0_WES	10	41860304	46330066	110468	0.0374518
272462--364-R--APP_P0_WES	10	46549296	46589533	6493	0.0569917
272462--364-R--APP_P0_WES	10	47300628	48159142	12457	0.0222095
272462--364-R--APP_P0_WES	10	48211965	125797911	2626436	0.0299269
272462--364-R--APP_P0_WES	10	125979748	133555259	256501	0.0024281
272462--364-R--APP_P0_WES	10	133625384	133659554	1359	0.16813
272462--364-R--APP_P0_WES	11	194331	1015923	167820	0.000652835
272462--364-R--APP_P0_WES	11	1016665	1018483	1747	0.444825
272462--364-R--APP_P0_WES	11	1023682	49308000	1789770	0.0193821
272462--364-R--APP_P0_WES	11	54591999	56641534	56800	-0.0968377
272462--364-R--APP_P0_WES	11	56700334	56701511	1158	-0.0189301
272462--364-R--APP_P0_WES	11	56741049	134986767	3574264	0.0305824
272462--364-R--APP_P0_WES	12	125962	1190250	88919	0.716379
272462--364-R--APP_P0_WES	12	1639484	2611971	49122	0.732831
272462--364-R--APP_P0_WES	12	2634190	3673684	66668	0.692777
272462--364-R--APP_P0_WES	12	3678858	6019818	90703	0.567858
272462--364-R--APP_P0_WES	12	6022715	6044368	3808	0.436937
272462--364-R--APP_P0_WES	12	6044493	6824057	124758	0.68182
272462--364-R--APP_P0_WES	12	6824621	9443972	270209	0.629932
272462--364-R--APP_P0_WES	12	9480489	9926266	29401	0.520919
272462--364-R--APP_P0_WES	12	9971737	10997720	78991	0.612432
272462--364-R--APP_P0_WES	12	11021620	11133203	6089	0.351977
272462--364-R--APP_P0_WES	12	11133219	11134416	1185	0.302744
272462--364-R--APP_P0_WES	12	11185953	16376335	178000	0.630006
272462--364-R--APP_P0_WES	12	16605093	19720752	49057	0.673571
272462--364-R--APP_P0_WES	12	20571957	21654753	66858	0.575609
272462--364-R--APP_P0_WES	12	21806197	23951001	53434	0.594368
272462--364-R--APP_P0_WES	12	24817774	27081981	87964	0.633742
272462--364-R--APP_P0_WES	12	27147411	27474604	15524	0.646076
272462--364-R--APP_P0_WES	12	27488540	30991949	99103	0.6249
272462--364-R--APP_P0_WES	12	31085125	31138320	16632	0.54229
272462--364-R--APP_P0_WES	12	31154239	34029434	76783	0.597406
272462--364-R--APP_P0_WES	12	38316781	39307406	13705	0.463375
272462--364-R--APP_P0_WES	12	39333440	40310755	38722	0.64476
272462--364-R--APP_P0_WES	12	40315120	45023939	152979	0.61618
272462--364-R--APP_P0_WES	12	45755991	47667666	47205	0.562874
272462--364-R--APP_P0_WES	12	47687756	47994319	58423	0.626987
272462--364-R--APP_P0_WES	12	47995110	48153718	28397	0.629387
272462--364-R--APP_P0_WES	12	48483273	49066352	99918	0.582618
272462--364-R--APP_P0_WES	12	49102668	49897740	91530	0.646033
272462--364-R--APP_P0_WES	12	49897952	50144842	39578	0.64125
272462--364-R--APP_P0_WES	12	50166093	51191499	75278	0.618516
272462--364-R--APP_P0_WES	12	51238671	52180996	77631	0.627498
272462--364-R--APP_P0_WES	12	52233730	52380909	27138	0.689778
272462--364-R--APP_P0_WES	12	52383682	53486869	197118	0.656581
272462--364-R--APP_P0_WES	12	53504024	54950188	101783	0.591217
272462--364-R--APP_P0_WES	12	54962474	55819513	56554	0.5906
272462--364-R--APP_P0_WES	12	55819592	56354982	136385	0.648865
272462--364-R--APP_P0_WES	12	56417765	57149789	101517	0.624742
272462--364-R--APP_P0_WES	12	57187548	57478444	58705	0.688765
272462--364-R--APP_P0_WES	12	57610139	57956848	66020	0.601752
272462--364-R--APP_P0_WES	12	58811774	62578448	48339	0.66569
272462--364-R--APP_P0_WES	12	62694121	64353053	37215	0.584351
272462--364-R--APP_P0_WES	12	64419290	66247604	70887	0.656545
272462--364-R--APP_P0_WES	12	66302475	68690761	49548	0.630367
272462--364-R--APP_P0_WES	12	68742203	69575080	28097	0.640543
272462--364-R--APP_P0_WES	12	69585335	69958331	30755	0.649755
272462--364-R--APP_P0_WES	12	70319158	70555840	14392	0.622923
272462--364-R--APP_P0_WES	12	70559202	71524636	25309	0.628276
272462--364-R--APP_P0_WES	12	71561614	75278774	59581	0.630724
272462--364-R--APP_P0_WES	12	75293405	89604242	294579	0.636641
272462--364-R--APP_P0_WES	12	91157376	94333388	62157	0.680652
272462--364-R--APP_P0_WES	12	94571282	101405733	276156	0.627807
272462--364-R--APP_P0_WES	12	101642717	101733362	15881	0.649184
272462--364-R--APP_P0_WES	12	101739613	103305907	49760	0.642094
272462--364-R--APP_P0_WES	12	103406543	104003498	63717	0.599939
272462--364-R--APP_P0_WES	12	104066033	110722198	384767	0.660175
272462--364-R--APP_P0_WES	12	110722845	111263525	13319	0.635631
272462--364-R--APP_P0_WES	12	111338663	112473308	123379	0.619205
272462--364-R--APP_P0_WES	12	112831607	117263909	172724	0.679441
272462--364-R--APP_P0_WES	12	117267968	118018941	18100	0.714003
272462--364-R--APP_P0_WES	12	118022381	118103434	11334	0.620191
272462--364-R--APP_P0_WES	12	118136495	119125148	19147	0.726639
272462--364-R--APP_P0_WES	12	119125259	119528513	13047	0.665744
272462--364-R--APP_P0_WES	12	119530738	120345484	80302	0.53533
272462--364-R--APP_P0_WES	12	120345724	122191466	164318	0.669591
272462--364-R--APP_P0_WES	12	122204614	123253718	127347	0.718277
272462--364-R--APP_P0_WES	12	123256661	123656005	45115	0.691389
272462--364-R--APP_P0_WES	12	123659848	123783911	21384	0.751448
272462--364-R--APP_P0_WES	12	123785658	123942555	36905	0.656903
272462--364-R--APP_P0_WES	12	124295655	124495243	24954	0.768071
272462--364-R--APP_P0_WES	12	124785936	124952280	10833	0.659318
272462--364-R--APP_P0_WES	12	124968996	131071092	85808	0.6166
272462--364-R--APP_P0_WES	12	131071100	131711144	7820	0.762184
272462--364-R--APP_P0_WES	12	131753205	132076703	51035	0.601888
272462--364-R--APP_P0_WES	12	132077581	132727601	64539	0.564612
272462--364-R--APP_P0_WES	12	132727920	132773973	7650	0.544107
272462--364-R--APP_P0_WES	12	132777867	133221063	46010	0.514302
272462--364-R--APP_P0_WES	13	19026335	114299067	1687756	-0.458979
272462--364-R--APP_P0_WES	14	19097796	19760195	3452	-0.162669
272462--364-R--APP_P0_WES	14	19797106	22956973	303270	-0.429596
272462--364-R--APP_P0_WES	14	22982392	23182795	30818	-0.402332
272462--364-R--APP_P0_WES	14	23240631	100360436	2316499	-0.447219
272462--364-R--APP_P0_WES	14	100365945	106874951	419068	-1.00763
272462--364-R--APP_P0_WES	15	20014037	101775533	3343327	-0.431841
272462--364-R--APP_P0_WES	16	59667	4474059	735687	0.328285
272462--364-R--APP_P0_WES	16	4509272	6020175	93791	0.331309
272462--364-R--APP_P0_WES	16	6654473	35082080	1319230	0.34002
272462--364-R--APP_P0_WES	16	46621134	49279239	99381	0.303274
272462--364-R--APP_P0_WES	16	50025368	66778894	528508	0.365423
272462--364-R--APP_P0_WES	16	66796598	68297458	258183	0.360087
272462--364-R--APP_P0_WES	16	68302457	90094911	1092730	0.308901
272462--364-R--APP_P0_WES	17	156324	21291378	1556176	-0.437739
272462--364-R--APP_P0_WES	17	21291457	22204134	9980	-0.493806
272462--364-R--APP_P0_WES	17	27301794	83135650	3729249	-0.406353
272462--364-R--APP_P0_WES	18	180210	14752508	393439	-0.128667
272462--364-R--APP_P0_WES	18	14784642	15005786	8677	-0.317499
272462--364-R--APP_P0_WES	18	21403805	80168979	1090585	-0.166394
272462--364-R--APP_P0_WES	19	107381	8527159	1068664	0.0362583
272462--364-R--APP_P0_WES	19	8590135	8914318	38203	0.0449369
272462--364-R--APP_P0_WES	19	8914908	8933007	3843	-0.0867648
272462--364-R--APP_P0_WES	19	8934842	9252123	52021	-0.0689592
272462--364-R--APP_P0_WES	19	9298132	9970488	49995	0.0105389
272462--364-R--APP_P0_WES	19	9970524	10055256	21114	0.0156915
272462--364-R--APP_P0_WES	19	10107354	10916950	134201	-0.0338178
272462--364-R--APP_P0_WES	19	10984391	11306524	55592	0.0772449
