ID	chromosome	start	end	N	log2.ratio
226611--082-R--XF8_P0_WES	1	817514	58677041	3353788	0.0209304
226611--082-R--XF8_P0_WES	1	58681748	119987127	1491318	-0.648311
226611--082-R--XF8_P0_WES	1	143544364	248649867	4402270	0.727485
226611--082-R--XF8_P0_WES	2	1083444	40175369	1223306	0.412373
226611--082-R--XF8_P0_WES	2	41938614	43676025	56353	1.0617
226611--082-R--XF8_P0_WES	2	43678737	75710675	981574	0.718632
226611--082-R--XF8_P0_WES	2	79026024	89045930	241646	0.396137
226611--082-R--XF8_P0_WES	2	89046392	89937740	15334	0.243625
226611--082-R--XF8_P0_WES	2	94871500	95935361	43325	0.319055
226611--082-R--XF8_P0_WES	2	95935375	95954125	3718	-0.520446
226611--082-R--XF8_P0_WES	2	96023430	97163407	129978	0.373773
226611--082-R--XF8_P0_WES	2	97163467	97211741	2166	0.0707855
226611--082-R--XF8_P0_WES	2	97241501	102758294	247376	0.403215
226611--082-R--XF8_P0_WES	2	104855597	133213876	638299	0.709512
226611--082-R--XF8_P0_WES	2	134317807	241900417	3492102	0.401355
226611--082-R--XF8_P0_WES	3	344564	75630964	2472517	-0.584189
226611--082-R--XF8_P0_WES	3	75664574	75741671	5281	-0.399887
226611--082-R--XF8_P0_WES	3	76435032	89479327	61035	-0.712589
226611--082-R--XF8_P0_WES	3	93886282	100655896	134530	1.14212
226611--082-R--XF8_P0_WES	3	100656187	100792584	10754	1.27449
226611--082-R--XF8_P0_WES	3	100792602	122686932	606920	0.996685
226611--082-R--XF8_P0_WES	3	122699687	130376336	419927	1.43511
226611--082-R--XF8_P0_WES	3	130413721	132037280	78931	1.37753
226611--082-R--XF8_P0_WES	3	132344799	150882836	550963	1.39406
226611--082-R--XF8_P0_WES	3	150928362	153486333	62024	1.4452
226611--082-R--XF8_P0_WES	3	154194852	173604487	399880	1.35097
226611--082-R--XF8_P0_WES	3	173605488	179027302	22022	1.29369
226611--082-R--XF8_P0_WES	3	179204486	179973306	54063	1.37865
226611--082-R--XF8_P0_WES	3	180602557	182866157	31920	1.31038
226611--082-R--XF8_P0_WES	3	182872566	196929919	611875	1.42029
226611--082-R--XF8_P0_WES	3	196939343	198038852	72562	1.4668
226611--082-R--XF8_P0_WES	4	60478	271152	5863	-1.19826
226611--082-R--XF8_P0_WES	4	295350	1093699	83487	0.0128674
226611--082-R--XF8_P0_WES	4	1094113	42657011	861886	-0.598087
226611--082-R--XF8_P0_WES	4	44448571	49061855	134697	0.977734
226611--082-R--XF8_P0_WES	4	51848078	106003774	1086059	-0.638819
226611--082-R--XF8_P0_WES	4	106233116	108078210	30069	0.33335
226611--082-R--XF8_P0_WES	4	108556952	110633038	75426	-0.674001
226611--082-R--XF8_P0_WES	4	112423670	145696438	518443	0.346583
