ID	chromosome	start	end	N	log2.ratio
BC111_PT_WGS	1	840000	125180000	5858	-0.0127979
BC111_PT_WGS	1	143560000	185480000	1853	0.0512747
BC111_PT_WGS	1	185500000	238460000	2604	-0.0221831
BC111_PT_WGS	1	238480000	248940000	499	0.0793737
BC111_PT_WGS	2	40000	91420000	4374	0.0304256
BC111_PT_WGS	2	94520000	242100000	7119	-0.0168299
BC111_PT_WGS	3	20000	91540000	4508	0.00401897
BC111_PT_WGS	3	93720000	169200000	3742	0.00452433
BC111_PT_WGS	3	169220000	175360000	306	0.0835524
BC111_PT_WGS	3	175380000	176020000	33	-0.999827
BC111_PT_WGS	3	176040000	198120000	1090	-0.00890955
BC111_PT_WGS	4	80000	49080000	2402	-0.0335903
BC111_PT_WGS	4	51860000	190020000	6825	-0.0135313
BC111_PT_WGS	5	40000	46440000	2237	0.0331315
BC111_PT_WGS	5	50300000	69540000	957	0.0232813
BC111_PT_WGS	5	71020000	122540000	2538	-0.000836508
BC111_PT_WGS	5	122560000	181300000	2894	0.0648288
BC111_PT_WGS	6	180000	400000	12	0.494113
BC111_PT_WGS	6	420000	58400000	2824	0.0398335
BC111_PT_WGS	6	60240000	170600000	5446	-0.0321831
BC111_PT_WGS	7	60000	58120000	2804	0.0231435
BC111_PT_WGS	7	60920000	159320000	4562	-0.00252207
BC111_PT_WGS	8	260000	7100000	328	-0.0384656
BC111_PT_WGS	8	8240000	43560000	1729	-0.014482
BC111_PT_WGS	8	46120000	145080000	4889	0.034708
BC111_PT_WGS	9	220000	43200000	1916	-0.0226668
BC111_PT_WGS	9	60540000	138120000	3459	0.0103275
BC111_PT_WGS	10	80000	39580000	1926	0.0261528
BC111_PT_WGS	10	41920000	56160000	590	0.0461311
BC111_PT_WGS	10	56180000	56520000	18	-0.977996
BC111_PT_WGS	10	56540000	133620000	3799	0.0262338
BC111_PT_WGS	11	220000	50340000	2453	0.0341004
BC111_PT_WGS	11	54580000	68760000	672	0.0358077
BC111_PT_WGS	11	68780000	70660000	95	0.408627
BC111_PT_WGS	11	70680000	71360000	30	0.81931
BC111_PT_WGS	11	71380000	135060000	3137	-0.0126572
BC111_PT_WGS	12	60000	34400000	1682	-0.0187119
BC111_PT_WGS	12	37280000	133260000	4731	0.0268623
BC111_PT_WGS	13	18220000	18800000	5	-0.638102
BC111_PT_WGS	13	18880000	114360000	4719	-0.00742429
BC111_PT_WGS	14	16100000	21840000	107	-0.00369262
BC111_PT_WGS	14	21860000	22520000	34	-0.384702
BC111_PT_WGS	14	22540000	99180000	3815	0.00641523
BC111_PT_WGS	14	99200000	105860000	330	0.100641
BC111_PT_WGS	14	105880000	106220000	18	-0.577383
BC111_PT_WGS	14	106240000	106880000	31	0.0484988
BC111_PT_WGS	15	17040000	20000000	6	0.0478269
BC111_PT_WGS	15	20260000	22300000	13	1.12577
BC111_PT_WGS	15	22800000	101860000	3796	0.0193724
BC111_PT_WGS	16	40000	36260000	1469	-0.00945738
BC111_PT_WGS	16	46420000	90100000	2138	0
BC111_PT_WGS	17	160000	22640000	1031	-0.0222828
BC111_PT_WGS	17	26640000	35840000	442	-0.00427195
BC111_PT_WGS	17	35860000	37400000	65	0.549901
BC111_PT_WGS	17	37420000	59620000	1046	0.0297878
BC111_PT_WGS	17	59640000	60980000	63	0.890156
BC111_PT_WGS	17	61000000	83220000	1095	0.00950735
BC111_PT_WGS	18	80000	15200000	712	-0.0345801
BC111_PT_WGS	18	20980000	25920000	246	0.029967
BC111_PT_WGS	18	25940000	80260000	2700	-0.0600599
BC111_PT_WGS	19	280000	24180000	1132	-0.033157
BC111_PT_WGS	19	27660000	58600000	1516	-0.0062441
BC111_PT_WGS	20	80000	26380000	1292	0.0285212
BC111_PT_WGS	20	28760000	31300000	59	0.30534
BC111_PT_WGS	20	31320000	64280000	1643	0.0688904
BC111_PT_WGS	21	7940000	9780000	6	1.85534
BC111_PT_WGS	21	10420000	10540000	3	1.6323
BC111_PT_WGS	21	10560000	13900000	8	0.542742
BC111_PT_WGS	21	14020000	46680000	1588	-0.0324209
BC111_PT_WGS	22	10720000	11640000	7	0.864857
BC111_PT_WGS	22	15940000	50740000	1631	-0.0116384
BC111_P2_WGS	1	840000	31840000	1489	-0.627075
BC111_P2_WGS	1	31860000	32080000	12	-0.0162601
BC111_P2_WGS	1	32100000	112940000	3985	-0.573993
BC111_P2_WGS	1	112960000	113240000	15	0.0626845
BC111_P2_WGS	1	113260000	121600000	347	-0.560591
BC111_P2_WGS	1	124960000	125180000	10	0.523851
BC111_P2_WGS	1	143560000	183160000	1737	0.423042
BC111_P2_WGS	1	183180000	185060000	95	0.757728
BC111_P2_WGS	1	185080000	238460000	2625	0.0146673
BC111_P2_WGS	1	238480000	244000000	259	1.20874
BC111_P2_WGS	1	244020000	246380000	119	0.981397
BC111_P2_WGS	1	246400000	246700000	16	1.41216
BC111_P2_WGS	1	246720000	248940000	105	0.965758
BC111_P2_WGS	2	40000	4600000	229	-0.0408973
BC111_P2_WGS	2	4620000	62880000	2898	0.412071
BC111_P2_WGS	2	62900000	91420000	1247	0.00205778
BC111_P2_WGS	2	94520000	115500000	888	-0.00196012
BC111_P2_WGS	2	115520000	119340000	191	-1.58837
BC111_P2_WGS	2	119360000	140940000	1017	-0.593395
BC111_P2_WGS	2	140960000	141420000	24	-1.25814
BC111_P2_WGS	2	141440000	242100000	4999	-0.568974
BC111_P2_WGS	3	20000	540000	27	0.402643
BC111_P2_WGS	3	560000	58340000	2873	0
BC111_P2_WGS	3	58360000	82360000	1196	-0.58028
BC111_P2_WGS	3	82380000	82700000	17	0.0578714
BC111_P2_WGS	3	82720000	83700000	50	-0.536914
BC111_P2_WGS	3	83720000	91540000	345	0.0329248
BC111_P2_WGS	3	93720000	136440000	2113	0.0099351
BC111_P2_WGS	3	136460000	136840000	20	0.454076
BC111_P2_WGS	3	136860000	168860000	1592	0.0218266
BC111_P2_WGS	3	168880000	169120000	13	0.502236
BC111_P2_WGS	3	169140000	174040000	245	1.02801
BC111_P2_WGS	3	174060000	174320000	13	0.744611
BC111_P2_WGS	3	174340000	175360000	52	0.065463
BC111_P2_WGS	3	175380000	176040000	34	-0.557872
BC111_P2_WGS	3	176060000	185880000	490	0.0336878
BC111_P2_WGS	3	185900000	198120000	599	-0.566375
BC111_P2_WGS	4	80000	49080000	2402	-0.605067
