ID	chromosome	start	end	N	log2.ratio
HCI-002_PTPN_WES	1	69761	64260731	2486914	0.008915
HCI-002_PTPN_WES	1	64550619	92300291	461160	-0.664886
HCI-002_PTPN_WES	1	92333594	109202996	291815	-0.13741
HCI-002_PTPN_WES	1	109261745	117886509	311842	-0.518827
HCI-002_PTPN_WES	1	117945970	121383049	79359	1.79362
HCI-002_PTPN_WES	1	143796246	235175086	3308071	0.491699
HCI-002_PTPN_WES	1	235195860	236045781	53292	0.955871
HCI-002_PTPN_WES	1	236409089	248847255	317797	0.34843
HCI-002_PTPN_WES	2	224970	69871676	1482784	-0.00442256
HCI-002_PTPN_WES	2	69893946	70677967	23846	0.042011
HCI-002_PTPN_WES	2	70816329	91767378	439973	-0.0109675
HCI-002_PTPN_WES	2	94871827	97241501	123369	-0.0393111
HCI-002_PTPN_WES	2	97335675	134954087	668826	-0.011905
HCI-002_PTPN_WES	2	134983040	137676420	73186	0.0273603
HCI-002_PTPN_WES	2	138671498	141810169	33752	-0.315246
HCI-002_PTPN_WES	2	142885354	150471864	59000	-0.0266271
HCI-002_PTPN_WES	2	151278901	217830379	1758816	-0.0409211
HCI-002_PTPN_WES	2	217886279	219021653	102186	0.032746
HCI-002_PTPN_WES	2	219027511	241897212	701276	0.018707
HCI-002_PTPN_WES	3	319825	46449800	1032799	0.0234545
HCI-002_PTPN_WES	3	46459723	71198425	866006	-0.525567
HCI-002_PTPN_WES	3	72750552	88140191	72029	-0.0447197
HCI-002_PTPN_WES	3	93874275	197854276	2178556	-0.0327552
HCI-002_PTPN_WES	4	60317	49017215	811907	0.0150195
HCI-002_PTPN_WES	4	52072077	190060280	2041160	-0.0565537
HCI-002_PTPN_WES	5	142926	43609241	645035	0.0243659
HCI-002_PTPN_WES	5	51389671	94870685	740732	-0.0866538
HCI-002_PTPN_WES	5	94871198	96776262	52609	-0.0603393
HCI-002_PTPN_WES	5	96776301	150073230	1110144	-0.000956532
HCI-002_PTPN_WES	5	150077208	151025340	52584	0.0392434
HCI-002_PTPN_WES	5	151026811	181260211	646321	0.0275436
HCI-002_PTPN_WES	6	312016	32460122	929899	-0.0138077
HCI-002_PTPN_WES	6	32460225	32580658	3034	-0.261138
HCI-002_PTPN_WES	6	32580730	32664831	4612	-0.231851
HCI-002_PTPN_WES	6	32664873	49614575	729369	0.0183625
HCI-002_PTPN_WES	6	49692705	57959111	216007	-0.0254017
HCI-002_PTPN_WES	6	60425399	100864394	543230	-0.0944281
HCI-002_PTPN_WES	6	101686147	119348712	311363	-0.612805
HCI-002_PTPN_WES	6	121334246	170318651	963416	-0.000420741
HCI-002_PTPN_WES	7	195501	57468605	1155045	0.412061
HCI-002_PTPN_WES	7	63449968	159109876	2466065	0.391268
HCI-002_PTPN_WES	8	378251	42168875	725466	-0.486986
HCI-002_PTPN_WES	8	42169128	43304875	60768	1.30967
HCI-002_PTPN_WES	8	47293733	106684073	949186	0.982648
HCI-002_PTPN_WES	8	108082519	131953781	345184	0.779594
HCI-002_PTPN_WES	8	131959444	132867967	40012	0.588496
HCI-002_PTPN_WES	8	132886306	144999726	355000	1.02993
HCI-002_PTPN_WES	9	312124	41183587	737233	-0.00833544
HCI-002_PTPN_WES	9	63832106	70535618	52148	0.00382138
HCI-002_PTPN_WES	9	70635121	75054236	65605	-0.0107658
HCI-002_PTPN_WES	9	75130490	76181606	7785	0.0282638
HCI-002_PTPN_WES	9	76194562	83853800	122404	-0.0424522
HCI-002_PTPN_WES	9	83956091	86079217	45381	0.0138402
HCI-002_PTPN_WES	9	86317311	128249977	1108595	0.0356123
HCI-002_PTPN_WES	9	128265703	128609393	40876	0.101672
HCI-002_PTPN_WES	9	128619038	138175831	550572	0.0705116
HCI-002_PTPN_WES	10	237793	38451618	723211	-0.00350198
HCI-002_PTPN_WES	10	42470188	70116838	461457	-4.31E-07
HCI-002_PTPN_WES	10	70324008	70708865	10997	0.0691424
HCI-002_PTPN_WES	10	70758253	133659481	1706254	0.0221965
HCI-002_PTPN_WES	11	199891	2951557	167856	0.0419181
HCI-002_PTPN_WES	11	2954757	9527595	350675	0.00668375
HCI-002_PTPN_WES	11	9576767	50287785	828501	-0.00985711
HCI-002_PTPN_WES	11	54591999	63946847	475460	0.0146261
HCI-002_PTPN_WES	11	64117068	64800790	68689	0.0685551
HCI-002_PTPN_WES	11	64824500	66421290	177786	0.01618
HCI-002_PTPN_WES	11	66438294	67219559	66373	0.0360482
HCI-002_PTPN_WES	11	67228252	112200571	1007297	-0.0266153
HCI-002_PTPN_WES	11	112228556	117238554	104343	-0.548255
HCI-002_PTPN_WES	11	117281824	134381883	560577	0.0259664
HCI-002_PTPN_WES	12	99269	34023926	1124221	0.389917
HCI-002_PTPN_WES	12	38318340	48966206	320532	0.319934
HCI-002_PTPN_WES	12	48966649	49794737	95681	0.441772
HCI-002_PTPN_WES	12	49954576	129075012	2557675	0.397449
HCI-002_PTPN_WES	12	130347162	133203746	126710	0.0681066
HCI-002_PTPN_WES	13	19174204	114239327	1308661	-0.0421625
HCI-002_PTPN_WES	14	19747830	50632297	774777	0.0122382
HCI-002_PTPN_WES	14	50763892	106874951	1325278	-0.577244
HCI-002_PTPN_WES	15	19964758	74180961	1781766	-0.0367107
HCI-002_PTPN_WES	15	74190742	74801854	36982	0.00623404
HCI-002_PTPN_WES	15	74821981	77615433	107233	-0.0229278
HCI-002_PTPN_WES	15	77896874	78166455	17254	0.0250149
HCI-002_PTPN_WES	15	78171548	101775533	557925	0.0338178
HCI-002_PTPN_WES	16	57243	1944979	161572	0.0427129
HCI-002_PTPN_WES	16	1978181	2304273	49335	0.132529
HCI-002_PTPN_WES	16	2430947	21275606	583647	0.0254098
HCI-002_PTPN_WES	16	21352008	22576766	58514	-0.0376092
HCI-002_PTPN_WES	16	22915190	30397640	300645	-0.0473846
HCI-002_PTPN_WES	16	30424403	31086582	81542	0.0486842
HCI-002_PTPN_WES	16	31087690	34013869	83601	-0.106784
HCI-002_PTPN_WES	16	46568907	66400668	413883	0.0154045
HCI-002_PTPN_WES	16	66566976	67651115	118050	-0.006247
HCI-002_PTPN_WES	16	67662515	70203756	163208	0.0373269
HCI-002_PTPN_WES	16	70253274	71374624	86491	0.0110125
HCI-002_PTPN_WES	16	71383860	84990249	324019	0.0601716
HCI-002_PTPN_WES	16	84990258	87840600	41157	0.058948
HCI-002_PTPN_WES	16	87888001	90094657	108968	0.111212
HCI-002_PTPN_WES	17	281725	15312343	884970	0.0289973
HCI-002_PTPN_WES	17	15314021	22299432	299093	-0.021917
HCI-002_PTPN_WES	17	27301794	42760742	927180	0.00440143
HCI-002_PTPN_WES	17	42779100	42998932	35448	0.0162059
HCI-002_PTPN_WES	17	43013415	63947878	882953	0.00122514
HCI-002_PTPN_WES	17	63951923	64931385	55234	0.0980377
HCI-002_PTPN_WES	17	64954383	81716967	670795	0.0308012
HCI-002_PTPN_WES	17	81845742	82055316	21929	0.147891
HCI-002_PTPN_WES	17	82056985	83094142	63894	0.101871
HCI-002_PTPN_WES	18	118580	14803746	296284	0.0179414
HCI-002_PTPN_WES	18	21449554	80045949	811102	0.00404437
HCI-002_PTPN_WES	19	111349	8898485	559491	0.0161242
HCI-002_PTPN_WES	19	8908753	10583568	171248	0.0135035
HCI-002_PTPN_WES	19	10627906	11192829	47501	0.00733199
HCI-002_PTPN_WES	19	11192878	23375214	746526	-0.00623071
HCI-002_PTPN_WES	19	29608550	54574792	1632370	-0.00407276
HCI-002_PTPN_WES	19	54574799	54631893	6012	0.0539721
HCI-002_PTPN_WES	19	54632001	58562192	327874	0.00182258
HCI-002_PTPN_WES	20	157484	25686171	525945	0.0385985
HCI-002_PTPN_WES	20	25764901	26091612	2875	-0.176762
HCI-002_PTPN_WES	20	30391040	30417389	1895	-0.642055
HCI-002_PTPN_WES	20	30417407	35560525	246228	0.0451755
HCI-002_PTPN_WES	20	35564685	36793468	64016	0.00226007
HCI-002_PTPN_WES	20	36812934	64327334	793445	0.0316836
HCI-002_PTPN_WES	21	9068281	10649858	12002	-0.198937
HCI-002_PTPN_WES	21	13384473	46541721	674519	0.0208385
HCI-002_PTPN_WES	22	16574568	19134985	75974	-0.0417487
HCI-002_PTPN_WES	22	19275861	20141014	51938	0.0837996
HCI-002_PTPN_WES	22	20307897	29050987	300641	0.00197564
HCI-002_PTPN_WES	22	29286858	30023365	49376	0.00155807
HCI-002_PTPN_WES	22	30615570	45541269	633818	0.0327716
HCI-002_PTPN_WES	22	45692932	46464216	37637	0.0619704
HCI-002_PTPN_WES	22	46661294	50744827	119586	0.0776435
HCI-002_PDX_WES	1	69761	1646520	80343	-0.00969825
HCI-002_PDX_WES	1	1646565	31665562	1287271	-0.0862406
HCI-002_PDX_WES	1	31680032	33024665	98257	-0.0723233
HCI-002_PDX_WES	1	33276014	55052794	957302	-0.0839934
HCI-002_PDX_WES	1	55052855	57071225	55844	0.154674
HCI-002_PDX_WES	1	57071389	64550619	125381	-0.0473334
HCI-002_PDX_WES	1	65224778	92300291	455490	-0.983998
HCI-002_PDX_WES	1	92333594	109202996	317417	-0.0434551
HCI-002_PDX_WES	1	109261745	117414883	298475	-0.990991
HCI-002_PDX_WES	1	117514656	118074651	35637	1.28882
HCI-002_PDX_WES	1	118081800	121383049	61014	2.5074
