ID	chromosome	start	end	N	log2.ratio
J000093933_J000097391_P0_004P0_AffySNP	1	61736	2302812	456	0.106322
J000093933_J000097391_P0_004P0_AffySNP	1	2319721	2484990	52	-0.894663
J000093933_J000097391_P0_004P0_AffySNP	1	2487186	2837860	74	-2.10171
J000093933_J000097391_P0_004P0_AffySNP	1	2837947	4902509	1427	-7.61185
J000093933_J000097391_P0_004P0_AffySNP	1	4903577	15224029	6335	-1.19393
J000093933_J000097391_P0_004P0_AffySNP	1	15224300	15266700	32	0.181905
J000093933_J000097391_P0_004P0_AffySNP	1	15267170	18302090	1879	0.0964194
J000093933_J000097391_P0_004P0_AffySNP	1	18302200	66087100	29852	0.0172732
J000093933_J000097391_P0_004P0_AffySNP	1	66093076	66180900	58	-1.27959
J000093933_J000097391_P0_004P0_AffySNP	1	66181300	66521482	272	-1.33937
J000093933_J000097391_P0_004P0_AffySNP	1	66525809	71209000	3103	-1.28438
J000093933_J000097391_P0_004P0_AffySNP	1	71214900	72042100	506	-0.306934
J000093933_J000097391_P0_004P0_AffySNP	1	72042231	101403237	19359	-1.28932
J000093933_J000097391_P0_004P0_AffySNP	1	101403357	101561350	134	0.0196653
J000093933_J000097391_P0_004P0_AffySNP	1	101563767	102987000	974	-0.0466742
J000093933_J000097391_P0_004P0_AffySNP	1	102987000	103222000	144	0.000988264
J000093933_J000097391_P0_004P0_AffySNP	1	103224321	103893000	207	-0.192586
J000093933_J000097391_P0_004P0_AffySNP	1	103893000	106950000	1910	-1.33704
J000093933_J000097391_P0_004P0_AffySNP	1	106951642	109975000	1929	-1.32203
J000093933_J000097391_P0_004P0_AffySNP	1	109975079	110450727	316	-1.26107
J000093933_J000097391_P0_004P0_AffySNP	1	110450835	114075432	2703	-0.0424977
J000093933_J000097391_P0_004P0_AffySNP	1	114076437	116261909	1537	0.0525401
J000093933_J000097391_P0_004P0_AffySNP	1	116261956	116277000	27	-0.385774
J000093933_J000097391_P0_004P0_AffySNP	1	116277127	121741000	2621	-0.0116301
