ID	chromosome	start	end	N	log2.ratio
TC223_PT_WES	1	14542	827212	5639	0.22735
TC223_PT_WES	1	866860	12123188	657957	0.17507
TC223_PT_WES	1	12190831	16645639	207674	-0.025674
TC223_PT_WES	1	16646514	16760870	10237	0.0106896
TC223_PT_WES	1	16760970	21429046	237891	-0.127042
TC223_PT_WES	1	21560797	22963075	89043	-0.333353
TC223_PT_WES	1	23015700	30742517	386908	-0.0137952
TC223_PT_WES	1	30945272	67219760	1434278	-0.232951
TC223_PT_WES	1	67367844	108924236	717949	-0.0191105
TC223_PT_WES	1	108934609	109100633	12882	0.0644963
TC223_PT_WES	1	109113798	121375072	459377	-0.00501247
TC223_PT_WES	1	143449352	147224843	72823	0.0513874
TC223_PT_WES	1	148784584	149607337	18377	0.108777
TC223_PT_WES	1	149841212	167880176	1198204	0.0458377
TC223_PT_WES	1	168056361	169515314	31465	-0.00312999
TC223_PT_WES	1	169523438	248406068	2262006	-0.00495019
TC223_PT_WES	1	248441580	248650751	9901	-0.354848
TC223_PT_WES	2	224919	89040479	2097542	0.0181459
TC223_PT_WES	2	89045930	92034556	22895	0.103137
TC223_PT_WES	2	94871500	95951446	29972	0.0123567
TC223_PT_WES	2	96023242	113499866	501302	0.0283571
TC223_PT_WES	2	113499898	113598894	2628	0.476136
TC223_PT_WES	2	113657918	242175216	3299256	-0.0220911
TC223_PT_WES	3	319825	90215805	2309306	-0.270077
TC223_PT_WES	3	93995919	175737328	1804268	0.246962
TC223_PT_WES	3	177051820	198120733	629651	0.644781
TC223_PT_WES	4	65000	49559635	949311	-0.298712
TC223_PT_WES	4	52956140	190021815	2099909	-4.83E-08
TC223_PT_WES	4	190021832	190069139	3053	-0.0187013
TC223_PT_WES	5	163381	44809060	699961	0.349412
TC223_PT_WES	5	50405921	53683267	40495	0.278269
TC223_PT_WES	5	54154712	181243455	2780732	-0.285641
TC223_PT_WES	6	325403	29748812	619655	0.00486042
TC223_PT_WES	6	29887809	29944427	5061	0.0478496
TC223_PT_WES	6	30606417	31202737	80553	0.0487789
TC223_PT_WES	6	31202751	31354736	3619	0.128979
TC223_PT_WES	6	31355519	31996451	151997	0.0616407
TC223_PT_WES	6	31996807	32039081	8130	0.0444579
TC223_PT_WES	6	32039984	32517864	74874	0.0639657
TC223_PT_WES	6	32519393	32554850	1629	0.138056
TC223_PT_WES	6	32580712	32661987	4018	0.109438
TC223_PT_WES	6	32662251	33671983	132161	0.0549426
TC223_PT_WES	6	33683352	57154171	916302	0.0289964
TC223_PT_WES	6	62177126	167383039	1786719	0.00673479
TC223_PT_WES	6	167669154	167976582	16050	-0.0365458
TC223_PT_WES	6	168039959	170745565	59944	-0.148207
TC223_PT_WES	7	246568	984945	34458	-0.0839641
TC223_PT_WES	7	1022891	57020128	1106494	0.0291658
TC223_PT_WES	7	57060533	57835755	7211	0.0935114
TC223_PT_WES	7	63292065	63558714	5097	0.197283
TC223_PT_WES	7	63558792	63765084	5056	0.185031
TC223_PT_WES	7	63771630	72864043	91044	0.107643
TC223_PT_WES	7	72864057	72969449	6326	0.261162
TC223_PT_WES	7	73303936	76400378	141873	0.184256
TC223_PT_WES	7	76404227	76533834	7460	0.0323519
TC223_PT_WES	7	76536323	100992486	679928	0.0414054
TC223_PT_WES	7	100992609	101017486	15351	0.186636
TC223_PT_WES	7	101032095	102468453	76458	0.124767
TC223_PT_WES	7	102483861	102772454	20357	0.401575
TC223_PT_WES	7	102822189	144129510	988515	0.0144082
TC223_PT_WES	7	144129604	144398975	13221	0.0886154
TC223_PT_WES	7	144399363	158407221	350151	0.00880161
TC223_PT_WES	7	158407310	158622341	1732	0.0433174
TC223_PT_WES	7	158622998	158942122	23751	-0.247474
TC223_PT_WES	8	213553	31167122	641451	-0.285657
TC223_PT_WES	8	32756465	43192450	240703	0.544633
TC223_PT_WES	8	47807283	144978026	1610185	0.416565
TC223_PT_WES	9	15066	17808	1003	0.379919
TC223_PT_WES	9	117506	33625187	458038	-0.283734
TC223_PT_WES	9	33625407	37020625	237938	0.450394
TC223_PT_WES	9	37305484	42569159	51962	-0.0145575
TC223_PT_WES	9	60917648	104504662	721976	-0.118567
TC223_PT_WES	9	104536004	138176464	1511922	-0.209361
TC223_PT_WES	10	47876	1015692	32364	-0.255845
TC223_PT_WES	10	1199953	38604509	645396	0.0277668
TC223_PT_WES	10	42185416	80164205	776728	-0.26383
TC223_PT_WES	10	80252843	133558806	1498316	-0.00447049
TC223_PT_WES	10	133559366	133778290	2056	-0.13571
TC223_PT_WES	11	193863	1016665	131270	-0.286242
TC223_PT_WES	11	1016704	1099434	25018	-0.23804
TC223_PT_WES	11	1099604	50422246	1345668	-0.143968
TC223_PT_WES	11	54603640	134374229	2737973	-0.122852
TC223_PT_WES	12	17870	34022860	999652	0.227431
TC223_PT_WES	12	38839969	57209032	1052812	0.242784
TC223_PT_WES	12	57209634	57564943	53513	0.259303
TC223_PT_WES	12	57610287	93469386	536356	0.241458
TC223_PT_WES	12	94227282	133234117	1372214	0.0322123
TC223_PT_WES	13	18468441	114052184	1334673	-0.327345
TC223_PT_WES	14	18341590	19434334	9198	0.117323
TC223_PT_WES	14	19780669	36300692	628113	-0.0201144
TC223_PT_WES	14	36371490	37787739	20503	3.48913
TC223_PT_WES	14	37790671	104941693	1629857	0.00319219
TC223_PT_WES	14	104941845	106714960	111325	-0.0662501
TC223_PT_WES	14	106770668	106874951	3660	-0.324549
TC223_PT_WES	15	19965196	101711790	2646276	-0.252257
TC223_PT_WES	15	101724101	101976511	17078	-0.466553
TC223_PT_WES	16	17780	1228870	173836	-0.16043
TC223_PT_WES	16	1229206	1308632	5901	-0.0303783
TC223_PT_WES	16	1314364	4784167	421730	0.0336977
TC223_PT_WES	16	4823731	5239944	31794	0.0478888
TC223_PT_WES	16	5467328	14436869	129475	0.0923316
TC223_PT_WES	16	14582086	15022768	19398	0.146901
TC223_PT_WES	16	15034559	16198126	59156	0.141579
TC223_PT_WES	16	16325068	18379783	20254	0.320359
TC223_PT_WES	16	18394567	31143037	633610	0.102333
TC223_PT_WES	16	31222774	35447557	76728	0.0787327
TC223_PT_WES	16	46568907	90095778	1405387	-0.23906
TC223_PT_WES	17	156324	22524202	1266072	-0.235214
TC223_PT_WES	17	27301794	40876516	766390	0.0619944
TC223_PT_WES	17	41055039	41238685	13895	0.0323007
TC223_PT_WES	17	41437482	83085299	2154467	0.0665625
TC223_PT_WES	18	49125	14852017	303507	0.00862571
TC223_PT_WES	18	21561055	80169145	824994	-0.00732542
TC223_PT_WES	19	200523	1827827	209439	-0.0353757
TC223_PT_WES	19	1879858	21655690	1815118	0.121022
TC223_PT_WES	19	21655716	23231365	40912	0.0333176
TC223_PT_WES	19	28722748	54537051	2036471	0.109478
TC223_PT_WES	19	54538123	54633116	10064	0.0852725
TC223_PT_WES	19	54635801	58571238	399250	-0.0636447
TC223_PT_WES	20	277162	13110098	336200	0.44113
TC223_PT_WES	20	13279605	25686006	231518	0.0223933
TC223_PT_WES	20	25774890	26081578	475	0.594704
TC223_PT_WES	20	30377450	31259408	1242	0.132035
TC223_PT_WES	20	31303200	64273189	1293028	0.0192854
TC223_PT_WES	21	8987468	10649858	4933	-0.0882848
TC223_PT_WES	21	13051771	46566720	766580	-0.183703
TC223_PT_WES	22	15541395	50739637	1636298	0.070957
TC223_P0_WES	1	958950	1722619	121900	0.214947
TC223_P0_WES	1	1734736	12123188	491324	0.452094
TC223_P0_WES	1	12190831	16576232	186183	-0.2416
TC223_P0_WES	1	16579223	16965728	16517	-0.859557
TC223_P0_WES	1	16965909	17697195	54402	-1.85926
TC223_P0_WES	1	17826087	21429046	159450	-0.322506
TC223_P0_WES	1	21560797	23362440	100741	-1.81521
TC223_P0_WES	1	23366929	29325556	341790	-0.228328
TC223_P0_WES	1	30742517	67219760	1347680	-0.906978
TC223_P0_WES	1	67367844	121375072	1140323	-0.00611693
TC223_P0_WES	1	143449352	248650751	3481959	0.040203
TC223_P0_WES	2	224919	1098279	10873	-0.336755
TC223_P0_WES	2	1173095	92034556	2009907	0.0160695
TC223_P0_WES	2	94871500	96130205	33248	0.00975408
TC223_P0_WES	2	96132771	161507419	1186930	0.0139374
TC223_P0_WES	2	161770881	242175216	2409348	-0.42636
TC223_P0_WES	3	319825	75664707	2129331	-0.941145
TC223_P0_WES	3	75665147	75669435	619	-0.435816
TC223_P0_WES	3	75669437	90215805	57527	-1.15635
TC223_P0_WES	3	93995919	175737328	1736980	0.518657
TC223_P0_WES	3	177051820	195668531	472725	1.30249
TC223_P0_WES	3	195671234	196053664	33963	1.48615
TC223_P0_WES	3	196067917	198120733	100661	1.24528
TC223_P0_WES	4	65000	672423	29224	-1.14003
TC223_P0_WES	4	678098	48986433	855933	-0.980807
TC223_P0_WES	4	52956140	87615749	642735	0.0196758
TC223_P0_WES	4	87616268	190022602	1364815	-0.00454787
TC223_P0_WES	4	190022607	190068643	1540	0.0459577
TC223_P0_WES	5	163381	44809060	678798	0.941785
TC223_P0_WES	5	50405921	53042078	23275	0.319682
TC223_P0_WES	5	53042253	53683267	15170	0.910229
TC223_P0_WES	5	54154712	62476708	136590	-0.955635
TC223_P0_WES	5	62490109	65563283	33014	0.130113
TC223_P0_WES	5	65788038	69400113	66013	-0.924627
TC223_P0_WES	5	69640226	71220489	13179	0.233929
TC223_P0_WES	5	71467261	98897105	494918	-0.966312
TC223_P0_WES	5	100067871	109051284	47378	-1.05233
TC223_P0_WES	5	109052505	157052415	1218635	-0.968142
TC223_P0_WES	5	157052557	157384604	22503	-0.994007
TC223_P0_WES	5	157460125	170077940	158463	-1.04391
TC223_P0_WES	5	170080063	170732993	13259	-1.03285
TC223_P0_WES	5	170733745	175880253	77102	-0.929388
TC223_P0_WES	5	175880370	176366529	9371	-0.83897
TC223_P0_WES	5	176384132	178983537	162291	-0.909039
TC223_P0_WES	5	178989217	179644957	27065	-1.01867
TC223_P0_WES	5	179678532	181243455	92739	-1.13193
TC223_P0_WES	6	348683	29728077	592433	-0.00181312
TC223_P0_WES	6	29745496	29944427	10530	0.0381673
TC223_P0_WES	6	30606417	32460122	306111	0.0950775
TC223_P0_WES	6	32460169	33168861	48925	0.0336391
TC223_P0_WES	6	33169793	57154171	966100	0.0465126
TC223_P0_WES	6	62177126	170745565	1785533	2.68E-08
TC223_P0_WES	7	255994	56087526	1076923	0.0177203
TC223_P0_WES	7	56813476	57835755	9279	0.404288
TC223_P0_WES	7	63292701	77910427	275475	0.219942
TC223_P0_WES	7	77922810	100992486	613205	0.0411183
TC223_P0_WES	7	100992609	101003685	10680	0.491251
TC223_P0_WES	7	101003995	158739001	1392996	0.0120808
TC223_P0_WES	7	158739197	158942122	12861	-0.257685
TC223_P0_WES	8	243622	7451207	82710	-1.06628
TC223_P0_WES	8	7592051	8377470	8775	-0.695318
TC223_P0_WES	8	8702388	31167122	506718	-0.952853
TC223_P0_WES	8	32756465	33513632	10786	1.56155
TC223_P0_WES	8	33558671	39648307	118753	0.979344
TC223_P0_WES	8	39663900	43192450	101528	0.885365
TC223_P0_WES	8	47807283	144978026	1552992	0.77855
TC223_P0_WES	9	117506	27455587	352928	-2.01615
TC223_P0_WES	9	32418239	33676029	66903	-0.349634
