ID	chromosome	start	end	N	log2.ratio
258747--076-R--XB9_P0_WES	1	817416	121375092	5354575	0.0358836
258747--076-R--XB9_P0_WES	1	143796128	156163247	960859	1.05023
258747--076-R--XB9_P0_WES	1	156244130	248650825	3419912	-0.645995
258747--076-R--XB9_P0_WES	2	672745	65268884	1914249	-0.0136838
258747--076-R--XB9_P0_WES	2	65316668	75706778	432733	-0.614642
258747--076-R--XB9_P0_WES	2	79025824	91767183	287315	0.0241367
258747--076-R--XB9_P0_WES	2	94871500	97086112	181969	0.0207737
258747--076-R--XB9_P0_WES	2	97127269	97162175	3312	-0.0675235
258747--076-R--XB9_P0_WES	2	97163245	153944683	1316127	0.0594284
258747--076-R--XB9_P0_WES	2	154242633	200670375	1624461	0.975713
258747--076-R--XB9_P0_WES	2	200893310	241897463	1720746	-0.590675
258747--076-R--XB9_P0_WES	3	197562	11884136	327783	-0.598146
258747--076-R--XB9_P0_WES	3	12142126	18266819	270686	0.367439
258747--076-R--XB9_P0_WES	3	18266986	75337146	2087609	-0.584436
258747--076-R--XB9_P0_WES	3	75630682	75665825	1671	-0.607997
258747--076-R--XB9_P0_WES	3	75731964	89472543	71999	-0.782205
258747--076-R--XB9_P0_WES	3	93927552	129265974	1106449	0.0841403
258747--076-R--XB9_P0_WES	3	129381385	195892383	1854862	0.408621
258747--076-R--XB9_P0_WES	3	195895040	196577958	47827	0.489094
258747--076-R--XB9_P0_WES	3	196660093	198035752	93731	0.488078
258747--076-R--XB9_P0_WES	4	60507	991939	75825	-1.4778
258747--076-R--XB9_P0_WES	4	1000626	48992271	1221059	0.789038
258747--076-R--XB9_P0_WES	4	51860656	190026653	2763661	-0.081743
258747--076-R--XB9_P0_WES	5	163090	11159545	300677	1.10296
258747--076-R--XB9_P0_WES	5	13754285	21765230	126589	0.866562
258747--076-R--XB9_P0_WES	5	22078475	44310390	545589	1.27639
258747--076-R--XB9_P0_WES	5	50750305	129905279	1496751	-0.682495
258747--076-R--XB9_P0_WES	5	129908429	181155980	2015115	0.00183351
258747--076-R--XB9_P0_WES	6	335069	396923	5345	-0.0857987
258747--076-R--XB9_P0_WES	6	489202	8064070	178613	-0.607743
258747--076-R--XB9_P0_WES	6	8102257	10398329	16356	-0.66758
258747--076-R--XB9_P0_WES	6	10414773	26598190	393160	-0.628343
258747--076-R--XB9_P0_WES	6	26638275	27824443	24555	-0.629519
258747--076-R--XB9_P0_WES	6	27957589	31777507	375867	-0.52284
