ID	chromosome	start	end	N	log2.ratio
CRC1_PT_WGS	1	875000	12825000	224	-0.232379
CRC1_PT_WGS	1	13825000	121325000	2038	-0.229742
CRC1_PT_WGS	1	145425000	249175000	1912	-0.23209
CRC1_PT_WGS	2	75000	89025000	1705	0
CRC1_PT_WGS	2	95625000	213425000	2174	0.00616566
CRC1_PT_WGS	2	213475000	224125000	211	-0.146302
CRC1_PT_WGS	2	224175000	242975000	363	-0.0307175
CRC1_PT_WGS	3	125000	90175000	1744	0.0117166
CRC1_PT_WGS	3	93575000	197775000	2011	0.0160731
CRC1_PT_WGS	4	125000	49025000	926	-0.235586
CRC1_PT_WGS	4	52725000	190875000	2647	-0.244944
CRC1_PT_WGS	5	75000	45875000	863	0.220686
CRC1_PT_WGS	5	49625000	68775000	367	-0.231856
CRC1_PT_WGS	5	70775000	110075000	761	-0.220324
CRC1_PT_WGS	5	110125000	122075000	238	-0.527701
CRC1_PT_WGS	5	122125000	126925000	93	-0.206438
CRC1_PT_WGS	5	126975000	130775000	75	-0.431822
CRC1_PT_WGS	5	130825000	180675000	956	-0.229036
CRC1_PT_WGS	6	225000	33925000	638	-0.0225474
CRC1_PT_WGS	6	33975000	57675000	451	0.200852
CRC1_PT_WGS	6	62025000	162375000	1940	0.192201
CRC1_PT_WGS	6	162425000	163575000	24	-0.244717
CRC1_PT_WGS	6	163625000	170875000	141	0.155492
CRC1_PT_WGS	7	75000	57625000	1061	0.2197
CRC1_PT_WGS	7	63425000	159075000	1714	0.191491
CRC1_PT_WGS	8	325000	41275000	764	-0.536228
CRC1_PT_WGS	8	41325000	43275000	37	0.000262059
CRC1_PT_WGS	8	47625000	146275000	1912	0.00880452
CRC1_PT_WGS	9	225000	38775000	736	0.362985
CRC1_PT_WGS	9	71025000	140975000	1335	0.00714925
CRC1_PT_WGS	10	175000	38425000	703	-0.0129997
CRC1_PT_WGS	10	42875000	72525000	496	-0.030111
CRC1_PT_WGS	10	72625000	74225000	32	0.204242
