ID	chromosome	start	end	N	log2.ratio
J000099327_J000100857_P0_001P0_AffySNP	1	61736	4334960	1444	-0.30866
J000099327_J000100857_P0_001P0_AffySNP	1	4335175	5421770	1028	-0.17211
J000099327_J000100857_P0_001P0_AffySNP	1	5427150	6601600	743	-0.290426
J000099327_J000100857_P0_001P0_AffySNP	1	6605540	18773838	7421	-0.0987652
J000099327_J000100857_P0_001P0_AffySNP	1	18777887	19924237	786	-0.118175
J000099327_J000100857_P0_001P0_AffySNP	1	19929106	22338717	1517	-0.100605
J000099327_J000100857_P0_001P0_AffySNP	1	22340200	22667221	188	-0.1754
J000099327_J000100857_P0_001P0_AffySNP	1	22667400	22750423	55	-0.117372
J000099327_J000100857_P0_001P0_AffySNP	1	22755434	23590700	527	-0.0915276
J000099327_J000100857_P0_001P0_AffySNP	1	23597731	25256900	953	-0.109895
J000099327_J000100857_P0_001P0_AffySNP	1	25266600	25301597	19	-3.3698
J000099327_J000100857_P0_001P0_AffySNP	1	25301900	25320500	11	-3.35422
J000099327_J000100857_P0_001P0_AffySNP	1	25335000	41474000	8942	-0.0820462
J000099327_J000100857_P0_001P0_AffySNP	1	41475928	42436892	673	-0.143554
J000099327_J000100857_P0_001P0_AffySNP	1	42437200	42846400	218	0.00702918
J000099327_J000100857_P0_001P0_AffySNP	1	42847326	43931800	702	-0.00736829
J000099327_J000100857_P0_001P0_AffySNP	1	43932500	46169477	1165	0.651597
J000099327_J000100857_P0_001P0_AffySNP	1	46169537	50168100	2358	-0.00738994
J000099327_J000100857_P0_001P0_AffySNP	1	50169700	53066200	1375	0.0205166
J000099327_J000100857_P0_001P0_AffySNP	1	53066300	53690951	494	0.0143922
J000099327_J000100857_P0_001P0_AffySNP	1	53692429	53712218	12	-0.91125
J000099327_J000100857_P0_001P0_AffySNP	1	53712527	66134800	9504	0.049509
J000099327_J000100857_P0_001P0_AffySNP	1	66139800	66383727	196	-1.5191
J000099327_J000100857_P0_001P0_AffySNP	1	66383765	84413300	11940	-1.36679
J000099327_J000100857_P0_001P0_AffySNP	1	84413482	107175067	14645	-1.37117
J000099327_J000100857_P0_001P0_AffySNP	1	107177000	107299000	105	0.143621
J000099327_J000100857_P0_001P0_AffySNP	1	107299721	107893935	493	0.0753768
J000099327_J000100857_P0_001P0_AffySNP	1	107894000	108000000	72	-0.464017
J000099327_J000100857_P0_001P0_AffySNP	1	108002000	112498000	3256	-1.36286
J000099327_J000100857_P0_001P0_AffySNP	1	112503773	112606000	62	0.00859084
J000099327_J000100857_P0_001P0_AffySNP	1	112611000	115563000	1826	-1.32117
J000099327_J000100857_P0_001P0_AffySNP	1	115563709	116141000	439	0.114601
J000099327_J000100857_P0_001P0_AffySNP	1	116150848	116930377	554	0.069052
J000099327_J000100857_P0_001P0_AffySNP	1	116940181	121741000	2171	0.0695406
J000099327_J000100857_P0_001P0_AffySNP	1	143285000	152478000	2871	0.142282
J000099327_J000100857_P0_001P0_AffySNP	1	152478000	152787202	314	-0.350337
J000099327_J000100857_P0_001P0_AffySNP	1	152789000	152796000	37	-7.64796
J000099327_J000100857_P0_001P0_AffySNP	1	152796000	153200000	320	-0.143849
J000099327_J000100857_P0_001P0_AffySNP	1	153200163	160001994	4163	-0.0681203
J000099327_J000100857_P0_001P0_AffySNP	1	160002000	160611717	404	0.64267
J000099327_J000100857_P0_001P0_AffySNP	1	160612934	160780423	155	-0.121377
J000099327_J000100857_P0_001P0_AffySNP	1	160781000	197911000	25899	-0.0013858
J000099327_J000100857_P0_001P0_AffySNP	1	197914282	207956453	6795	0.545109
J000099327_J000100857_P0_001P0_AffySNP	1	207957073	225275185	12401	0.631054
J000099327_J000100857_P0_001P0_AffySNP	1	225276070	230568439	3393	0.547477
J000099327_J000100857_P0_001P0_AffySNP	1	230568545	233012793	1905	0.673164
J000099327_J000100857_P0_001P0_AffySNP	1	233014524	245454080	9542	0.596238
J000099327_J000100857_P0_001P0_AffySNP	1	245457000	248930000	2316	0.512115
J000099327_J000100857_P0_001P0_AffySNP	2	12784	10556662	8385	-0.0118842
J000099327_J000100857_P0_001P0_AffySNP	2	10557107	10760800	123	0.768606
J000099327_J000100857_P0_001P0_AffySNP	2	10760869	16327200	4144	0.00997614
J000099327_J000100857_P0_001P0_AffySNP	2	16328140	17530400	931	0.0278591
J000099327_J000100857_P0_001P0_AffySNP	2	17531429	17947900	308	0.0516712
J000099327_J000100857_P0_001P0_AffySNP	2	17948054	18674072	655	0.753707
J000099327_J000100857_P0_001P0_AffySNP	2	18680000	18742279	45	-0.027621
J000099327_J000100857_P0_001P0_AffySNP	2	18743205	22220471	2419	0.0595461
J000099327_J000100857_P0_001P0_AffySNP	2	22220968	26520912	2507	-0.0797562
J000099327_J000100857_P0_001P0_AffySNP	2	26521300	42708839	11581	0.0223525
J000099327_J000100857_P0_001P0_AffySNP	2	42714900	42762961	45	1.28636
J000099327_J000100857_P0_001P0_AffySNP	2	42764681	42788925	10	1.36906
J000099327_J000100857_P0_001P0_AffySNP	2	42792004	42832294	30	1.358
J000099327_J000100857_P0_001P0_AffySNP	2	42833256	42850000	13	1.45629
J000099327_J000100857_P0_001P0_AffySNP	2	42852100	63865900	14425	0.0286435
J000099327_J000100857_P0_001P0_AffySNP	2	63868300	64164100	163	0.804044
J000099327_J000100857_P0_001P0_AffySNP	2	64164297	105131506	21800	0.0529269
J000099327_J000100857_P0_001P0_AffySNP	2	105132388	105286074	109	0.625359
J000099327_J000100857_P0_001P0_AffySNP	2	105288205	117066000	6972	0.00222456
J000099327_J000100857_P0_001P0_AffySNP	2	117069000	117175000	52	0.684337
J000099327_J000100857_P0_001P0_AffySNP	2	117175000	123739221	4416	-0.0379052
J000099327_J000100857_P0_001P0_AffySNP	2	123739779	123949000	116	-0.0395614
J000099327_J000100857_P0_001P0_AffySNP	2	123952000	154225006	19012	-1.37514
J000099327_J000100857_P0_001P0_AffySNP	2	154225197	160020316	3501	0.0719468
J000099327_J000100857_P0_001P0_AffySNP	2	160021853	160303181	174	0.779508
J000099327_J000100857_P0_001P0_AffySNP	2	160306870	195018151	21394	0.0323703
J000099327_J000100857_P0_001P0_AffySNP	2	195019000	195258000	164	-0.234101
J000099327_J000100857_P0_001P0_AffySNP	2	195259717	232461000	23757	0.0212461
J000099327_J000100857_P0_001P0_AffySNP	2	232466924	232766000	179	1.17958
J000099327_J000100857_P0_001P0_AffySNP	2	232771740	232845000	31	-0.0177024
J000099327_J000100857_P0_001P0_AffySNP	2	232847000	232869000	23	-0.119724
J000099327_J000100857_P0_001P0_AffySNP	2	232869373	238100000	3824	-0.103844
J000099327_J000100857_P0_001P0_AffySNP	2	238106097	242147000	2303	-0.207841
J000099327_J000100857_P0_001P0_AffySNP	3	18668	1670441	1536	-1.54187
J000099327_J000100857_P0_001P0_AffySNP	3	1670498	16024679	11621	-1.40704
J000099327_J000100857_P0_001P0_AffySNP	3	16024945	22810578	4566	-1.54264
J000099327_J000100857_P0_001P0_AffySNP	3	22811637	61932386	25857	-1.40434
J000099327_J000100857_P0_001P0_AffySNP	3	61934731	62007992	81	-1.79149
J000099327_J000100857_P0_001P0_AffySNP	3	62008030	76169200	10754	-1.33915
J000099327_J000100857_P0_001P0_AffySNP	3	76172000	76415307	104	-1.92381
J000099327_J000100857_P0_001P0_AffySNP	3	76415534	86905200	6003	-1.44624
J000099327_J000100857_P0_001P0_AffySNP	3	86905924	87483117	347	0.04917
J000099327_J000100857_P0_001P0_AffySNP	3	87485219	89345600	1116	0.0164508
J000099327_J000100857_P0_001P0_AffySNP	3	89345600	89370200	47	-1.08601
J000099327_J000100857_P0_001P0_AffySNP	3	89370800	101766000	4789	0.0476909
J000099327_J000100857_P0_001P0_AffySNP	3	101767000	101885000	64	0.68112
J000099327_J000100857_P0_001P0_AffySNP	3	101888000	102034971	106	1.70999
J000099327_J000100857_P0_001P0_AffySNP	3	102040000	102357000	171	1.86687
J000099327_J000100857_P0_001P0_AffySNP	3	102360000	102406683	20	1.18651
J000099327_J000100857_P0_001P0_AffySNP	3	102407000	102523880	66	0.887493
J000099327_J000100857_P0_001P0_AffySNP	3	102524000	102644000	59	1.00799
J000099327_J000100857_P0_001P0_AffySNP	3	102651000	111315302	5417	0.0576402
J000099327_J000100857_P0_001P0_AffySNP	3	111315727	111327000	14	-1.12825
J000099327_J000100857_P0_001P0_AffySNP	3	111327223	128256000	10857	-0.0245328
J000099327_J000100857_P0_001P0_AffySNP	3	128258822	129355000	581	-0.0294073
J000099327_J000100857_P0_001P0_AffySNP	3	129365621	130627735	778	-0.040843
J000099327_J000100857_P0_001P0_AffySNP	3	130627872	130965769	160	-0.0483684
J000099327_J000100857_P0_001P0_AffySNP	3	130968073	140312887	5898	0
J000099327_J000100857_P0_001P0_AffySNP	3	140313635	140336062	28	0.142594
J000099327_J000100857_P0_001P0_AffySNP	3	140343110	142325000	1245	0.595856
J000099327_J000100857_P0_001P0_AffySNP	3	142334554	146460000	2731	0.0048311
J000099327_J000100857_P0_001P0_AffySNP	3	146461749	146585245	88	-0.285894
J000099327_J000100857_P0_001P0_AffySNP	3	146585378	172295000	15866	0.0487409
J000099327_J000100857_P0_001P0_AffySNP	3	172298000	172810187	387	0.790697
J000099327_J000100857_P0_001P0_AffySNP	3	172810244	176759000	2685	0.0918281
J000099327_J000100857_P0_001P0_AffySNP	3	176760000	176778810	15	0.949866
J000099327_J000100857_P0_001P0_AffySNP	3	176779000	176806982	19	0.931761
J000099327_J000100857_P0_001P0_AffySNP	3	176807000	176850000	31	0.777277
J000099327_J000100857_P0_001P0_AffySNP	3	176850315	177084570	178	1.42591
J000099327_J000100857_P0_001P0_AffySNP	3	177084712	177224000	81	0.682811
J000099327_J000100857_P0_001P0_AffySNP	3	177262000	182735687	3267	0.0361007
J000099327_J000100857_P0_001P0_AffySNP	3	182735977	183495000	468	-0.0460541
J000099327_J000100857_P0_001P0_AffySNP	3	183495955	198169000	9627	0.0435781
J000099327_J000100857_P0_001P0_AffySNP	4	12282	4688852	2208	-1.64101
J000099327_J000100857_P0_001P0_AffySNP	4	4689125	4849374	145	-1.98825
J000099327_J000100857_P0_001P0_AffySNP	4	4850429	6027690	1059	-1.55692
J000099327_J000100857_P0_001P0_AffySNP	4	6028450	6176720	129	-1.07685
J000099327_J000100857_P0_001P0_AffySNP	4	6180080	9953574	2223	-1.41549
J000099327_J000100857_P0_001P0_AffySNP	4	9954347	11129600	1154	-1.59983
