ID	chromosome	start	end	N	log2.ratio
BCM_PDX_0002-P1_IlluminaSNP	1	82154	3736062	3268	0.678914
BCM_PDX_0002-P1_IlluminaSNP	1	3736254	6931258	4313	0.581437
BCM_PDX_0002-P1_IlluminaSNP	1	6931684	7850331	1203	0.48536
BCM_PDX_0002-P1_IlluminaSNP	1	7850874	14250053	6333	0.41803
BCM_PDX_0002-P1_IlluminaSNP	1	14250979	14464346	272	0.225108
BCM_PDX_0002-P1_IlluminaSNP	1	14464435	20609056	7555	0.456882
BCM_PDX_0002-P1_IlluminaSNP	1	20609661	20824613	320	0.147308
BCM_PDX_0002-P1_IlluminaSNP	1	20825251	26367769	5717	0.436757
BCM_PDX_0002-P1_IlluminaSNP	1	26368441	29254869	2021	0.364855
BCM_PDX_0002-P1_IlluminaSNP	1	29255380	31670900	2736	0.475321
BCM_PDX_0002-P1_IlluminaSNP	1	31671909	35656506	3698	0.668363
BCM_PDX_0002-P1_IlluminaSNP	1	35659151	38363393	2648	0.466113
BCM_PDX_0002-P1_IlluminaSNP	1	38366276	38961702	608	0.154518
BCM_PDX_0002-P1_IlluminaSNP	1	38962356	41097414	2085	0.189506
BCM_PDX_0002-P1_IlluminaSNP	1	41102795	46421418	4640	-0.211253
BCM_PDX_0002-P1_IlluminaSNP	1	46421848	51814326	3546	-0.169594
BCM_PDX_0002-P1_IlluminaSNP	1	51814782	52954429	816	-0.286513
BCM_PDX_0002-P1_IlluminaSNP	1	52955171	61667440	9312	-0.08761
BCM_PDX_0002-P1_IlluminaSNP	1	61668377	62782725	1114	-0.152716
BCM_PDX_0002-P1_IlluminaSNP	1	62784595	76069198	10694	-0.0565763
BCM_PDX_0002-P1_IlluminaSNP	1	76069749	76901953	780	0.0282369
BCM_PDX_0002-P1_IlluminaSNP	1	76902726	80816488	3244	-0.053168
BCM_PDX_0002-P1_IlluminaSNP	1	80816489	91777011	9837	-0.0350817
BCM_PDX_0002-P1_IlluminaSNP	1	91777962	93471053	1053	-0.168562
BCM_PDX_0002-P1_IlluminaSNP	1	93475892	96079249	2538	0
BCM_PDX_0002-P1_IlluminaSNP	1	96086094	112375313	14228	-0.0732761
BCM_PDX_0002-P1_IlluminaSNP	1	112375375	113055951	595	-0.253014
BCM_PDX_0002-P1_IlluminaSNP	1	113058823	115077333	1734	-0.162096
BCM_PDX_0002-P1_IlluminaSNP	1	115077864	118751017	3329	-0.113196
BCM_PDX_0002-P1_IlluminaSNP	1	118754568	121615309	1279	0.363666
BCM_PDX_0002-P1_IlluminaSNP	1	147222979	148329566	716	0.366436
BCM_PDX_0002-P1_IlluminaSNP	1	148330831	153809412	4396	0.244855
BCM_PDX_0002-P1_IlluminaSNP	1	153809535	153926471	118	0.0422442
BCM_PDX_0002-P1_IlluminaSNP	1	153928826	156932430	3205	0.225231
BCM_PDX_0002-P1_IlluminaSNP	1	156932430	160231339	4152	0.518295
BCM_PDX_0002-P1_IlluminaSNP	1	160236604	160983763	885	0.711582
BCM_PDX_0002-P1_IlluminaSNP	1	160983878	163425734	2649	0.883051
BCM_PDX_0002-P1_IlluminaSNP	1	163426809	184357064	18944	0.348116
BCM_PDX_0002-P1_IlluminaSNP	1	184359519	187640718	2662	0.394851
BCM_PDX_0002-P1_IlluminaSNP	1	187641871	195971198	5409	0.500704
BCM_PDX_0002-P1_IlluminaSNP	1	195971379	198316307	1689	0.413206
BCM_PDX_0002-P1_IlluminaSNP	1	198317306	203348580	5151	0.316064
BCM_PDX_0002-P1_IlluminaSNP	1	203348811	204100639	801	0.194974
BCM_PDX_0002-P1_IlluminaSNP	1	204100710	213444395	9278	0.304793
BCM_PDX_0002-P1_IlluminaSNP	1	213444808	216848957	3436	0.420671
BCM_PDX_0002-P1_IlluminaSNP	1	216849640	219407537	2320	0.69052
