ID	chromosome	start	end	N	log2.ratio
TM01127_SA1208005F001P0_P0_AffySNP	1	61736	121741000	75903	0.00332942
TM01127_SA1208005F001P0_P0_AffySNP	1	143285000	152619786	3013	0.621177
TM01127_SA1208005F001P0_P0_AffySNP	1	152619805	152634000	28	1.10588
TM01127_SA1208005F001P0_P0_AffySNP	1	152637475	161747029	5748	0.576224
TM01127_SA1208005F001P0_P0_AffySNP	1	161747503	184239452	16293	0.651125
TM01127_SA1208005F001P0_P0_AffySNP	1	184241671	189853532	3714	0.767132
TM01127_SA1208005F001P0_P0_AffySNP	1	189854000	197658000	5215	0.71888
TM01127_SA1208005F001P0_P0_AffySNP	1	197660000	213801000	11247	0.624508
TM01127_SA1208005F001P0_P0_AffySNP	1	213801000	220340000	4837	0.745059
TM01127_SA1208005F001P0_P0_AffySNP	1	220344000	236321650	10972	0.656695
TM01127_SA1208005F001P0_P0_AffySNP	1	236321781	248930000	9442	0.71632
TM01127_SA1208005F001P0_P0_AffySNP	2	12784	48893410	35549	0.673977
TM01127_SA1208005F001P0_P0_AffySNP	2	48895566	57934220	6663	0.720572
TM01127_SA1208005F001P0_P0_AffySNP	2	57934262	57942815	16	0.180762
TM01127_SA1208005F001P0_P0_AffySNP	2	57942869	75335418	10965	0.643086
TM01127_SA1208005F001P0_P0_AffySNP	2	75335914	78105800	2002	0.747442
TM01127_SA1208005F001P0_P0_AffySNP	2	78106419	88834100	6250	0.037362
TM01127_SA1208005F001P0_P0_AffySNP	2	88836500	88853877	37	1.30642
TM01127_SA1208005F001P0_P0_AffySNP	2	88854200	89092500	96	1.66904
TM01127_SA1208005F001P0_P0_AffySNP	2	89094600	186032596	56654	0.00929975
TM01127_SA1208005F001P0_P0_AffySNP	2	186035000	188873000	1551	0.199369
TM01127_SA1208005F001P0_P0_AffySNP	2	188875000	232306777	27351	0.601717
TM01127_SA1208005F001P0_P0_AffySNP	2	232307000	232505000	129	-0.443104
TM01127_SA1208005F001P0_P0_AffySNP	2	232505075	234040000	1063	0.540251
TM01127_SA1208005F001P0_P0_AffySNP	2	234040040	234054797	31	-0.115374
TM01127_SA1208005F001P0_P0_AffySNP	2	234055000	242147000	5252	0.568894
TM01127_SA1208005F001P0_P0_AffySNP	3	18668	19813411	15429	-0.0273629
TM01127_SA1208005F001P0_P0_AffySNP	3	19813758	38317500	13175	0.0149197
TM01127_SA1208005F001P0_P0_AffySNP	3	38321000	75343222	25446	-0.0184225
TM01127_SA1208005F001P0_P0_AffySNP	3	75344579	75566300	90	-0.990785
TM01127_SA1208005F001P0_P0_AffySNP	3	75571700	87036063	6456	0.0776824
TM01127_SA1208005F001P0_P0_AffySNP	3	87043626	104065000	7556	-0.00819087
TM01127_SA1208005F001P0_P0_AffySNP	3	104065000	105980266	1297	0.0319503
TM01127_SA1208005F001P0_P0_AffySNP	3	105981273	118353000	8011	0.0104575
TM01127_SA1208005F001P0_P0_AffySNP	3	118353076	180612000	39059	-0.0244045
TM01127_SA1208005F001P0_P0_AffySNP	3	180615000	183444000	1553	-0.0277712
TM01127_SA1208005F001P0_P0_AffySNP	3	183444439	184411384	507	-0.093246
TM01127_SA1208005F001P0_P0_AffySNP	3	184415823	184453174	26	0.505788
TM01127_SA1208005F001P0_P0_AffySNP	3	184453204	198169000	9143	-0.0348817
TM01127_SA1208005F001P0_P0_AffySNP	4	12282	9983972	5787	-0.0274393
TM01127_SA1208005F001P0_P0_AffySNP	4	9984086	10003700	34	0.196219
TM01127_SA1208005F001P0_P0_AffySNP	4	10003811	25955529	12055	-0.013065
TM01127_SA1208005F001P0_P0_AffySNP	4	25957372	27658900	1113	-0.0578715
TM01127_SA1208005F001P0_P0_AffySNP	4	27660023	35470440	4966	0.100498
TM01127_SA1208005F001P0_P0_AffySNP	4	35471428	40492575	3427	-0.0979796
TM01127_SA1208005F001P0_P0_AffySNP	4	40492599	55024500	7671	-0.003154
TM01127_SA1208005F001P0_P0_AffySNP	4	55025364	89091500	21491	0
TM01127_SA1208005F001P0_P0_AffySNP	4	89092000	95304190	3661	0.0638895
TM01127_SA1208005F001P0_P0_AffySNP	4	95305458	96787674	1055	0.157008
TM01127_SA1208005F001P0_P0_AffySNP	4	96790400	137956000	24800	0.02194
TM01127_SA1208005F001P0_P0_AffySNP	4	137956944	141269204	2311	-0.0176981
TM01127_SA1208005F001P0_P0_AffySNP	4	141289270	141317582	26	-1.58956
TM01127_SA1208005F001P0_P0_AffySNP	4	141322000	175018000	21187	-0.00784906
TM01127_SA1208005F001P0_P0_AffySNP	4	175018475	175136657	63	-1.26887
TM01127_SA1208005F001P0_P0_AffySNP	4	175150000	182892304	5719	0.0541407
TM01127_SA1208005F001P0_P0_AffySNP	4	182894000	185755620	1930	-0.0767414
TM01127_SA1208005F001P0_P0_AffySNP	4	185755980	190107000	3022	0.0403768
TM01127_SA1208005F001P0_P0_AffySNP	5	15532	23738505	17549	0.00733813
TM01127_SA1208005F001P0_P0_AffySNP	5	23738763	23778235	35	0.567188
TM01127_SA1208005F001P0_P0_AffySNP	5	23780473	29684667	3559	0.110431
TM01127_SA1208005F001P0_P0_AffySNP	5	29684686	34626151	3462	-0.0208577
TM01127_SA1208005F001P0_P0_AffySNP	5	34632496	95896600	34426	-0.0176819
TM01127_SA1208005F001P0_P0_AffySNP	5	95897000	95915400	20	-0.964222
TM01127_SA1208005F001P0_P0_AffySNP	5	95915534	130103881	22623	-0.00719784
TM01127_SA1208005F001P0_P0_AffySNP	5	130104000	132663165	1370	-0.0627426
TM01127_SA1208005F001P0_P0_AffySNP	5	132666332	133394000	410	-0.0726598
TM01127_SA1208005F001P0_P0_AffySNP	5	133397021	146032000	7892	-0.0652851
TM01127_SA1208005F001P0_P0_AffySNP	5	146032277	146044000	12	-0.554008
TM01127_SA1208005F001P0_P0_AffySNP	5	146044000	147842000	1227	0.0283761
TM01127_SA1208005F001P0_P0_AffySNP	5	147845068	181363000	23075	-0.0336063
TM01127_SA1208005F001P0_P0_AffySNP	6	149662	10852539	8828	-0.0470305
TM01127_SA1208005F001P0_P0_AffySNP	6	10852700	14997475	3295	-0.135321
TM01127_SA1208005F001P0_P0_AffySNP	6	14997700	24011600	6815	0.00408092
TM01127_SA1208005F001P0_P0_AffySNP	6	24013303	63879041	22948	-0.026322
TM01127_SA1208005F001P0_P0_AffySNP	6	63879572	69212700	3661	0.812797
TM01127_SA1208005F001P0_P0_AffySNP	6	69213000	78253200	5924	0.677943
TM01127_SA1208005F001P0_P0_AffySNP	6	78259300	78292798	43	-0.581901
TM01127_SA1208005F001P0_P0_AffySNP	6	78292800	78317600	64	-0.484448
TM01127_SA1208005F001P0_P0_AffySNP	6	78329517	90450800	7771	0.685981
TM01127_SA1208005F001P0_P0_AffySNP	6	90451400	100212000	6202	0.752607
TM01127_SA1208005F001P0_P0_AffySNP	6	100214000	100672130	271	-1.2912
TM01127_SA1208005F001P0_P0_AffySNP	6	100673000	104326081	2295	0.773514
TM01127_SA1208005F001P0_P0_AffySNP	6	104326356	112163000	4973	0.652679
TM01127_SA1208005F001P0_P0_AffySNP	6	112164000	113073000	605	0.798186
TM01127_SA1208005F001P0_P0_AffySNP	6	113073636	113371460	218	-1.42331
TM01127_SA1208005F001P0_P0_AffySNP	6	113373000	116569000	1894	0.65746
TM01127_SA1208005F001P0_P0_AffySNP	6	116570000	116770000	102	1.32393
TM01127_SA1208005F001P0_P0_AffySNP	6	116770520	134106000	11218	-1.3574
TM01127_SA1208005F001P0_P0_AffySNP	6	134109000	135151000	725	1.40165
TM01127_SA1208005F001P0_P0_AffySNP	6	135161428	170742000	24968	-1.35644
TM01127_SA1208005F001P0_P0_AffySNP	7	43259	43945600	32116	-0.00947272
TM01127_SA1208005F001P0_P0_AffySNP	7	43945746	45261488	670	-0.0315502
TM01127_SA1208005F001P0_P0_AffySNP	7	45262100	51768200	4778	-0.0274597
TM01127_SA1208005F001P0_P0_AffySNP	7	51768206	62554000	4179	0.039757
TM01127_SA1208005F001P0_P0_AffySNP	7	62559778	63376555	272	1.1354
TM01127_SA1208005F001P0_P0_AffySNP	7	63377000	79254000	8128	0.639343
TM01127_SA1208005F001P0_P0_AffySNP	7	79254300	85914800	4489	0.814401
TM01127_SA1208005F001P0_P0_AffySNP	7	85916500	91346100	3444	0.684198
TM01127_SA1208005F001P0_P0_AffySNP	7	91351858	107131904	9183	0.643943
TM01127_SA1208005F001P0_P0_AffySNP	7	107132000	127151533	12517	0.7185
TM01127_SA1208005F001P0_P0_AffySNP	7	127151603	159334000	21067	0.650557
TM01127_SA1208005F001P0_P0_AffySNP	8	81254	52403240	38207	0.0124942
TM01127_SA1208005F001P0_P0_AffySNP	8	52406084	145073000	60034	-0.0238486
TM01127_SA1208005F001P0_P0_AffySNP	9	46431	21241857	19533	-1.2622
TM01127_SA1208005F001P0_P0_AffySNP	9	21245600	21773200	429	-1.27691
TM01127_SA1208005F001P0_P0_AffySNP	9	21773223	22019130	163	-7.7119
TM01127_SA1208005F001P0_P0_AffySNP	9	22019674	22982003	657	-1.4175
TM01127_SA1208005F001P0_P0_AffySNP	9	22983600	29019025	4682	-1.22393
TM01127_SA1208005F001P0_P0_AffySNP	9	29019500	29500900	327	-1.1073
TM01127_SA1208005F001P0_P0_AffySNP	9	29500948	42995500	6641	-0.0228645
TM01127_SA1208005F001P0_P0_AffySNP	9	60840400	76294578	6267	0.0248825
TM01127_SA1208005F001P0_P0_AffySNP	9	76294634	76302898	18	-0.46133
TM01127_SA1208005F001P0_P0_AffySNP	9	76303300	130870730	39337	0.0174004
TM01127_SA1208005F001P0_P0_AffySNP	9	130871000	134102000	2206	-0.0542881
TM01127_SA1208005F001P0_P0_AffySNP	9	134121789	138201000	1895	0.017955
TM01127_SA1208005F001P0_P0_AffySNP	10	26824	20018000	17031	-0.00783852
TM01127_SA1208005F001P0_P0_AffySNP	10	20018000	25737856	3935	0.0169447
TM01127_SA1208005F001P0_P0_AffySNP	10	25739601	36728000	7982	0.0223115
TM01127_SA1208005F001P0_P0_AffySNP	10	36732400	50877700	6239	-0.0434732
TM01127_SA1208005F001P0_P0_AffySNP	10	50880300	56515343	4358	0.085355
TM01127_SA1208005F001P0_P0_AffySNP	10	56516784	57870300	1073	0.0524964
TM01127_SA1208005F001P0_P0_AffySNP	10	57871112	58933474	749	0.0651799
TM01127_SA1208005F001P0_P0_AffySNP	10	58933508	66134700	5170	0.000631026
TM01127_SA1208005F001P0_P0_AffySNP	10	66135061	67087100	697	0.159324
TM01127_SA1208005F001P0_P0_AffySNP	10	67089463	85136294	12309	0.017745
TM01127_SA1208005F001P0_P0_AffySNP	10	85138200	133769000	34063	-0.00679944
TM01127_SA1208005F001P0_P0_AffySNP	11	198510	30518000	22053	0.00975636
TM01127_SA1208005F001P0_P0_AffySNP	11	30518266	44940289	10486	-0.00222903
TM01127_SA1208005F001P0_P0_AffySNP	11	44947205	47869782	1480	-0.0542483
TM01127_SA1208005F001P0_P0_AffySNP	11	47871568	49686800	857	-0.0620221
TM01127_SA1208005F001P0_P0_AffySNP	11	49736200	57343577	2018	-0.0387731
TM01127_SA1208005F001P0_P0_AffySNP	11	57344800	79598205	12041	-0.0356856
TM01127_SA1208005F001P0_P0_AffySNP	11	79600399	79623300	23	0.689152
TM01127_SA1208005F001P0_P0_AffySNP	11	79623472	81548300	1608	0.056964
TM01127_SA1208005F001P0_P0_AffySNP	11	81548669	135074876	38989	-0.0032824
TM01127_SA1208005F001P0_P0_AffySNP	12	51460	3290340	2210	0.0238975
TM01127_SA1208005F001P0_P0_AffySNP	12	3292717	16069334	8957	-0.0527163
TM01127_SA1208005F001P0_P0_AffySNP	12	16069543	31072776	10901	0.0324946
TM01127_SA1208005F001P0_P0_AffySNP	12	31080000	31253973	105	0.647691
TM01127_SA1208005F001P0_P0_AffySNP	12	31254200	56434272	13551	0.00318261
TM01127_SA1208005F001P0_P0_AffySNP	12	56434764	56484700	34	-0.552551
TM01127_SA1208005F001P0_P0_AffySNP	12	56485600	89242150	21010	0.0595205
TM01127_SA1208005F001P0_P0_AffySNP	12	89244675	92488800	2183	-0.0479581
TM01127_SA1208005F001P0_P0_AffySNP	12	92492125	126240763	22833	-0.0330396
TM01127_SA1208005F001P0_P0_AffySNP	12	126241984	133202000	5533	0.031074
TM01127_SA1208005F001P0_P0_AffySNP	13	18452800	40194715	16082	0.00731655
TM01127_SA1208005F001P0_P0_AffySNP	13	40195052	79864000	25755	0.0549928
TM01127_SA1208005F001P0_P0_AffySNP	13	79865300	114343000	24238	0.0627206
TM01127_SA1208005F001P0_P0_AffySNP	14	18225600	62065702	27738	-0.00172288
TM01127_SA1208005F001P0_P0_AffySNP	14	62066300	62653275	427	-0.0600014
TM01127_SA1208005F001P0_P0_AffySNP	14	62653892	65442000	1916	-0.0170585
TM01127_SA1208005F001P0_P0_AffySNP	14	65447000	65902200	246	-0.0307135
TM01127_SA1208005F001P0_P0_AffySNP	14	65903500	77052400	7127	-0.0325337
TM01127_SA1208005F001P0_P0_AffySNP	14	77057500	77288204	192	-0.259181
TM01127_SA1208005F001P0_P0_AffySNP	14	77292900	101252000	16972	0.0164572
TM01127_SA1208005F001P0_P0_AffySNP	14	101252030	106877229	2466	0.0727254
TM01127_SA1208005F001P0_P0_AffySNP	15	19811100	38211042	10846	0.0264243
TM01127_SA1208005F001P0_P0_AffySNP	15	38211700	101929000	42701	-0.0237631
TM01127_SA1208005F001P0_P0_AffySNP	16	10778	3347910	1243	0.0336557
TM01127_SA1208005F001P0_P0_AffySNP	16	3348013	3443102	66	-0.407839
TM01127_SA1208005F001P0_P0_AffySNP	16	3443240	36048900	20217	-0.0432899
TM01127_SA1208005F001P0_P0_AffySNP	16	46429900	70780455	15917	-1.21597
TM01127_SA1208005F001P0_P0_AffySNP	16	70780884	70805400	17	-1.2407
TM01127_SA1208005F001P0_P0_AffySNP	16	70808194	71167200	230	-0.241718
TM01127_SA1208005F001P0_P0_AffySNP	16	71168586	90221100	16483	-1.24034
TM01127_SA1208005F001P0_P0_AffySNP	17	150734	16432800	10707	0.00334244
TM01127_SA1208005F001P0_P0_AffySNP	17	16433900	27661100	3124	-0.0776486
TM01127_SA1208005F001P0_P0_AffySNP	17	27662300	27947963	194	-1.27878
TM01127_SA1208005F001P0_P0_AffySNP	17	27955500	47204400	10671	-0.0501866
TM01127_SA1208005F001P0_P0_AffySNP	17	47206400	47801367	277	0.0448757
TM01127_SA1208005F001P0_P0_AffySNP	17	47803382	83090856	21638	0.00286104
TM01127_SA1208005F001P0_P0_AffySNP	18	11543	15402400	10767	-0.0138408
