ID	chromosome	start	end	N	log2.ratio
WUPDTC-003-M01_PT_WES	1	69428	120833504	4342807	0.00618674
WUPDTC-003-M01_PT_WES	1	143729574	248916508	3706794	-0.0428562
WUPDTC-003-M01_PT_WES	2	272529	91443715	2045412	0.0362234
WUPDTC-003-M01_PT_WES	2	95110016	241816853	3883321	0.0163932
WUPDTC-003-M01_PT_WES	3	344564	72846194	2243053	0.134854
WUPDTC-003-M01_PT_WES	3	72955006	89479327	81904	-0.0205913
WUPDTC-003-M01_PT_WES	3	93886282	198169918	2371479	0.000161988
WUPDTC-003-M01_PT_WES	4	86907	48849920	967580	-0.0233766
WUPDTC-003-M01_PT_WES	4	52018073	190026883	2153640	-0.127065
WUPDTC-003-M01_PT_WES	5	163090	44814864	699205	0.0675551
WUPDTC-003-M01_PT_WES	5	50405921	141418063	1782059	0.0402812
WUPDTC-003-M01_PT_WES	5	141419072	181368215	1093855	0.108407
WUPDTC-003-M01_PT_WES	6	312023	32223953	963186	-0.0959203
WUPDTC-003-M01_PT_WES	6	32332131	32661384	11987	-0.258866
WUPDTC-003-M01_PT_WES	6	32661939	57382049	1068368	-0.0874231
WUPDTC-003-M01_PT_WES	6	61574236	170584276	1924817	-0.164184
WUPDTC-003-M01_PT_WES	7	246436	57469686	1187297	0.0430343
WUPDTC-003-M01_PT_WES	7	63632536	159144893	2538816	0.0334304
WUPDTC-003-M01_PT_WES	8	413192	36918749	749287	-0.264186
WUPDTC-003-M01_PT_WES	8	36922691	43292832	230232	0.310768
WUPDTC-003-M01_PT_WES	8	47261015	118951777	989542	-0.0747176
WUPDTC-003-M01_PT_WES	8	119089699	141474044	364707	0.216772
WUPDTC-003-M01_PT_WES	8	141494938	144890458	327369	0.257248
WUPDTC-003-M01_PT_WES	9	14816	116832	3832	-0.303261
WUPDTC-003-M01_PT_WES	9	117428	41188974	797847	-0.0841147
WUPDTC-003-M01_PT_WES	9	60915753	68304198	55627	-0.129666
WUPDTC-003-M01_PT_WES	9	68499396	138233800	2434273	1.01E-08
WUPDTC-003-M01_PT_WES	10	47663	38118591	741992	-0.172784
WUPDTC-003-M01_PT_WES	10	42797199	100233276	1513995	-0.100908
WUPDTC-003-M01_PT_WES	10	100294695	133626863	998269	-0.0675714
WUPDTC-003-M01_PT_WES	11	193194	3102169	324186	0.146038
WUPDTC-003-M01_PT_WES	11	3102310	49208281	1277447	-0.0204485
WUPDTC-003-M01_PT_WES	11	55343537	134381883	2980120	0.0283363
WUPDTC-003-M01_PT_WES	12	67521	34023926	1067071	-0.012904
WUPDTC-003-M01_PT_WES	12	38679488	40490477	70408	-0.118353
WUPDTC-003-M01_PT_WES	12	40513708	133234117	3177733	0.0255598
WUPDTC-003-M01_PT_WES	13	19177404	114291857	1437247	-0.00146159
WUPDTC-003-M01_PT_WES	14	18601553	105488368	2474424	0.0699692
WUPDTC-003-M01_PT_WES	15	20535333	101744472	2793356	-0.0706245
WUPDTC-003-M01_PT_WES	16	53423	5079173	704171	0.130129
WUPDTC-003-M01_PT_WES	16	5079891	31465374	1086374	0.00109482
WUPDTC-003-M01_PT_WES	16	46621176	90037174	1600666	0.0378786
WUPDTC-003-M01_PT_WES	17	321307	21416700	1383302	0.00120499
WUPDTC-003-M01_PT_WES	17	27301794	83094678	3218584	0.00751848
WUPDTC-003-M01_PT_WES	18	166819	14752740	325305	-0.12529
WUPDTC-003-M01_PT_WES	18	21539840	80137309	898930	-0.148338
WUPDTC-003-M01_PT_WES	19	281360	8883697	949917	-0.0542828
WUPDTC-003-M01_PT_WES	19	8888697	8895740	3251	-0.322597
WUPDTC-003-M01_PT_WES	19	8908753	19656859	1160333	-0.0438724
WUPDTC-003-M01_PT_WES	19	19677730	24127230	105823	-0.263562
WUPDTC-003-M01_PT_WES	19	29606361	33008072	73828	0.155752
WUPDTC-003-M01_PT_WES	19	33172283	36718964	279762	0.59619
WUPDTC-003-M01_PT_WES	19	36748376	58571238	2247356	0.0277311
WUPDTC-003-M01_PT_WES	20	96321	25498422	587554	-0.152496
WUPDTC-003-M01_PT_WES	20	30289640	46689430	781020	0.280968
WUPDTC-003-M01_PT_WES	20	47212566	51671014	156438	0.490521
WUPDTC-003-M01_PT_WES	20	51671197	64273189	442140	0.223098
WUPDTC-003-M01_PT_WES	21	10413537	10603690	8407	-0.294309
WUPDTC-003-M01_PT_WES	21	14108913	46554669	805938	-0.185175
WUPDTC-003-M01_PT_WES	22	15529064	24441333	435983	0.194399
