ID	chromosome	start	end	N	log2.ratio
HCI-001_PT_AffySNP	1	61736	10248573	5334	0.000783649
HCI-001_PT_AffySNP	1	10249522	37800300	16224	0.0321638
HCI-001_PT_AffySNP	1	37804500	40173400	1345	0.407259
HCI-001_PT_AffySNP	1	40179100	65484547	16739	0.768516
HCI-001_PT_AffySNP	1	65484657	72303200	4569	0.722229
HCI-001_PT_AffySNP	1	72303300	72345500	45	3.16232
HCI-001_PT_AffySNP	1	72346221	99729700	18090	0.74304
HCI-001_PT_AffySNP	1	99730260	100138150	256	-0.514095
HCI-001_PT_AffySNP	1	100139121	102911306	1854	0.611677
HCI-001_PT_AffySNP	1	102912000	105979000	1623	0.770427
HCI-001_PT_AffySNP	1	105979000	118172283	8422	0.042654
HCI-001_PT_AffySNP	1	118173000	121741000	1404	0.339107
HCI-001_PT_AffySNP	1	146028000	146052593	11	0.646165
HCI-001_PT_AffySNP	1	146195000	150051427	1118	0.713988
HCI-001_PT_AffySNP	1	150053851	170443000	14208	0.847084
HCI-001_PT_AffySNP	1	170443000	173482000	2007	1.12923
HCI-001_PT_AffySNP	1	173485000	177086000	2189	1.06255
HCI-001_PT_AffySNP	1	177086995	183910000	4855	1.1056
HCI-001_PT_AffySNP	1	183912000	185531645	1072	0.924656
HCI-001_PT_AffySNP	1	185534149	193667000	5459	0.790191
HCI-001_PT_AffySNP	1	193667826	195458000	1226	0.768824
HCI-001_PT_AffySNP	1	195459000	209881760	10013	0.860738
HCI-001_PT_AffySNP	1	209882000	210533721	480	0.88587
HCI-001_PT_AffySNP	1	210533980	213779528	2128	0.818325
HCI-001_PT_AffySNP	1	213779649	227398282	9462	0.898513
HCI-001_PT_AffySNP	1	227398700	234590355	5299	1.14561
HCI-001_PT_AffySNP	1	234590610	244099000	7307	1.31435
HCI-001_PT_AffySNP	1	244100000	248930000	3205	1.47076
HCI-001_PT_AffySNP	2	12784	695768	510	-1.38103
HCI-001_PT_AffySNP	2	696458	1807000	700	-1.2997
HCI-001_PT_AffySNP	2	1807751	20623852	14807	0.0756906
HCI-001_PT_AffySNP	2	20624931	22959474	1485	0.0693396
HCI-001_PT_AffySNP	2	22960350	23345192	316	-0.0560496
HCI-001_PT_AffySNP	2	23345600	63297967	27555	0.0448888
HCI-001_PT_AffySNP	2	63297982	68906100	3906	-0.479652
HCI-001_PT_AffySNP	2	68908058	69077587	150	-0.396788
HCI-001_PT_AffySNP	2	69082523	69217109	127	-0.423467
HCI-001_PT_AffySNP	2	69217389	69295900	50	-0.319448
HCI-001_PT_AffySNP	2	69296706	70537300	771	-0.494415
HCI-001_PT_AffySNP	2	70537556	70615800	62	-0.498582
HCI-001_PT_AffySNP	2	70617800	71705400	759	-0.40807
HCI-001_PT_AffySNP	2	71709894	71925000	143	-0.427357
HCI-001_PT_AffySNP	2	71925018	72176500	159	-0.380286
HCI-001_PT_AffySNP	2	72176719	72782700	239	-0.453361
HCI-001_PT_AffySNP	2	72786300	73245296	195	-0.471763
HCI-001_PT_AffySNP	2	73245600	73849200	267	-0.482888
