ID	chromosome	start	end	N	log2.ratio
TM01085_TM01085FPT_PT_AffySNP	1	61736	13628657	6996	-0.00306892
TM01085_TM01085FPT_PT_AffySNP	1	13628900	15659600	1619	0.700398
TM01085_TM01085FPT_PT_AffySNP	1	15666843	48079700	18986	0.57058
TM01085_TM01085FPT_PT_AffySNP	1	48083400	51572025	1784	0.696944
TM01085_TM01085FPT_PT_AffySNP	1	51579000	55159400	2212	1.05809
TM01085_TM01085FPT_PT_AffySNP	1	55159875	58146200	2565	0.722002
TM01085_TM01085FPT_PT_AffySNP	1	58148400	72743500	10386	1.15193
TM01085_TM01085FPT_PT_AffySNP	1	72756238	73000500	132	2.33049
TM01085_TM01085FPT_PT_AffySNP	1	73000800	73018500	10	1.60064
TM01085_TM01085FPT_PT_AffySNP	1	73019100	102998420	19833	1.11821
TM01085_TM01085FPT_PT_AffySNP	1	103001361	105359000	1153	0.658902
TM01085_TM01085FPT_PT_AffySNP	1	105364000	105985139	407	1.81605
TM01085_TM01085FPT_PT_AffySNP	1	105985746	108098283	1589	0.7184
TM01085_TM01085FPT_PT_AffySNP	1	108099197	115069000	4668	0.614445
TM01085_TM01085FPT_PT_AffySNP	1	115069399	118488000	2332	0.690813
TM01085_TM01085FPT_PT_AffySNP	1	118488075	121741000	1231	1.0632
TM01085_TM01085FPT_PT_AffySNP	1	143285000	151590000	2352	1.31718
TM01085_TM01085FPT_PT_AffySNP	1	151592000	153641069	1479	1.61285
TM01085_TM01085FPT_PT_AffySNP	1	153641307	156205000	1211	1.77524
TM01085_TM01085FPT_PT_AffySNP	1	156209000	177980000	15614	1.33477
TM01085_TM01085FPT_PT_AffySNP	1	177981091	178704508	467	0.123862
TM01085_TM01085FPT_PT_AffySNP	1	178704778	179597161	691	-0.0524334
TM01085_TM01085FPT_PT_AffySNP	1	179597947	179622000	14	-0.551968
TM01085_TM01085FPT_PT_AffySNP	1	179624000	180885000	787	2.01721
TM01085_TM01085FPT_PT_AffySNP	1	180896419	180925000	23	-0.301952
TM01085_TM01085FPT_PT_AffySNP	1	180925247	181978000	826	-0.445151
TM01085_TM01085FPT_PT_AffySNP	1	181981656	182555000	432	-0.337664
TM01085_TM01085FPT_PT_AffySNP	1	182557450	183533000	671	1.99248
TM01085_TM01085FPT_PT_AffySNP	1	183534529	183871969	263	-0.423802
TM01085_TM01085FPT_PT_AffySNP	1	183872793	186586000	1730	1.41142
TM01085_TM01085FPT_PT_AffySNP	1	186592000	186998000	278	-0.34502
TM01085_TM01085FPT_PT_AffySNP	1	186998061	199582032	8468	-0.339093
TM01085_TM01085FPT_PT_AffySNP	1	199586444	199629655	34	-0.978254
TM01085_TM01085FPT_PT_AffySNP	1	199629754	220318395	14723	-0.302431
TM01085_TM01085FPT_PT_AffySNP	1	220323037	221431000	759	-0.209264
TM01085_TM01085FPT_PT_AffySNP	1	221431638	224120023	1761	-0.317989
TM01085_TM01085FPT_PT_AffySNP	1	224133000	224728000	434	-0.18436
TM01085_TM01085FPT_PT_AffySNP	1	224728408	225279000	332	-0.347983
TM01085_TM01085FPT_PT_AffySNP	1	225283981	225692412	263	-0.2054
TM01085_TM01085FPT_PT_AffySNP	1	225695676	233922000	5799	-0.263158
TM01085_TM01085FPT_PT_AffySNP	1	233927797	243295000	7289	0.601269
TM01085_TM01085FPT_PT_AffySNP	1	243295000	246783000	2501	0.158017
TM01085_TM01085FPT_PT_AffySNP	1	246785000	247344000	339	-0.967894
TM01085_TM01085FPT_PT_AffySNP	1	247344585	248930000	964	-0.20092
TM01085_TM01085FPT_PT_AffySNP	2	12784	8038605	6564	-0.641545
TM01085_TM01085FPT_PT_AffySNP	2	8038605	9544430	1075	0.369827
TM01085_TM01085FPT_PT_AffySNP	2	9549948	33885200	16634	-0.000369613
TM01085_TM01085FPT_PT_AffySNP	2	33886000	34047512	127	-0.240435
TM01085_TM01085FPT_PT_AffySNP	2	34047530	59347400	18708	-0.0383181
TM01085_TM01085FPT_PT_AffySNP	2	59348400	78467100	12298	0.000209031
TM01085_TM01085FPT_PT_AffySNP	2	78467799	78508657	31	-7.71189
TM01085_TM01085FPT_PT_AffySNP	2	78508900	84279100	3792	-0.04298
TM01085_TM01085FPT_PT_AffySNP	2	84281700	84879300	368	1.07502
TM01085_TM01085FPT_PT_AffySNP	2	84891300	90097000	2142	1.54248
