ID	chromosome	start	end	N	log2.ratio
J000094707_J000101139_P0_002P0_AffySNP	1	61736	3366740	839	-0.511625
J000094707_J000101139_P0_002P0_AffySNP	1	3366964	117445000	73223	-0.856371
J000094707_J000101139_P0_002P0_AffySNP	1	117448000	118697830	758	0.958831
J000094707_J000101139_P0_002P0_AffySNP	1	118704000	119447000	460	-0.749125
J000094707_J000101139_P0_002P0_AffySNP	1	119447000	121741000	625	0.296861
J000094707_J000101139_P0_002P0_AffySNP	1	143285000	162130000	9071	0.559049
J000094707_J000101139_P0_002P0_AffySNP	1	162132039	185635000	16944	0.584789
J000094707_J000101139_P0_002P0_AffySNP	1	185637000	187762398	1371	0.736158
J000094707_J000101139_P0_002P0_AffySNP	1	187763470	199346870	7748	0.680453
J000094707_J000101139_P0_002P0_AffySNP	1	199347000	205323562	4249	0.267659
J000094707_J000101139_P0_002P0_AffySNP	1	205323647	214148000	6126	0.543291
J000094707_J000101139_P0_002P0_AffySNP	1	214149513	218538000	3328	0.709979
J000094707_J000101139_P0_002P0_AffySNP	1	218544000	237158614	12988	0.562982
J000094707_J000101139_P0_002P0_AffySNP	1	237158712	248930000	8682	0.603013
J000094707_J000101139_P0_002P0_AffySNP	2	12784	30388682	21974	0.461932
J000094707_J000101139_P0_002P0_AffySNP	2	30390224	30408221	14	-1.57651
J000094707_J000101139_P0_002P0_AffySNP	2	30408827	46410300	11956	0.500929
J000094707_J000101139_P0_002P0_AffySNP	2	46410400	57936011	8270	0.501453
J000094707_J000101139_P0_002P0_AffySNP	2	57937088	57942359	13	-0.485266
J000094707_J000101139_P0_002P0_AffySNP	2	57942815	76152816	11582	0.452976
J000094707_J000101139_P0_002P0_AffySNP	2	76153896	84032204	5259	0.587148
J000094707_J000101139_P0_002P0_AffySNP	2	84036645	88822000	2362	0.523521
J000094707_J000101139_P0_002P0_AffySNP	2	88822567	90007600	238	1.66934
J000094707_J000101139_P0_002P0_AffySNP	2	98264800	98759600	260	0.276277
J000094707_J000101139_P0_002P0_AffySNP	2	98760900	102680477	2565	0.507829
J000094707_J000101139_P0_002P0_AffySNP	2	102681056	130004000	17168	0.48753
J000094707_J000101139_P0_002P0_AffySNP	2	130004164	132839000	1216	0.551125
J000094707_J000101139_P0_002P0_AffySNP	2	132840000	136413000	2376	0.454045
J000094707_J000101139_P0_002P0_AffySNP	2	136418256	154081417	11316	0.546298
J000094707_J000101139_P0_002P0_AffySNP	2	154081659	154412000	184	0.760773
J000094707_J000101139_P0_002P0_AffySNP	2	154412000	157964348	2014	0.550339
J000094707_J000101139_P0_002P0_AffySNP	2	157966875	161080000	2056	0.550667
J000094707_J000101139_P0_002P0_AffySNP	2	161082000	182131730	13430	0.530181
J000094707_J000101139_P0_002P0_AffySNP	2	182131854	208163147	15488	0.546165
J000094707_J000101139_P0_002P0_AffySNP	2	208163467	208186000	14	-0.445117
J000094707_J000101139_P0_002P0_AffySNP	2	208188356	222108024	9201	0.483348
J000094707_J000101139_P0_002P0_AffySNP	2	222113570	223169000	705	0.440129
J000094707_J000101139_P0_002P0_AffySNP	2	223169183	223176211	19	-0.330394
J000094707_J000101139_P0_002P0_AffySNP	2	223176211	235693000	8327	0.448163
J000094707_J000101139_P0_002P0_AffySNP	2	235696600	236078000	244	-0.993895
J000094707_J000101139_P0_002P0_AffySNP	2	236079769	242147000	3738	0.411951
J000094707_J000101139_P0_002P0_AffySNP	3	18668	5811513	5283	-0.0425162
J000094707_J000101139_P0_002P0_AffySNP	3	5811612	6059272	208	-0.318331
J000094707_J000101139_P0_002P0_AffySNP	3	6059860	14791500	6906	-0.0643778
J000094707_J000101139_P0_002P0_AffySNP	3	14794358	16127984	842	-0.100422
J000094707_J000101139_P0_002P0_AffySNP	3	16128121	16143000	19	0.236253
J000094707_J000101139_P0_002P0_AffySNP	3	16144081	16347500	191	-0.303621
J000094707_J000101139_P0_002P0_AffySNP	3	16349018	73702281	39483	-0.0399071
J000094707_J000101139_P0_002P0_AffySNP	3	73706934	78629700	3023	0.0673279
J000094707_J000101139_P0_002P0_AffySNP	3	78630397	79658600	553	0.0901387
J000094707_J000101139_P0_002P0_AffySNP	3	79663804	84504000	2619	-0.249671
J000094707_J000101139_P0_002P0_AffySNP	3	84507700	87481400	1740	0.0800841
J000094707_J000101139_P0_002P0_AffySNP	3	87482878	96391400	2908	0.048642
J000094707_J000101139_P0_002P0_AffySNP	3	96398384	98526940	1159	-0.0119396
J000094707_J000101139_P0_002P0_AffySNP	3	98530821	133197533	21713	-0.0584761
J000094707_J000101139_P0_002P0_AffySNP	3	133197768	198169000	41099	-0.0355416
J000094707_J000101139_P0_002P0_AffySNP	4	12282	5236401	2684	-0.426509
J000094707_J000101139_P0_002P0_AffySNP	4	5236458	5722790	440	-0.413469
J000094707_J000101139_P0_002P0_AffySNP	4	5724470	7345117	1298	-0.465645
J000094707_J000101139_P0_002P0_AffySNP	4	7345490	7485160	141	-0.475755
J000094707_J000101139_P0_002P0_AffySNP	4	7487300	9842997	1097	-0.407147
J000094707_J000101139_P0_002P0_AffySNP	4	9843087	11757200	1850	-0.597194
J000094707_J000101139_P0_002P0_AffySNP	4	11757718	11760400	10	-1.51256
J000094707_J000101139_P0_002P0_AffySNP	4	11762500	22305600	7727	-0.495386
J000094707_J000101139_P0_002P0_AffySNP	4	22306100	27501500	3626	-0.484559
J000094707_J000101139_P0_002P0_AffySNP	4	27502200	27527400	17	-1.64969
J000094707_J000101139_P0_002P0_AffySNP	4	27527405	29724743	1522	-0.48301
J000094707_J000101139_P0_002P0_AffySNP	4	29725606	30837700	701	-0.376146
J000094707_J000101139_P0_002P0_AffySNP	4	30838361	34364100	2078	-0.46558
J000094707_J000101139_P0_002P0_AffySNP	4	34366800	37218500	1995	-0.653266
J000094707_J000101139_P0_002P0_AffySNP	4	37222000	48113247	6873	-0.527669
J000094707_J000101139_P0_002P0_AffySNP	4	48113717	53516400	1627	-0.457279
J000094707_J000101139_P0_002P0_AffySNP	4	53516907	60309700	4750	-0.389541
J000094707_J000101139_P0_002P0_AffySNP	4	60309713	60563000	203	-0.45649
J000094707_J000101139_P0_002P0_AffySNP	4	60563195	69702859	5557	-0.385587
J000094707_J000101139_P0_002P0_AffySNP	4	69703548	97300300	17372	-0.459971
J000094707_J000101139_P0_002P0_AffySNP	4	97300500	109657590	7290	-0.448671
J000094707_J000101139_P0_002P0_AffySNP	4	109659000	110110000	318	-0.462425
J000094707_J000101139_P0_002P0_AffySNP	4	110111333	116783000	4292	-0.473998
J000094707_J000101139_P0_002P0_AffySNP	4	116784000	118095000	858	-0.836467
J000094707_J000101139_P0_002P0_AffySNP	4	118095062	121016000	1800	-0.794457
J000094707_J000101139_P0_002P0_AffySNP	4	121016000	123788000	1574	-0.926181
J000094707_J000101139_P0_002P0_AffySNP	4	123790000	130813499	4261	-0.840051
J000094707_J000101139_P0_002P0_AffySNP	4	130813516	130854069	28	-0.461501
J000094707_J000101139_P0_002P0_AffySNP	4	130855282	131385000	283	-0.878408
J000094707_J000101139_P0_002P0_AffySNP	4	131386000	132137632	342	-2.41691
J000094707_J000101139_P0_002P0_AffySNP	4	132138000	132385000	140	-0.513597
J000094707_J000101139_P0_002P0_AffySNP	4	132386000	132740020	223	-0.896348
J000094707_J000101139_P0_002P0_AffySNP	4	132741358	141483000	5518	-0.859802
J000094707_J000101139_P0_002P0_AffySNP	4	141485000	142310215	525	-0.949203
J000094707_J000101139_P0_002P0_AffySNP	4	142310504	146780000	2589	-0.860771
J000094707_J000101139_P0_002P0_AffySNP	4	146780467	147491260	440	-1.01756
J000094707_J000101139_P0_002P0_AffySNP	4	147493314	147582000	80	-1.31629
J000094707_J000101139_P0_002P0_AffySNP	4	147582146	147966000	218	-0.935611
J000094707_J000101139_P0_002P0_AffySNP	4	147972669	150238000	1333	-1.00494
J000094707_J000101139_P0_002P0_AffySNP	4	150238650	151828443	824	-0.951256
J000094707_J000101139_P0_002P0_AffySNP	4	151829000	151910313	118	-0.450048
J000094707_J000101139_P0_002P0_AffySNP	4	151911967	153732915	1158	-0.938404
J000094707_J000101139_P0_002P0_AffySNP	4	153732945	154450000	489	-0.923583
J000094707_J000101139_P0_002P0_AffySNP	4	154451000	156216000	1267	-0.857469
J000094707_J000101139_P0_002P0_AffySNP	4	156216000	157307000	704	-0.91341
J000094707_J000101139_P0_002P0_AffySNP	4	157313000	161592000	2840	-0.885235
J000094707_J000101139_P0_002P0_AffySNP	4	161594000	165475070	2543	-0.910049
J000094707_J000101139_P0_002P0_AffySNP	4	165477000	166336000	585	-0.782575
J000094707_J000101139_P0_002P0_AffySNP	4	166336000	166723798	175	-0.760372
J000094707_J000101139_P0_002P0_AffySNP	4	166723878	171111262	2824	-0.89561
J000094707_J000101139_P0_002P0_AffySNP	4	171111344	172572186	959	-0.829502
J000094707_J000101139_P0_002P0_AffySNP	4	172572253	175032061	1444	-0.927098
J000094707_J000101139_P0_002P0_AffySNP	4	175033000	176422000	848	-0.903763
J000094707_J000101139_P0_002P0_AffySNP	4	176425000	178523331	1468	-0.881207
J000094707_J000101139_P0_002P0_AffySNP	4	178524000	179905000	978	-0.953707
J000094707_J000101139_P0_002P0_AffySNP	4	179906923	185693000	4349	-0.969515
J000094707_J000101139_P0_002P0_AffySNP	4	185694559	190107000	3080	-0.457323
J000094707_J000101139_P0_002P0_AffySNP	5	15532	4012580	3056	-0.109987
J000094707_J000101139_P0_002P0_AffySNP	5	4012590	4027643	12	0.680155
J000094707_J000101139_P0_002P0_AffySNP	5	4031413	9918630	5253	-0.102788
J000094707_J000101139_P0_002P0_AffySNP	5	9918907	11227109	1159	-0.191533
