ID	chromosome	start	end	N	log2.ratio
J000096652_J000099828_P0_002P0_AffySNP	1	61736	3274910	782	-0.465255
J000096652_J000099828_P0_002P0_AffySNP	1	3280916	4710844	1060	-0.58331
J000096652_J000099828_P0_002P0_AffySNP	1	4713206	5716400	902	-0.686795
J000096652_J000099828_P0_002P0_AffySNP	1	5718176	6653054	489	-0.527275
J000096652_J000099828_P0_002P0_AffySNP	1	6653222	6953400	186	-0.97143
J000096652_J000099828_P0_002P0_AffySNP	1	6953581	7652270	522	-0.585858
J000096652_J000099828_P0_002P0_AffySNP	1	7657902	9417490	1037	-0.804123
J000096652_J000099828_P0_002P0_AffySNP	1	9419510	10521300	534	-0.564897
J000096652_J000099828_P0_002P0_AffySNP	1	10521990	11829400	721	-0.543597
J000096652_J000099828_P0_002P0_AffySNP	1	11829411	12376600	299	-0.589547
J000096652_J000099828_P0_002P0_AffySNP	1	12376843	22530000	6521	-0.616935
J000096652_J000099828_P0_002P0_AffySNP	1	22530759	23359300	514	-0.556708
J000096652_J000099828_P0_002P0_AffySNP	1	23360305	30330600	3647	-0.684204
J000096652_J000099828_P0_002P0_AffySNP	1	30330631	31232900	620	-0.713776
J000096652_J000099828_P0_002P0_AffySNP	1	31235010	34566000	1937	-0.679867
J000096652_J000099828_P0_002P0_AffySNP	1	34572695	36729200	1080	-0.798851
J000096652_J000099828_P0_002P0_AffySNP	1	36730100	38779825	1328	-0.638171
J000096652_J000099828_P0_002P0_AffySNP	1	38781662	41518600	1478	-0.664864
J000096652_J000099828_P0_002P0_AffySNP	1	41518941	41789550	221	-0.704154
J000096652_J000099828_P0_002P0_AffySNP	1	41790900	50793369	5191	-0.712337
J000096652_J000099828_P0_002P0_AffySNP	1	50795900	52990227	973	-0.630833
J000096652_J000099828_P0_002P0_AffySNP	1	52991336	54900000	1368	-0.570661
J000096652_J000099828_P0_002P0_AffySNP	1	54904300	63107720	6401	-0.697472
J000096652_J000099828_P0_002P0_AffySNP	1	63108500	64875500	1329	-0.608302
J000096652_J000099828_P0_002P0_AffySNP	1	64875884	66081400	960	-0.701843
J000096652_J000099828_P0_002P0_AffySNP	1	66083531	71611800	3689	-0.674074
J000096652_J000099828_P0_002P0_AffySNP	1	71612866	73258400	1026	-0.540937
J000096652_J000099828_P0_002P0_AffySNP	1	73261200	75549000	1379	-0.741696
J000096652_J000099828_P0_002P0_AffySNP	1	75549965	76371786	665	-0.626091
J000096652_J000099828_P0_002P0_AffySNP	1	76372700	79845800	2237	-0.648973
J000096652_J000099828_P0_002P0_AffySNP	1	79847506	79987113	80	-0.269394
J000096652_J000099828_P0_002P0_AffySNP	1	79988550	81205000	819	-0.689839
J000096652_J000099828_P0_002P0_AffySNP	1	81205778	83650097	1712	-0.708185
J000096652_J000099828_P0_002P0_AffySNP	1	83650459	85583700	1417	-0.609298
J000096652_J000099828_P0_002P0_AffySNP	1	85584140	102232624	10906	-0.730687
J000096652_J000099828_P0_002P0_AffySNP	1	102233874	103826000	810	-0.688131
J000096652_J000099828_P0_002P0_AffySNP	1	103826000	104744000	497	-0.639913
J000096652_J000099828_P0_002P0_AffySNP	1	104748000	105458000	402	-0.787296
J000096652_J000099828_P0_002P0_AffySNP	1	105458950	105522000	67	0.52706
J000096652_J000099828_P0_002P0_AffySNP	1	105522000	110685787	3432	-0.689543
J000096652_J000099828_P0_002P0_AffySNP	1	110686930	111726000	896	-0.819647
J000096652_J000099828_P0_002P0_AffySNP	1	111735295	115833830	2821	-0.666225
J000096652_J000099828_P0_002P0_AffySNP	1	115834240	116857000	721	-0.814273
J000096652_J000099828_P0_002P0_AffySNP	1	116857410	118662528	1122	-0.622881
J000096652_J000099828_P0_002P0_AffySNP	1	118662932	121741000	1109	-0.596842
J000096652_J000099828_P0_002P0_AffySNP	1	147445799	158098688	5452	0.671302
J000096652_J000099828_P0_002P0_AffySNP	1	158101341	165211583	5327	0.627992
J000096652_J000099828_P0_002P0_AffySNP	1	165211711	167905000	2212	0.716654
J000096652_J000099828_P0_002P0_AffySNP	1	167907000	173350000	3897	0.634284
J000096652_J000099828_P0_002P0_AffySNP	1	173350155	213797422	27547	0.526649
J000096652_J000099828_P0_002P0_AffySNP	1	213798753	224515000	7557	0.560594
J000096652_J000099828_P0_002P0_AffySNP	1	224515746	226425248	1209	0.492515
J000096652_J000099828_P0_002P0_AffySNP	1	226425532	248930000	16487	0.498604
J000096652_J000099828_P0_002P0_AffySNP	2	12784	18994100	14764	0.13039
J000096652_J000099828_P0_002P0_AffySNP	2	18994400	50996300	22364	0.149427
J000096652_J000099828_P0_002P0_AffySNP	2	50998500	97759259	25848	0.194161
J000096652_J000099828_P0_002P0_AffySNP	2	97761202	120381271	13851	0.126874
J000096652_J000099828_P0_002P0_AffySNP	2	120384000	121287000	673	0.199626
J000096652_J000099828_P0_002P0_AffySNP	2	121289000	123757465	1639	-0.0237026
J000096652_J000099828_P0_002P0_AffySNP	2	123758000	143873600	12731	0.0374806
J000096652_J000099828_P0_002P0_AffySNP	2	143875413	147592000	2076	0.0549036
J000096652_J000099828_P0_002P0_AffySNP	2	147600976	149373787	949	-0.0327883
J000096652_J000099828_P0_002P0_AffySNP	2	149376000	149469326	52	0.448977
J000096652_J000099828_P0_002P0_AffySNP	2	149469908	187785000	24228	0.0710654
J000096652_J000099828_P0_002P0_AffySNP	2	187787000	190385552	1506	0.113683
J000096652_J000099828_P0_002P0_AffySNP	2	190386000	219957995	18328	0.032706
J000096652_J000099828_P0_002P0_AffySNP	2	219958774	219971000	14	0.79136
J000096652_J000099828_P0_002P0_AffySNP	2	219975000	222108000	1545	0.0809852
J000096652_J000099828_P0_002P0_AffySNP	2	222108024	222113450	10	-1.76259
J000096652_J000099828_P0_002P0_AffySNP	2	222113570	242147000	13031	0.00366476
J000096652_J000099828_P0_002P0_AffySNP	3	18668	17261600	14063	-0.677618
J000096652_J000099828_P0_002P0_AffySNP	3	17262200	17569600	148	-8.37112
J000096652_J000099828_P0_002P0_AffySNP	3	17572353	17906600	156	-1.0308
J000096652_J000099828_P0_002P0_AffySNP	3	17906900	18457300	331	-8.37112
J000096652_J000099828_P0_002P0_AffySNP	3	18458350	20870000	1423	-0.803598
J000096652_J000099828_P0_002P0_AffySNP	3	20870630	66719460	31530	-0.659579
J000096652_J000099828_P0_002P0_AffySNP	3	66720117	66759518	28	-1.2835
J000096652_J000099828_P0_002P0_AffySNP	3	66759594	83902993	11159	-0.665126
J000096652_J000099828_P0_002P0_AffySNP	3	83903286	90406000	3577	0.262396
J000096652_J000099828_P0_002P0_AffySNP	3	90436500	96815800	1580	-0.656568
J000096652_J000099828_P0_002P0_AffySNP	3	96819700	98159300	705	0.219345
J000096652_J000099828_P0_002P0_AffySNP	3	98159384	112546929	8902	-0.629834
J000096652_J000099828_P0_002P0_AffySNP	3	112554699	132779869	12717	-0.69471
J000096652_J000099828_P0_002P0_AffySNP	3	132781000	132835000	41	-3.46975
J000096652_J000099828_P0_002P0_AffySNP	3	132835000	140956000	5153	-0.708771
J000096652_J000099828_P0_002P0_AffySNP	3	140956471	142054000	643	0.172807
J000096652_J000099828_P0_002P0_AffySNP	3	142055000	143533000	941	-0.699908
