ID	chromosome	start	end	N	log2.ratio
TC211_PT_WES	1	14464	964557	21969	-0.199527
TC211_PT_WES	1	1013490	13225068	694528	-0.0543229
TC211_PT_WES	1	13225208	13319887	4353	-0.072867
TC211_PT_WES	1	13475756	16490636	148186	-0.0310463
TC211_PT_WES	1	16490815	16948577	30173	-0.0595396
TC211_PT_WES	1	16960919	119916499	3434751	-0.00822133
TC211_PT_WES	1	143450451	148146847	99963	0.123718
TC211_PT_WES	1	148483347	149607273	21466	0.10855
TC211_PT_WES	1	149813197	247875992	3572619	0.127553
TC211_PT_WES	1	247876149	248855287	45443	-0.0766314
TC211_PT_WES	2	224919	91612864	2167334	-0.00892466
TC211_PT_WES	2	95110016	95951461	23994	-0.0734561
TC211_PT_WES	2	96129975	130425091	771109	-0.0188232
TC211_PT_WES	2	130463291	132103670	51283	-0.0960932
TC211_PT_WES	2	132417191	242003919	3065408	-0.00997144
TC211_PT_WES	3	197664	75371029	2322024	0.123432
TC211_PT_WES	3	75630855	75741877	5300	0.178736
TC211_PT_WES	3	77040961	88150148	49137	0.135505
TC211_PT_WES	3	97226501	173117500	1815447	0.163662
TC211_PT_WES	3	173789954	194641992	475748	-0.0138073
TC211_PT_WES	3	194650767	195786399	42220	-0.00702169
TC211_PT_WES	3	195786494	198120258	122894	-0.0336548
TC211_PT_WES	4	65000	48986433	976340	-0.0210497
TC211_PT_WES	4	52003360	99284672	856697	0.0289776
TC211_PT_WES	4	99291040	190021892	1317552	0.166743
TC211_PT_WES	4	190022075	190069139	2918	-0.0782976
TC211_PT_WES	5	140009	43702785	711958	0.120567
TC211_PT_WES	5	52897456	181260211	2904361	0.135996
TC211_PT_WES	6	203878	30702515	724762	-0.0278245
TC211_PT_WES	6	30723600	30986309	5153	7.83777
TC211_PT_WES	6	30986343	30987366	1000	5.35626
TC211_PT_WES	6	30987432	32056125	23655	8.07845
TC211_PT_WES	6	32056618	32443949	68458	-0.0605033
TC211_PT_WES	6	32530070	32589706	3038	-0.105761
TC211_PT_WES	6	32641200	33080765	40585	-0.0795314
TC211_PT_WES	6	33080822	33168368	7775	-0.118017
TC211_PT_WES	6	33168798	57924542	1037509	-0.0352769
TC211_PT_WES	6	61574335	170584276	1909271	0.000262348
TC211_PT_WES	7	256004	55981424	1153250	0.128761
TC211_PT_WES	7	56011751	57201202	23761	0.180781
TC211_PT_WES	7	63292701	159032034	2503374	0.144564
TC211_PT_WES	8	213553	6936059	85247	-0.0777387
TC211_PT_WES	8	6988215	8040098	25662	-0.210874
TC211_PT_WES	8	8319038	12014886	70941	-0.0434052
TC211_PT_WES	8	12015335	12659540	4048	-0.347963
TC211_PT_WES	8	12659569	43297019	734110	-0.0101183
TC211_PT_WES	8	49075351	145052811	1585878	-0.0226485
TC211_PT_WES	9	15883	42856422	771392	-0.0383546
TC211_PT_WES	9	60916556	138177194	2304621	-0.033346
TC211_PT_WES	10	47663	38356496	703640	0.00234833
TC211_PT_WES	10	42185416	46046289	81179	-0.00876295
TC211_PT_WES	10	46109923	46384886	5405	-0.0913404
TC211_PT_WES	10	46549243	129766734	2112037	-0.0171831
TC211_PT_WES	10	129841101	133565566	136922	-0.175289
TC211_PT_WES	11	206089	1016665	130741	0.00146781
TC211_PT_WES	11	1016704	1835882	99991	0.0229118
TC211_PT_WES	11	1836013	50422246	1308283	0.118222
TC211_PT_WES	11	54591781	134381883	2815892	0.118881
TC211_PT_WES	12	17870	139036	3565	-0.0628478
TC211_PT_WES	12	141324	10713372	544985	0.0927619
TC211_PT_WES	12	10882381	11393258	18645	0.151508
TC211_PT_WES	12	11393566	33385244	443199	0.174094
TC211_PT_WES	12	38839969	133231689	3096205	0.139429
TC211_PT_WES	13	18468187	114325506	1393589	3.17E-07
TC211_PT_WES	14	18601553	19827675	16206	-0.0953568
TC211_PT_WES	14	19827845	88840976	1760348	-0.00813231
TC211_PT_WES	14	89163046	90270133	14671	-0.0123577
TC211_PT_WES	14	90274244	104949883	553418	-0.0203142
TC211_PT_WES	14	104950535	106287408	87731	-0.119148
TC211_PT_WES	14	106324388	106802973	17945	-0.24761
TC211_PT_WES	15	19964897	101975096	2763035	-0.0217281
TC211_PT_WES	16	15505	1223638	175114	-0.151863
TC211_PT_WES	16	1228744	1256920	3358	-0.303844
TC211_PT_WES	16	1256926	13948101	594415	-0.0558752
TC211_PT_WES	16	13948251	15022768	31000	0.00309359
TC211_PT_WES	16	15033033	16198126	62417	-5.34E-05
TC211_PT_WES	16	16309933	18380312	26918	-0.124501
TC211_PT_WES	16	18794701	28106225	354064	-0.0192947
TC211_PT_WES	16	28362629	28762300	21828	-0.0691638
TC211_PT_WES	16	28887457	31705782	302792	-0.044783
TC211_PT_WES	16	31976001	34163199	18087	-0.156085
TC211_PT_WES	16	46550517	55810705	208195	-0.00981493
TC211_PT_WES	16	55820334	56334583	8804	-0.145248
TC211_PT_WES	16	56334777	90102285	1227346	-0.0510262
TC211_PT_WES	17	181417	18500895	1187482	-0.0493083
TC211_PT_WES	17	18501036	22524202	114074	0.146155
TC211_PT_WES	17	27422519	83093262	3036769	0.130749
TC211_PT_WES	18	48387	15270909	312506	-0.00468459
TC211_PT_WES	18	21403805	80168979	855779	-0.0149293
TC211_PT_WES	19	76688	24127230	2121140	-0.0183313
TC211_PT_WES	19	29527145	52583345	1891811	-0.0236749
TC211_PT_WES	19	52618966	52906723	15831	0.189029
TC211_PT_WES	19	53050433	54574639	153774	0.0168841
TC211_PT_WES	19	54574871	54760404	24120	-0.110335
TC211_PT_WES	19	54760546	58599150	392074	-0.0797871
TC211_PT_WES	20	96321	25774949	582936	0.11486
TC211_PT_WES	20	30377423	30403284	662	0.0934901
TC211_PT_WES	20	30403342	64328010	1322696	0.10581
TC211_PT_WES	21	8987468	10649858	5358	0.00103588
TC211_PT_WES	21	13051771	14144627	6657	0.0104419
TC211_PT_WES	21	14181709	46663614	784163	-0.0456891
TC211_PT_WES	22	15342394	16390714	5155	-0.025363
TC211_PT_WES	22	16690487	50739662	1663087	-0.0712229
TC211_P0_WES	1	19226	1013541	27626	-0.0980653
TC211_P0_WES	1	1013855	16585519	835005	-0.0180632
TC211_P0_WES	1	16587089	16759816	16269	-0.0506203
TC211_P0_WES	1	16760870	119916499	3380646	0.00976334
TC211_P0_WES	1	143904153	152306930	384995	0.502806
TC211_P0_WES	1	152787202	248855287	3281687	0.4969
TC211_P0_WES	2	224919	91612864	2125113	-0.0255457
TC211_P0_WES	2	95110016	233713464	3491396	-0.0186857
TC211_P0_WES	2	233713636	233719624	1502	-0.144698
TC211_P0_WES	2	233719730	242003919	353165	-0.116379
TC211_P0_WES	3	197664	75664707	2297822	0.51639
TC211_P0_WES	3	75664995	88150148	53881	0.470888
TC211_P0_WES	3	97226501	174864098	1797996	0.541079
TC211_P0_WES	3	175233841	195779575	499923	-0.0453495
TC211_P0_WES	3	195779602	195786399	4257	-0.140551
TC211_P0_WES	3	195788746	198120258	118650	-0.0812046
TC211_P0_WES	4	65000	48986433	956832	-0.0447579
TC211_P0_WES	4	52003360	90313099	768668	-0.00768639
TC211_P0_WES	4	90815867	188739132	1366661	0.53465
TC211_P0_WES	4	189940928	190069139	4716	0.288327
TC211_P0_WES	5	140417	43702785	702009	0.519448
TC211_P0_WES	5	52897456	181260211	2869310	0.533848
TC211_P0_WES	6	203878	30702515	713735	-0.0197725
TC211_P0_WES	6	30723600	30986309	5075	7.85453
TC211_P0_WES	6	30986343	30987366	1000	5.46154
TC211_P0_WES	6	30987432	32056125	23488	8.13731
TC211_P0_WES	6	32056618	32589706	72889	-0.0359064
TC211_P0_WES	6	32641317	57924542	1068403	-0.014911
TC211_P0_WES	6	61574335	170584276	1875493	4.41E-07
TC211_P0_WES	7	256004	57201202	1161127	0.515102
TC211_P0_WES	7	63292701	159032034	2460096	0.533838
TC211_P0_WES	8	213553	6988215	84871	-0.115611
TC211_P0_WES	8	6988263	7748930	16386	-0.113286
TC211_P0_WES	8	7749076	43297019	802024	-0.0309338
TC211_P0_WES	8	49075351	145052811	1556355	-0.0451423
TC211_P0_WES	9	16912	34723747	531833	-0.0482569
TC211_P0_WES	9	34723938	34834497	4251	-0.174604
TC211_P0_WES	9	34835864	38615701	207642	-0.0612173
TC211_P0_WES	9	39100092	42856422	6685	-0.0958985
TC211_P0_WES	9	61081995	62861726	3805	-0.203855
TC211_P0_WES	9	64833616	104123335	721399	-0.0074522
TC211_P0_WES	9	104131930	104605423	8322	-0.0878009
TC211_P0_WES	9	104617614	137099650	1402476	-0.01835
TC211_P0_WES	9	137102167	137106154	1684	0.115925
TC211_P0_WES	9	137107768	138046873	103667	-0.0984438
TC211_P0_WES	9	138052257	138177194	9793	-0.161208
TC211_P0_WES	10	47663	18675168	368946	-0.0389524
TC211_P0_WES	10	19257867	20147997	10326	-0.0609694
TC211_P0_WES	10	20211781	38356496	307340	-0.00371251
TC211_P0_WES	10	42185416	133559366	2296074	-0.0295461
TC211_P0_WES	10	133559931	133741283	1671	0.0891479
TC211_P0_WES	11	206089	50422246	1522649	0.482279
TC211_P0_WES	11	54591781	134381883	2785692	0.507781
TC211_P0_WES	12	17870	163388	4955	0.28749
TC211_P0_WES	12	165481	33385244	999808	0.518407
TC211_P0_WES	12	38839969	133231689	3060424	0.520972
TC211_P0_WES	13	18468187	20034212	24780	0.00100606
TC211_P0_WES	13	20188817	110457068	1190759	-0.00133199
TC211_P0_WES	13	110457229	110480473	4391	-0.0980351
TC211_P0_WES	13	110482511	113839885	119965	-0.127055
TC211_P0_WES	13	113839969	114007473	5051	-0.216134
TC211_P0_WES	13	114007478	114325506	14732	-0.281029
TC211_P0_WES	14	18601918	19827675	14640	-0.128179
TC211_P0_WES	14	19827845	105151130	2308943	-0.0260519
TC211_P0_WES	14	105248990	106802973	78130	-0.165613
TC211_P0_WES	15	19964897	22160485	24933	-0.0406943
TC211_P0_WES	15	22572924	23364563	37213	-0.0655923
TC211_P0_WES	15	23364574	23644726	6841	-0.0953179
TC211_P0_WES	15	25185636	28351889	64623	-0.0946113
TC211_P0_WES	15	28382959	28679515	12217	-0.15408
TC211_P0_WES	15	29098655	30093429	23804	-0.0508924
TC211_P0_WES	15	30144704	30562214	12798	-0.0109291
TC211_P0_WES	15	30604081	32392871	42752	-0.0834923
TC211_P0_WES	15	32445393	32600282	7872	0.0759901
