ID	chromosome	start	end	N	log2.ratio
G1_PTPN_WES	1	826940	1703066	152928	0.172566
G1_PTPN_WES	1	1703565	16451770	780515	-0.114156
G1_PTPN_WES	1	16620040	16936795	17620	-0.02114
G1_PTPN_WES	1	16938425	121387910	3778899	-0.0586151
G1_PTPN_WES	1	143544364	248918526	4057022	-0.0160368
G1_PTPN_WES	2	45521	91747915	2375793	-0.0436135
G1_PTPN_WES	2	95594867	98179329	173601	-0.0216048
G1_PTPN_WES	2	98655594	241898952	4092302	0.0431337
G1_PTPN_WES	3	319825	69109080	2433222	-0.0191946
G1_PTPN_WES	3	69311565	86978838	103204	0.0748539
G1_PTPN_WES	3	94506723	195686005	2559209	0.0228867
G1_PTPN_WES	3	195688599	197990418	142310	-0.248661
G1_PTPN_WES	4	60442	48634578	1076407	0.0169999
G1_PTPN_WES	4	52885765	190026883	2482156	0.0502324
G1_PTPN_WES	5	163090	45696016	805779	0.0370408
G1_PTPN_WES	5	51387821	181243470	3233403	-4.07E-09
G1_PTPN_WES	6	203878	32519397	1143236	-0.0225196
G1_PTPN_WES	6	32519398	33116864	45796	0.132267
G1_PTPN_WES	6	33116921	57382049	1127015	0.00519105
G1_PTPN_WES	6	61681011	170561964	2271704	0.0347121
G1_PTPN_WES	7	228780	4861707	208253	0.30538
G1_PTPN_WES	7	4920158	6822249	145963	-0.104835
G1_PTPN_WES	7	6823158	55492514	1053431	0.421523
G1_PTPN_WES	7	55562030	57180002	37286	-0.145277
G1_PTPN_WES	7	63449933	77121935	319480	-0.0559344
G1_PTPN_WES	7	77122226	100593069	730325	0.361959
G1_PTPN_WES	7	100643337	100881764	52457	0.0109035
G1_PTPN_WES	7	100951719	100963414	4158	0.283471
G1_PTPN_WES	7	100963420	142751136	1265395	0.312573
G1_PTPN_WES	7	142753014	159138084	578868	0.380281
G1_PTPN_WES	8	232934	42548897	1112150	0.316602
G1_PTPN_WES	8	47202412	145003654	2010821	0.395228
G1_PTPN_WES	9	214706	41183604	872736	-0.000977229
G1_PTPN_WES	9	62801131	63832318	3261	-0.00348156
G1_PTPN_WES	9	68824433	138175541	2642850	-0.0333786
G1_PTPN_WES	10	49156	38356415	857412	-0.0736414
G1_PTPN_WES	10	42636796	133659554	2725606	-0.0277932
G1_PTPN_WES	11	193863	50287785	1787880	0.0194493
G1_PTPN_WES	11	54603023	134381883	3289864	0.000582767
G1_PTPN_WES	12	125842	10973766	692179	-0.0228224
G1_PTPN_WES	12	11021662	11393752	14794	0.0055528
G1_PTPN_WES	12	11394559	33406731	562570	0.0266631
G1_PTPN_WES	12	38670579	133204577	3712124	-0.0726719
G1_PTPN_WES	13	19177404	114282225	1628362	0.051475
G1_PTPN_WES	14	19097492	93643576	2335646	-0.0611562
G1_PTPN_WES	14	93686422	106592935	609105	0.0427939
G1_PTPN_WES	15	19964897	23686360	64550	-0.232413
G1_PTPN_WES	15	23687320	101744292	3086268	-0.0524869
G1_PTPN_WES	16	31639	3090615	511197	0.130174
G1_PTPN_WES	16	3092462	35022665	1343536	-0.218436
G1_PTPN_WES	16	46608374	90094749	1716124	-0.112174
G1_PTPN_WES	17	214033	20205876	1415819	-0.110609
G1_PTPN_WES	17	20357788	21416677	33639	-0.0524188
G1_PTPN_WES	17	27590784	83094678	3453833	-0.124201
G1_PTPN_WES	18	117394	15005786	373333	-0.0429281
G1_PTPN_WES	18	21403805	80169229	1014143	0.033493
G1_PTPN_WES	19	282753	2341061	291670	-0.00501511
G1_PTPN_WES	19	2341579	22601533	1954574	-0.322612
G1_PTPN_WES	19	29076139	58563286	2710059	-0.248757
G1_PTPN_WES	20	157484	26081320	678404	0.00463721
G1_PTPN_WES	20	30391040	64273189	1487739	-0.0844926
G1_PTPN_WES	21	9068759	10602146	9936	0.0370123
G1_PTPN_WES	21	10602166	10718715	2183	-0.139124
G1_PTPN_WES	21	13387882	46643564	905067	-0.00978362
G1_PTPN_WES	22	16579817	23960415	423714	-0.0755934
G1_PTPN_WES	22	23964350	24003916	6821	0.110672
G1_PTPN_WES	22	24056422	50778014	1438790	-0.125385
G1_P0PN_WES	1	826940	1401954	108004	0.328232
G1_P0PN_WES	1	1407232	121387910	4665811	-0.0359755
G1_P0PN_WES	1	143544364	248918526	4095035	0.00340758
G1_P0PN_WES	2	45521	91747915	2398893	-0.0337141
G1_P0PN_WES	2	95150314	97167456	158185	0.0322621
G1_P0PN_WES	2	97167605	242094758	4196165	0.0137124
G1_P0PN_WES	3	319825	10028652	228186	0.0598511
G1_P0PN_WES	3	10046615	10048202	500	-0.464318
G1_P0PN_WES	3	10094419	74364525	2272899	0.00438296
G1_P0PN_WES	3	74369938	86978838	53848	0.0252517
G1_P0PN_WES	3	94506723	121620673	604809	0.0451987
G1_P0PN_WES	3	121621689	190623553	1943518	0.526052
G1_P0PN_WES	3	190858913	197990418	255562	-0.0962883
G1_P0PN_WES	4	60442	48634578	1079912	-0.0142937
G1_P0PN_WES	4	52885765	190026883	2509208	0.0284345
G1_P0PN_WES	5	163090	45696016	810517	-0.0174951
G1_P0PN_WES	5	51387821	181243470	3261964	-0.000390384
G1_P0PN_WES	6	203878	32460012	1154586	0.0482105
G1_P0PN_WES	6	32519260	33086400	45101	0.19531
G1_P0PN_WES	6	33086802	57382049	1136351	0.0278883
G1_P0PN_WES	6	61681011	170561964	2293705	0.0121391
G1_P0PN_WES	7	228780	2652102	148758	0.545796
G1_P0PN_WES	7	2655983	6823909	214547	0.227772
G1_P0PN_WES	7	7375586	57180002	1112364	0.57307
G1_P0PN_WES	7	63449933	64261042	7793	0.130644
G1_P0PN_WES	7	64336366	67183043	67414	0.328851
G1_P0PN_WES	7	67183170	72834018	31649	0.266334
G1_P0PN_WES	7	72942904	73298121	13160	0.285703
G1_P0PN_WES	7	73304281	75148740	120835	0.265563
G1_P0PN_WES	7	75187908	75426451	9569	0.333856
G1_P0PN_WES	7	75515678	76433453	48286	0.215169
G1_P0PN_WES	7	76440164	77122226	16944	0.367807
G1_P0PN_WES	7	77122341	99411535	583891	0.568592
G1_P0PN_WES	7	99420037	99983284	68518	0.493335
G1_P0PN_WES	7	99992220	100881764	162679	0.526684
G1_P0PN_WES	7	100951719	100959193	1802	0.327864
G1_P0PN_WES	7	100959332	100963420	2240	0.520247
G1_P0PN_WES	7	100972852	102496129	102029	0.277126
G1_P0PN_WES	7	102500693	102777306	12136	0.18256
G1_P0PN_WES	7	102808217	142749349	1179818	0.509078
G1_P0PN_WES	7	142749351	142752812	2133	0.815258
G1_P0PN_WES	7	142753014	143820836	82074	0.661452
G1_P0PN_WES	7	143857358	152169012	335212	0.577594
G1_P0PN_WES	7	152248016	152816684	12329	0.452449
G1_P0PN_WES	7	152823303	159138084	145103	0.516999
G1_P0PN_WES	8	232934	42548897	1142466	0.529326
G1_P0PN_WES	8	47202412	143694543	1839555	0.575231
G1_P0PN_WES	8	143721615	145003654	221803	0.900763
G1_P0PN_WES	9	214706	41183604	879304	0.0119136
G1_P0PN_WES	9	62801131	63832318	3220	-0.0917166
G1_P0PN_WES	9	68822496	138175541	2656671	-0.0332071
G1_P0PN_WES	10	49156	38356415	866840	-0.0794681
G1_P0PN_WES	10	42636796	133659554	2742717	-0.0341097
G1_P0PN_WES	11	193863	50287785	1799033	0.013248
G1_P0PN_WES	11	54603023	134381883	3315102	0.0347454
G1_P0PN_WES	12	125842	9298801	594315	-0.00604887
G1_P0PN_WES	12	9298877	11353851	118976	0.00195169
G1_P0PN_WES	12	11393752	33406731	570655	0.0335406
G1_P0PN_WES	12	38693807	133204577	3746402	-0.0503553
