ID	chromosome	start	end	N	log2.ratio
J000094290_J000095941_P0_005P0_AffySNP	1	61736	5625890	2655	0.655327
J000094290_J000095941_P0_005P0_AffySNP	1	5625959	7408301	1096	0.636961
J000094290_J000095941_P0_005P0_AffySNP	1	7408776	34795631	16176	0.545869
J000094290_J000095941_P0_005P0_AffySNP	1	34795804	36819522	980	0.474658
J000094290_J000095941_P0_005P0_AffySNP	1	36820600	37229800	308	0.448773
J000094290_J000095941_P0_005P0_AffySNP	1	37233500	37294100	47	0.553119
J000094290_J000095941_P0_005P0_AffySNP	1	37294800	37412000	84	0.590375
J000094290_J000095941_P0_005P0_AffySNP	1	37414000	42148100	2803	0.491898
J000094290_J000095941_P0_005P0_AffySNP	1	42152000	42688821	297	0.454261
J000094290_J000095941_P0_005P0_AffySNP	1	42689200	42841600	75	0.696608
J000094290_J000095941_P0_005P0_AffySNP	1	42841961	44036978	752	0.530645
J000094290_J000095941_P0_005P0_AffySNP	1	44037237	44643900	375	0.493218
J000094290_J000095941_P0_005P0_AffySNP	1	44644100	78482400	22560	0.466707
J000094290_J000095941_P0_005P0_AffySNP	1	78483500	78539400	41	0.387048
J000094290_J000095941_P0_005P0_AffySNP	1	78547360	79847745	849	-1.42772
J000094290_J000095941_P0_005P0_AffySNP	1	79851802	79924800	38	-0.641208
J000094290_J000095941_P0_005P0_AffySNP	1	79929100	103013000	15399	-1.37478
J000094290_J000095941_P0_005P0_AffySNP	1	103015000	111417361	5376	-1.35838
J000094290_J000095941_P0_005P0_AffySNP	1	111419000	111806974	278	-1.61857
J000094290_J000095941_P0_005P0_AffySNP	1	111807035	121741000	5714	-1.28176
J000094290_J000095941_P0_005P0_AffySNP	1	143285000	157090101	5499	0.551649
J000094290_J000095941_P0_005P0_AffySNP	1	157091000	169572602	9590	0.420882
J000094290_J000095941_P0_005P0_AffySNP	1	169572897	173350000	2618	0.440659
J000094290_J000095941_P0_005P0_AffySNP	1	173350155	173540226	135	0.178604
J000094290_J000095941_P0_005P0_AffySNP	1	173540447	177979558	2812	0.404702
J000094290_J000095941_P0_005P0_AffySNP	1	177979579	177997000	10	-0.156463
J000094290_J000095941_P0_005P0_AffySNP	1	177999062	187932103	6834	0.362913
J000094290_J000095941_P0_005P0_AffySNP	1	187932173	189812000	1249	0.352042
J000094290_J000095941_P0_005P0_AffySNP	1	189812376	207932000	12176	0.34878
J000094290_J000095941_P0_005P0_AffySNP	1	207935000	208004180	55	-2.57112
J000094290_J000095941_P0_005P0_AffySNP	1	208004873	209188000	1034	0.389601
J000094290_J000095941_P0_005P0_AffySNP	1	209188755	210696778	1239	0.379897
J000094290_J000095941_P0_005P0_AffySNP	1	210697999	214788200	2790	0.325934
J000094290_J000095941_P0_005P0_AffySNP	1	214789000	214799719	13	1.05315
J000094290_J000095941_P0_005P0_AffySNP	1	214800000	215809270	655	0.425371
J000094290_J000095941_P0_005P0_AffySNP	1	215810060	215980728	161	-1.81127
J000094290_J000095941_P0_005P0_AffySNP	1	215981000	216177000	143	-2.22581
J000094290_J000095941_P0_005P0_AffySNP	1	216177900	216523424	227	0.347524
J000094290_J000095941_P0_005P0_AffySNP	1	216527447	219495884	2271	0.428329
J000094290_J000095941_P0_005P0_AffySNP	1	219496994	220842716	920	0.382107
J000094290_J000095941_P0_005P0_AffySNP	1	220842935	221511000	458	0.345557
J000094290_J000095941_P0_005P0_AffySNP	1	221514000	221939838	399	0.20287
J000094290_J000095941_P0_005P0_AffySNP	1	221939952	235768000	9415	0.367159
