ID	chromosome	start	end	N	log2.ratio
128128--338-R--L42_P0_WES	1	65797	121374827	1575528	0.0102767
128128--338-R--L42_P0_WES	1	143904628	248650825	1738811	0.173128
128128--338-R--L42_P0_WES	2	273070	90221156	936862	0.0514576
128128--338-R--L42_P0_WES	2	95158879	241754984	1745107	4.60E-07
128128--338-R--L42_P0_WES	3	326074	88135033	1056280	0.132223
128128--338-R--L42_P0_WES	3	93874275	197870173	1292090	0.236226
128128--338-R--L42_P0_WES	4	60478	48571021	375421	-0.0134262
128128--338-R--L42_P0_WES	4	52029884	189957587	1165695	0.0372355
128128--338-R--L42_P0_WES	5	161693	43609241	315055	0.0194474
128128--338-R--L42_P0_WES	5	50822416	109044718	496448	0.0632407
128128--338-R--L42_P0_WES	5	109381627	181199927	570952	-0.317314
128128--338-R--L42_P0_WES	6	312023	57190556	910228	0.0647326
128128--338-R--L42_P0_WES	6	61681011	170549140	696304	-0.326682
128128--338-R--L42_P0_WES	7	584707	57165847	635900	0.353174
128128--338-R--L42_P0_WES	7	63621216	100886760	522217	0.387574
128128--338-R--L42_P0_WES	7	100951943	100960229	2101	-0.946704
128128--338-R--L42_P0_WES	7	100960242	101041312	12231	-1.244
128128--338-R--L42_P0_WES	7	101133650	158918748	853856	0.386169
128128--338-R--L42_P0_WES	8	330241	42048350	354117	-0.0434174
128128--338-R--L42_P0_WES	8	47939665	144889982	731349	0.0115361
128128--338-R--L42_P0_WES	9	417990	41183587	271240	-0.236214
128128--338-R--L42_P0_WES	9	62801770	138175895	846472	-0.0510034
128128--338-R--L42_P0_WES	10	239260	38383216	346802	-0.041402
128128--338-R--L42_P0_WES	10	42410062	133625473	974061	-0.0429549
128128--338-R--L42_P0_WES	11	194441	48167356	585579	-0.0729658
128128--338-R--L42_P0_WES	11	55343294	134307311	1024856	-0.11494
128128--338-R--L42_P0_WES	12	242545	32792787	496080	-0.00254496
128128--338-R--L42_P0_WES	12	38321198	133204577	1558236	0.158582
128128--338-R--L42_P0_WES	13	19178485	114299067	720440	0.0238817
128128--338-R--L42_P0_WES	14	19733402	106622776	1084457	-0.0358358
128128--338-R--L42_P0_WES	15	19964897	101771892	1139506	-0.0204464
128128--338-R--L42_P0_WES	16	47610	34163122	430794	-0.161913
128128--338-R--L42_P0_WES	16	46663186	89984472	485538	-0.0964723
128128--338-R--L42_P0_WES	17	553224	22204097	399363	-0.168081
128128--338-R--L42_P0_WES	17	27647519	83085163	1007777	-0.07753
128128--338-R--L42_P0_WES	18	120645	14851757	153974	0.0315407
128128--338-R--L42_P0_WES	18	20954741	80168979	419208	-0.0423439
128128--338-R--L42_P0_WES	19	107175	23654343	502564	-0.17485
128128--338-R--L42_P0_WES	19	32773442	52583345	505090	-0.138407
128128--338-R--L42_P0_WES	19	52597332	52842194	7615	-0.806682
128128--338-R--L42_P0_WES	19	52866760	58294717	187759	-0.321549
128128--338-R--L42_P0_WES	20	96372	26113921	219116	-0.0437188
128128--338-R--L42_P0_WES	20	30391112	64272197	394855	-0.0432153
128128--338-R--L42_P0_WES	21	10454230	10649858	6457	-0.916733
128128--338-R--L42_P0_WES	21	14152522	46416489	276837	-0.0223591
128128--338-R--L42_P0_WES	22	16574568	50780578	453461	-0.078428
128128--338-R--L43_P0_WES	1	65649	119920421	1804484	0.0157722
