ID	chromosome	start	end	N	log2.ratio
WHIM33_PT_WES	1	69511	10451487	495583	0.124245
WHIM33_PT_WES	1	10469137	12893249	160170	-0.26658
WHIM33_PT_WES	1	12893272	13318452	13862	-0.387774
WHIM33_PT_WES	1	13319278	30874552	772359	-0.19387
WHIM33_PT_WES	1	31260045	57010703	1098656	0.232081
WHIM33_PT_WES	1	58576509	103618081	660435	-0.181664
WHIM33_PT_WES	1	103619653	120838187	478117	0.208669
WHIM33_PT_WES	1	143729631	153543882	410523	0.864677
WHIM33_PT_WES	1	153544906	197061891	1477378	1.15103
WHIM33_PT_WES	1	197086795	204985865	325515	0.418842
WHIM33_PT_WES	1	205061522	224330205	458561	0.181289
WHIM33_PT_WES	1	224376539	237610751	463792	0.808873
WHIM33_PT_WES	1	237638470	248856006	217380	0.503821
WHIM33_PT_WES	2	43210	91443665	1756178	0.285755
WHIM33_PT_WES	2	94871500	98544047	202538	-0.121926
WHIM33_PT_WES	2	98555781	154409111	883318	-0.240767
WHIM33_PT_WES	2	156332499	197805147	954378	0.253829
WHIM33_PT_WES	2	198085305	222201518	619486	-0.213958
WHIM33_PT_WES	2	222220114	241899248	588130	0.215305
WHIM33_PT_WES	3	326074	15642207	364676	0.234378
WHIM33_PT_WES	3	15679467	74302712	1537777	-0.175855
WHIM33_PT_WES	3	75664574	89472543	54028	0.367168
WHIM33_PT_WES	3	97483871	119226949	344823	0.492726
WHIM33_PT_WES	3	119295081	126504159	279924	0.173332
WHIM33_PT_WES	3	126510630	185511676	1121276	0.653427
WHIM33_PT_WES	3	185935159	195568937	174423	1.01095
WHIM33_PT_WES	3	195722818	195788371	23153	0.960967
WHIM33_PT_WES	3	195788424	198155635	103755	1.02346
WHIM33_PT_WES	4	53552	39115291	598266	-0.843439
WHIM33_PT_WES	4	39115483	48988665	165935	-0.225712
WHIM33_PT_WES	4	51995997	127801887	1081814	-0.208487
WHIM33_PT_WES	4	127886064	190026653	650192	0.10162
WHIM33_PT_WES	5	163509	26988317	285961	0.336231
WHIM33_PT_WES	5	31317387	44809060	286613	-0.140025
WHIM33_PT_WES	5	50402346	138440928	1186321	-0.240935
WHIM33_PT_WES	5	138444730	144159052	336211	0.249573
WHIM33_PT_WES	5	144159254	181368247	826264	-0.204649
WHIM33_PT_WES	6	348051	3285176	53710	-0.763736
WHIM33_PT_WES	6	3410142	13793834	172476	1.04643
WHIM33_PT_WES	6	13806962	32522018	327312	0.210164
WHIM33_PT_WES	6	32522079	32580743	303	0.020469
WHIM33_PT_WES	6	32584214	35835506	234393	0.227326
WHIM33_PT_WES	6	35975535	57190556	707613	0.473497
WHIM33_PT_WES	6	60400243	79631562	197739	0.219064
WHIM33_PT_WES	6	79870220	170584276	1361345	-0.218301
WHIM33_PT_WES	7	246436	4861754	165923	0.516342
WHIM33_PT_WES	7	5057327	57469898	848079	0.222376
WHIM33_PT_WES	7	63632546	96709749	582851	0.483446
WHIM33_PT_WES	7	97859257	117548682	650894	0.13853
WHIM33_PT_WES	7	117642569	142103290	527302	0.487185
WHIM33_PT_WES	7	142751722	148792678	118176	0.49624
WHIM33_PT_WES	7	148799283	152220796	239380	1.02045
WHIM33_PT_WES	7	152229936	152273846	3718	0.772249
WHIM33_PT_WES	7	152435727	159109876	93022	1.0332
WHIM33_PT_WES	8	245254	38400242	681699	-0.275524
WHIM33_PT_WES	8	38787396	43317425	129246	0.811065
WHIM33_PT_WES	8	47261015	52940047	77561	0.824088
WHIM33_PT_WES	8	53229264	56072854	42820	-0.0679574
WHIM33_PT_WES	8	56074178	98948048	486068	0.34962
WHIM33_PT_WES	8	99096234	145053276	874922	1.20281
WHIM33_PT_WES	9	14710	29717	2827	0.480795
WHIM33_PT_WES	9	116800	1057318	32559	-1.92475
WHIM33_PT_WES	9	2029018	14313713	150646	0.746799
WHIM33_PT_WES	9	14722153	38573144	464482	-0.198012
WHIM33_PT_WES	9	39078751	42185144	20784	-0.25466
WHIM33_PT_WES	9	60915842	68392523	50989	-0.407845
WHIM33_PT_WES	9	68940606	138219529	2039332	-0.181265
WHIM33_PT_WES	10	47663	1363121	35523	-0.352549
WHIM33_PT_WES	10	1674958	13616335	185048	0.461919
WHIM33_PT_WES	10	13616629	38117233	397936	-4.59E-09
WHIM33_PT_WES	10	42594517	76036237	657984	-0.874391
WHIM33_PT_WES	10	76047269	125840796	1216929	-0.186456
WHIM33_PT_WES	10	125994514	133626829	172143	-0.15393
WHIM33_PT_WES	11	194441	1016067	131670	-0.206917
WHIM33_PT_WES	11	1016614	1018496	1825	-0.221104
