ID	chromosome	start	end	N	log2.ratio
J000097253_J000100910_P0_002P0_AffySNP	1	61736	14981400	8126	0.00993639
J000097253_J000100910_P0_002P0_AffySNP	1	14982302	15720100	510	0.0576344
J000097253_J000100910_P0_002P0_AffySNP	1	15721543	20560500	3227	-0.638282
J000097253_J000100910_P0_002P0_AffySNP	1	20561400	60028435	23701	0.0323802
J000097253_J000100910_P0_002P0_AffySNP	1	60029232	65280048	3946	0.155786
J000097253_J000100910_P0_002P0_AffySNP	1	65280236	67029900	1311	0.00792586
J000097253_J000100910_P0_002P0_AffySNP	1	67030045	70729855	2429	0.131643
J000097253_J000100910_P0_002P0_AffySNP	1	70739700	70807800	44	-1.89466
J000097253_J000100910_P0_002P0_AffySNP	1	70807834	70843439	24	-0.64108
J000097253_J000100910_P0_002P0_AffySNP	1	70843700	101912854	20491	0.0813859
J000097253_J000100910_P0_002P0_AffySNP	1	101914164	103581000	948	0.0506965
J000097253_J000100910_P0_002P0_AffySNP	1	103581040	111124496	4842	0.066898
J000097253_J000100910_P0_002P0_AffySNP	1	111125000	111250273	117	-0.265873
J000097253_J000100910_P0_002P0_AffySNP	1	111252111	113291693	1589	0.0345459
J000097253_J000100910_P0_002P0_AffySNP	1	113291806	121741000	4598	0.0871495
J000097253_J000100910_P0_002P0_AffySNP	1	147027739	177474595	19769	0.0211375
J000097253_J000100910_P0_002P0_AffySNP	1	177475165	183340683	4154	0.0338313
J000097253_J000100910_P0_002P0_AffySNP	1	183341846	214536000	21430	0.0467609
J000097253_J000100910_P0_002P0_AffySNP	1	214537498	214590000	52	0.420647
J000097253_J000100910_P0_002P0_AffySNP	1	214590000	215943923	913	0.10725
J000097253_J000100910_P0_002P0_AffySNP	1	215944104	233630518	12340	0.0501712
J000097253_J000100910_P0_002P0_AffySNP	1	233631000	234335550	620	-0.0964006
J000097253_J000100910_P0_002P0_AffySNP	1	234335638	248930000	10717	0.0265436
J000097253_J000100910_P0_002P0_AffySNP	2	12784	3767660	2779	-0.205922
J000097253_J000100910_P0_002P0_AffySNP	2	3768177	7962160	3705	-0.165131
J000097253_J000100910_P0_002P0_AffySNP	2	7963956	34793100	18530	-0.113529
J000097253_J000100910_P0_002P0_AffySNP	2	34794620	36263898	1123	-0.191552
J000097253_J000100910_P0_002P0_AffySNP	2	36265900	40952310	3562	-0.0525203
J000097253_J000100910_P0_002P0_AffySNP	2	40952661	99558073	34234	0.469957
J000097253_J000100910_P0_002P0_AffySNP	2	99558258	101933000	1587	0.165747
J000097253_J000100910_P0_002P0_AffySNP	2	101934000	115859000	8428	0.0947155
J000097253_J000100910_P0_002P0_AffySNP	2	115859849	122169000	4000	0.0160703
J000097253_J000100910_P0_002P0_AffySNP	2	122170000	123333000	898	0.131941
J000097253_J000100910_P0_002P0_AffySNP	2	123333131	124667000	920	0.0156765
J000097253_J000100910_P0_002P0_AffySNP	2	124667303	132860227	4753	0.047945
J000097253_J000100910_P0_002P0_AffySNP	2	132860759	133540000	512	-0.406937
J000097253_J000100910_P0_002P0_AffySNP	2	133541000	137193000	2479	0.0586334
J000097253_J000100910_P0_002P0_AffySNP	2	137193000	137343579	120	-0.494746
J000097253_J000100910_P0_002P0_AffySNP	2	137344815	146104517	5512	0.114791
J000097253_J000100910_P0_002P0_AffySNP	2	146107000	146109000	24	-8.30962
J000097253_J000100910_P0_002P0_AffySNP	2	146120238	166312000	12263	0.136987
J000097253_J000100910_P0_002P0_AffySNP	2	166314000	187264000	13458	0.0736715
J000097253_J000100910_P0_002P0_AffySNP	2	187265000	187335529	39	-0.626824
J000097253_J000100910_P0_002P0_AffySNP	2	187336000	191823000	2700	0.120719
J000097253_J000100910_P0_002P0_AffySNP	2	191823359	205871264	8300	0.0315669
J000097253_J000100910_P0_002P0_AffySNP	2	205871798	207285240	887	0.0594729
J000097253_J000100910_P0_002P0_AffySNP	2	207285775	208131490	509	0.149645
J000097253_J000100910_P0_002P0_AffySNP	2	208131539	212731000	3038	0.0543269
J000097253_J000100910_P0_002P0_AffySNP	2	212732135	214527778	1107	-0.089067
J000097253_J000100910_P0_002P0_AffySNP	2	214529692	221870000	4929	-0.0104746
J000097253_J000100910_P0_002P0_AffySNP	2	221872176	222108024	175	0.155772
J000097253_J000100910_P0_002P0_AffySNP	2	222113570	222977000	554	0.128695
J000097253_J000100910_P0_002P0_AffySNP	2	222979000	223176211	170	0.0108174
J000097253_J000100910_P0_002P0_AffySNP	2	223177406	242147000	12307	-0.0255349
J000097253_J000100910_P0_002P0_AffySNP	3	18668	4449950	4138	-0.321326
J000097253_J000100910_P0_002P0_AffySNP	3	4452970	4518579	59	-0.334429
J000097253_J000100910_P0_002P0_AffySNP	3	4519965	4833826	317	-0.912772
J000097253_J000100910_P0_002P0_AffySNP	3	4835515	5101590	198	-0.275409
J000097253_J000100910_P0_002P0_AffySNP	3	5108500	28529800	17176	-0.303217
J000097253_J000100910_P0_002P0_AffySNP	3	28536800	60724012	20650	0.174555
J000097253_J000100910_P0_002P0_AffySNP	3	60725900	69571700	7239	0.215563
J000097253_J000100910_P0_002P0_AffySNP	3	69574300	70020756	425	0.459617
J000097253_J000100910_P0_002P0_AffySNP	3	70024492	77976400	5366	0.230673
J000097253_J000100910_P0_002P0_AffySNP	3	77980000	104629865	12948	0.26188
J000097253_J000100910_P0_002P0_AffySNP	3	104630000	145689195	25985	-0.51811
J000097253_J000100910_P0_002P0_AffySNP	3	145693873	168960000	14305	-0.468525
J000097253_J000100910_P0_002P0_AffySNP	3	168968099	169060409	72	-1.00966
J000097253_J000100910_P0_002P0_AffySNP	3	169061543	191074269	14554	-0.493051
J000097253_J000100910_P0_002P0_AffySNP	3	191074773	198169000	4314	-0.554123
J000097253_J000100910_P0_002P0_AffySNP	4	12282	13778124	9003	-0.769903
J000097253_J000100910_P0_002P0_AffySNP	4	13778424	20946874	5155	-0.687244
J000097253_J000100910_P0_002P0_AffySNP	4	20947568	21337765	322	-0.847661
J000097253_J000100910_P0_002P0_AffySNP	4	21337798	24727152	2469	-0.705548
J000097253_J000100910_P0_002P0_AffySNP	4	24728496	24791000	51	-0.297211
J000097253_J000100910_P0_002P0_AffySNP	4	24792200	25044273	220	0.192298
J000097253_J000100910_P0_002P0_AffySNP	4	25044619	25548200	362	-0.0553373
J000097253_J000100910_P0_002P0_AffySNP	4	25548500	28472500	1950	0.0985229
J000097253_J000100910_P0_002P0_AffySNP	4	28473100	30869700	1602	0.120349
J000097253_J000100910_P0_002P0_AffySNP	4	30871542	32300900	933	0.207927
J000097253_J000100910_P0_002P0_AffySNP	4	32301000	37218500	3119	-0.0101871
J000097253_J000100910_P0_002P0_AffySNP	4	37222000	42267557	3379	0.0817514
J000097253_J000100910_P0_002P0_AffySNP	4	42268143	44920200	1679	-0.0595239
J000097253_J000100910_P0_002P0_AffySNP	4	44920600	49656600	2485	0.0532243
J000097253_J000100910_P0_002P0_AffySNP	4	51819500	52800200	528	-0.73441
J000097253_J000100910_P0_002P0_AffySNP	4	52807800	53895915	776	0.105582
J000097253_J000100910_P0_002P0_AffySNP	4	53897400	77269176	14961	-0.679632
J000097253_J000100910_P0_002P0_AffySNP	4	77269866	86842400	6073	-0.778874
J000097253_J000100910_P0_002P0_AffySNP	4	86843300	134809000	29054	-0.687569
J000097253_J000100910_P0_002P0_AffySNP	4	134811000	144202300	6085	0.119106
J000097253_J000100910_P0_002P0_AffySNP	4	144202456	164729000	12934	0.0248733
J000097253_J000100910_P0_002P0_AffySNP	4	164729000	190107000	17194	0.0352281
J000097253_J000100910_P0_002P0_AffySNP	5	15532	3219580	2323	-0.115579
J000097253_J000100910_P0_002P0_AffySNP	5	3220235	9561760	5678	-0.0206022
J000097253_J000100910_P0_002P0_AffySNP	5	9562557	14857000	4044	-0.0594108
J000097253_J000100910_P0_002P0_AffySNP	5	14859900	17712600	1830	0.155015
J000097253_J000100910_P0_002P0_AffySNP	5	17717000	21908297	2628	0.0138661
J000097253_J000100910_P0_002P0_AffySNP	5	21908902	46097545	15007	0.0529242
J000097253_J000100910_P0_002P0_AffySNP	5	46097651	62020800	8005	0.56762
J000097253_J000100910_P0_002P0_AffySNP	5	62022575	85107017	13645	0.449374
J000097253_J000100910_P0_002P0_AffySNP	5	85107134	85347300	146	0.309291
J000097253_J000100910_P0_002P0_AffySNP	5	85347800	109704072	14250	0.502307
J000097253_J000100910_P0_002P0_AffySNP	5	109705000	116420506	4988	0.453129
J000097253_J000100910_P0_002P0_AffySNP	5	116420700	116481127	58	0.861177
J000097253_J000100910_P0_002P0_AffySNP	5	116481211	127263384	7345	0.479451
J000097253_J000100910_P0_002P0_AffySNP	5	127264000	145860000	11279	0.395381
J000097253_J000100910_P0_002P0_AffySNP	5	145862000	146914000	741	0.508967
J000097253_J000100910_P0_002P0_AffySNP	5	146916000	154347322	5266	0.404614
J000097253_J000100910_P0_002P0_AffySNP	5	154348377	172646000	13036	0.429263
J000097253_J000100910_P0_002P0_AffySNP	5	172654000	178777289	3859	0.342511
