ID	chromosome	start	end	N	log2.ratio
JAX_TM01594_PTPN_WES	1	930204	965350	13110	0.0129178
JAX_TM01594_PTPN_WES	1	966426	9724365	454723	0.0314295
JAX_TM01594_PTPN_WES	1	9733910	11533736	117799	0.0155375
JAX_TM01594_PTPN_WES	1	11648679	15746910	178082	0.0099975
JAX_TM01594_PTPN_WES	1	15747029	16046629	32889	0.00861567
JAX_TM01594_PTPN_WES	1	16046787	16699509	37283	0.0469644
JAX_TM01594_PTPN_WES	1	16707790	16946998	5020	0.117037
JAX_TM01594_PTPN_WES	1	16950990	32669173	866634	0.0186059
JAX_TM01594_PTPN_WES	1	32765779	33165468	29117	0.0287788
JAX_TM01594_PTPN_WES	1	33181349	68431318	1339786	0.00425311
JAX_TM01594_PTPN_WES	1	68438259	74200823	57297	-0.0453726
JAX_TM01594_PTPN_WES	1	74204488	76412471	62790	-0.0302232
JAX_TM01594_PTPN_WES	1	76868607	77966819	38878	-0.0186701
JAX_TM01594_PTPN_WES	1	78012991	116494556	926782	-0.0206224
JAX_TM01594_PTPN_WES	1	116694348	121568263	111118	-0.0279883
JAX_TM01594_PTPN_WES	1	144955398	248914573	3687042	0.716295
JAX_TM01594_PTPN_WES	2	273070	88734821	2140548	-0.0020984
JAX_TM01594_PTPN_WES	2	94871500	241898952	3848002	-0.00793012
JAX_TM01594_PTPN_WES	3	319825	75665296	2297823	0.00623836
JAX_TM01594_PTPN_WES	3	75665314	89429006	60679	-0.0519764
JAX_TM01594_PTPN_WES	3	96815030	198035893	2464968	-0.0075652
JAX_TM01594_PTPN_WES	4	67965	48681003	986322	0.00567117
JAX_TM01594_PTPN_WES	4	52079995	189941027	2235397	-0.0209471
JAX_TM01594_PTPN_WES	5	140417	45303570	725122	0.218171
JAX_TM01594_PTPN_WES	5	50403200	181242370	2968001	0.215535
JAX_TM01594_PTPN_WES	6	312023	32581720	997831	-0.00764305
JAX_TM01594_PTPN_WES	6	32581763	32662158	4830	0.00635173
JAX_TM01594_PTPN_WES	6	32741298	57390124	1072261	-0.00201157
JAX_TM01594_PTPN_WES	6	62286015	150069177	1549101	-0.0236008
JAX_TM01594_PTPN_WES	6	150392633	167298071	390693	-0.00302201
JAX_TM01594_PTPN_WES	6	167341173	167382821	1503	-0.105864
JAX_TM01594_PTPN_WES	6	167382831	170569798	82205	-0.0085013
JAX_TM01594_PTPN_WES	7	228659	56811895	1222220	8.67E-09
JAX_TM01594_PTPN_WES	7	64077296	100951681	929179	-0.0135726
JAX_TM01594_PTPN_WES	7	100951719	100972299	3661	0.0573776
JAX_TM01594_PTPN_WES	7	100972334	106272709	206667	0.00705031
JAX_TM01594_PTPN_WES	7	106867688	107563995	22018	-0.779613
JAX_TM01594_PTPN_WES	7	107628946	159144893	1343583	-0.00319561
JAX_TM01594_PTPN_WES	8	244884	43342129	1015749	0.00163827
JAX_TM01594_PTPN_WES	8	46843335	145053585	1798676	-0.00603351
JAX_TM01594_PTPN_WES	9	214706	40929261	778400	-0.268245
JAX_TM01594_PTPN_WES	9	63819388	138122079	2376546	-0.250113
JAX_TM01594_PTPN_WES	10	236995	38851079	760664	-0.00621292
JAX_TM01594_PTPN_WES	10	42470188	133423072	2441874	0.00336447
JAX_TM01594_PTPN_WES	10	133423499	133568423	15014	0.00232565
JAX_TM01594_PTPN_WES	11	193194	1013987	138814	0.0313533
JAX_TM01594_PTPN_WES	11	1016655	1017783	876	0.126677
JAX_TM01594_PTPN_WES	11	1017845	49981558	1486049	0.00392509
JAX_TM01594_PTPN_WES	11	54707366	134382227	2983802	0.00398533
JAX_TM01594_PTPN_WES	12	138734	33439655	1055572	0.213432
JAX_TM01594_PTPN_WES	12	38320095	79872743	1577596	0.215657
JAX_TM01594_PTPN_WES	12	80208221	80669179	38084	0.802979
JAX_TM01594_PTPN_WES	12	81158559	85878600	49651	0.217678
JAX_TM01594_PTPN_WES	12	87980503	121352375	1076165	-0.956851
JAX_TM01594_PTPN_WES	12	121549674	121923506	25748	-1.16603
JAX_TM01594_PTPN_WES	12	121942368	133221063	419936	-0.949034
JAX_TM01594_PTPN_WES	13	19174204	114011100	1462152	-0.00832812
JAX_TM01594_PTPN_WES	14	19733813	106874644	2542174	0.0065751
JAX_TM01594_PTPN_WES	15	20248572	101773666	2666359	0.00754206
JAX_TM01594_PTPN_WES	16	47610	35022642	1590135	0.0192094
JAX_TM01594_PTPN_WES	16	46603715	90075679	1500421	0.0205763
JAX_TM01594_PTPN_WES	17	156162	22524265	1287347	0.0139211
JAX_TM01594_PTPN_WES	17	27301794	83094284	3096101	0.0172592
JAX_TM01594_PTPN_WES	18	166819	14779970	321598	-0.00182917
JAX_TM01594_PTPN_WES	18	21006644	80168979	919787	-0.0134523
JAX_TM01594_PTPN_WES	19	282753	23878973	2073426	0.0210844
JAX_TM01594_PTPN_WES	19	29526763	58548233	2394672	0.00871541
JAX_TM01594_PTPN_WES	20	87623	25498422	612698	0.00636511
JAX_TM01594_PTPN_WES	20	30399240	64273214	1393261	0.0215515
JAX_TM01594_PTPN_WES	21	9070503	10725036	3756	0.0595239
JAX_TM01594_PTPN_WES	21	14144577	46664370	832154	0.0111827
JAX_TM01594_PTPN_WES	22	16591593	50722591	1684364	0.0257938
JAX_J000077712_PTPN_WES	1	942335	121375092	4309459	-0.00120319
JAX_J000077712_PTPN_WES	1	145873965	248918526	3613204	0.00506744
JAX_J000077712_PTPN_WES	2	41404	88947792	2158744	0.00863747
JAX_J000077712_PTPN_WES	2	94871500	241900436	3856172	0.00430495
JAX_J000077712_PTPN_WES	3	319825	75665186	2300198	-0.000583975
JAX_J000077712_PTPN_WES	3	75665228	75738575	2677	0.0425559
JAX_J000077712_PTPN_WES	3	75738588	89479327	59985	0.00149665
JAX_J000077712_PTPN_WES	3	94049424	195699619	2343476	0.00605342
JAX_J000077712_PTPN_WES	3	195725808	195750844	2640	-0.042237
JAX_J000077712_PTPN_WES	3	195750920	197990830	125504	0.00102144
JAX_J000077712_PTPN_WES	4	60317	49061941	1001008	-0.00471509
JAX_J000077712_PTPN_WES	4	51848078	189941872	2252570	0.00814812
JAX_J000077712_PTPN_WES	5	143120	44809060	718841	-0.00564635
