ID	chromosome	start	end	N	log2.ratio
193523--008-R--ORIGINATOR_PT_WES	1	785910	121375092	5152550	0.389534
193523--008-R--ORIGINATOR_PT_WES	1	143544364	248826595	4403992	0.579669
193523--008-R--ORIGINATOR_PT_WES	2	41404	80604356	2217169	4.59E-07
193523--008-R--ORIGINATOR_PT_WES	2	84291314	86842308	157684	-0.537811
193523--008-R--ORIGINATOR_PT_WES	2	86858409	91767277	79793	0.219009
193523--008-R--ORIGINATOR_PT_WES	2	94871500	97167624	184542	0.275091
193523--008-R--ORIGINATOR_PT_WES	2	97167729	241852039	4347328	0.224416
193523--008-R--ORIGINATOR_PT_WES	3	197562	38604932	970314	-0.0356873
193523--008-R--ORIGINATOR_PT_WES	3	38757325	42758273	185032	2.47306
193523--008-R--ORIGINATOR_PT_WES	3	42865620	49803410	606000	0.179971
193523--008-R--ORIGINATOR_PT_WES	3	49811886	50380163	106444	0.810515
193523--008-R--ORIGINATOR_PT_WES	3	50387746	54320597	390216	1.1466
193523--008-R--ORIGINATOR_PT_WES	3	54367623	90208228	489693	0.442457
193523--008-R--ORIGINATOR_PT_WES	3	93874275	123975299	793183	0.354826
193523--008-R--ORIGINATOR_PT_WES	3	123975748	124491066	17380	0.428838
193523--008-R--ORIGINATOR_PT_WES	3	124491497	197999191	2055787	0.383352
193523--008-R--ORIGINATOR_PT_WES	4	60507	49061855	1173363	0.367287
193523--008-R--ORIGINATOR_PT_WES	4	51848078	56531030	153555	0.617453
193523--008-R--ORIGINATOR_PT_WES	4	56559249	190026536	2330015	-0.153751
193523--008-R--ORIGINATOR_PT_WES	5	163090	45262797	879794	0.665604
193523--008-R--ORIGINATOR_PT_WES	5	50399214	57482276	160469	-0.0429283
193523--008-R--ORIGINATOR_PT_WES	5	58454523	58725858	8275	0.6294
193523--008-R--ORIGINATOR_PT_WES	5	58825232	181233601	3152097	-0.0348094
193523--008-R--ORIGINATOR_PT_WES	6	312023	6588648	132887	0.675639
193523--008-R--ORIGINATOR_PT_WES	6	7211585	32460012	1101469	0.671708
193523--008-R--ORIGINATOR_PT_WES	6	32519488	32589767	2872	0.581
193523--008-R--ORIGINATOR_PT_WES	6	32638840	32643263	2275	0.42989
193523--008-R--ORIGINATOR_PT_WES	6	32643315	32857138	25272	0.577305
193523--008-R--ORIGINATOR_PT_WES	6	32937204	57390316	1257999	0.684209
193523--008-R--ORIGINATOR_PT_WES	6	60490211	170584276	2279217	-0.0951887
193523--008-R--ORIGINATOR_PT_WES	7	228724	6737325	399132	0.758841
193523--008-R--ORIGINATOR_PT_WES	7	6751131	6819753	13555	0.631342
193523--008-R--ORIGINATOR_PT_WES	7	7067005	57469686	1157993	0.64885
193523--008-R--ORIGINATOR_PT_WES	7	63349653	102473633	1328150	0.661783
193523--008-R--ORIGINATOR_PT_WES	7	102474302	102678304	12404	0.664262
193523--008-R--ORIGINATOR_PT_WES	7	102703610	128351079	590531	0.585816
193523--008-R--ORIGINATOR_PT_WES	7	128352800	128947327	77088	0.678343
193523--008-R--ORIGINATOR_PT_WES	7	128948421	140459921	422006	0.689412
193523--008-R--ORIGINATOR_PT_WES	7	140459998	141642115	36829	0.673687
193523--008-R--ORIGINATOR_PT_WES	7	141662893	152101083	521223	0.664581
193523--008-R--ORIGINATOR_PT_WES	7	152248119	154540757	19054	0.475149
193523--008-R--ORIGINATOR_PT_WES	7	154637850	159138084	147042	0.696902
193523--008-R--ORIGINATOR_PT_WES	8	233002	36932821	878002	-0.0984378
193523--008-R--ORIGINATOR_PT_WES	8	37598002	43356807	345887	2.82797
193523--008-R--ORIGINATOR_PT_WES	8	46843489	145003654	2215599	1.10651
193523--008-R--ORIGINATOR_PT_WES	9	154933	40928959	888054	-0.108209
193523--008-R--ORIGINATOR_PT_WES	9	40928971	41183587	860	-0.308671
193523--008-R--ORIGINATOR_PT_WES	9	62801145	69053281	20508	-0.0865049
193523--008-R--ORIGINATOR_PT_WES	9	69071265	137102189	2655653	-0.00632543
193523--008-R--ORIGINATOR_PT_WES	9	137102246	137103519	1240	0.298166
193523--008-R--ORIGINATOR_PT_WES	9	137107526	138177303	140060	0.0847687
193523--008-R--ORIGINATOR_PT_WES	10	49134	38096513	872517	-0.144683
193523--008-R--ORIGINATOR_PT_WES	10	38118591	38451454	7553	0.793905
193523--008-R--ORIGINATOR_PT_WES	10	41860304	52316511	284248	0.626024
193523--008-R--ORIGINATOR_PT_WES	10	52768506	63620991	146400	-0.179007
193523--008-R--ORIGINATOR_PT_WES	10	67346614	69227563	114583	0.607637
