ID	chromosome	start	end	N	log2.ratio
wm3907_P0_WES	1	12195	827221	9319	0.41143
wm3907_P0_WES	1	942934	121383049	3612766	-0.0194402
wm3907_P0_WES	1	143904542	248650825	3210538	0.0367027
wm3907_P0_WES	2	224919	91941168	1778599	-0.0116479
wm3907_P0_WES	2	94871877	97556906	160081	-0.0375591
wm3907_P0_WES	2	97737384	242004138	3197768	0.0445798
wm3907_P0_WES	3	344564	89472575	1920777	0.062599
wm3907_P0_WES	3	93874275	194653104	1877565	0.0251964
wm3907_P0_WES	3	194660801	198036087	135083	-0.148765
wm3907_P0_WES	4	60478	9174460	338889	0.0176788
wm3907_P0_WES	4	9174510	9335854	25031	0.109534
wm3907_P0_WES	4	9386313	49061766	443662	-0.0047281
wm3907_P0_WES	4	51860656	87615956	599349	-0.0269013
wm3907_P0_WES	4	87616205	189941132	1233060	0.0196064
wm3907_P0_WES	4	189953203	190092445	17627	0.0313215
wm3907_P0_WES	5	163151	38512052	480483	0.0449046
wm3907_P0_WES	5	38527126	38821294	1650	-0.388255
wm3907_P0_WES	5	38821650	44310390	109409	0.00407214
wm3907_P0_WES	5	50399214	181237049	2473511	2.42E-07
wm3907_P0_WES	6	335251	30987233	617957	0.245558
wm3907_P0_WES	6	31116907	32519625	24267	-6.16558
wm3907_P0_WES	6	32521865	33007237	6936	-3.79006
wm3907_P0_WES	6	33169912	57147875	849027	0.266733
wm3907_P0_WES	6	63984461	160589522	1466056	-0.977134
wm3907_P0_WES	6	160589734	160707855	10363	-0.804546
wm3907_P0_WES	6	160707890	167136554	60277	-0.784496
wm3907_P0_WES	6	167174005	167381084	8363	-0.869166
wm3907_P0_WES	6	168293914	170549140	39603	-0.898742
wm3907_P0_WES	7	246436	56812284	1039723	0.573855
wm3907_P0_WES	7	63292701	140120554	1778150	0.501508
wm3907_P0_WES	7	140343573	140601358	13236	3.12434
wm3907_P0_WES	7	141437660	158934585	510747	0.661163
wm3907_P0_WES	8	79063	7470545	99398	1.27534
wm3907_P0_WES	8	7482801	7973187	30976	0.687979
wm3907_P0_WES	8	7976990	12109988	77229	1.36867
wm3907_P0_WES	8	12112686	12138641	3825	0.257886
wm3907_P0_WES	8	12183489	43180456	697553	1.25636
wm3907_P0_WES	8	47961422	144992989	1507053	1.24137
wm3907_P0_WES	9	15066	38620027	668775	0.00468225
wm3907_P0_WES	9	39078329	41908683	24420	-0.0366074
wm3907_P0_WES	9	60915696	68256920	54593	-0.0729347
wm3907_P0_WES	9	68378165	138176316	1997827	-0.0196144
wm3907_P0_WES	10	47876	384037	12161	0.138716
wm3907_P0_WES	10	389940	4966908	50611	0.111367
wm3907_P0_WES	10	4968380	4999206	3305	0.279474
wm3907_P0_WES	10	5001629	5105717	3053	0.12723
wm3907_P0_WES	10	5107457	29643912	465886	-0.0856061
wm3907_P0_WES	10	29643989	30704475	13768	-0.162465
wm3907_P0_WES	10	30712565	37162840	74776	-0.133706
wm3907_P0_WES	10	37176273	38392096	16960	-0.494754
wm3907_P0_WES	10	42594517	46381349	92278	-0.0653382
wm3907_P0_WES	10	46385888	48067539	40460	0.00703741
wm3907_P0_WES	10	48083767	49622125	65234	0.178135
wm3907_P0_WES	10	49988899	50752595	24513	-0.0499943
wm3907_P0_WES	10	50809877	116692384	1488373	-0.0216999
wm3907_P0_WES	10	116707153	119436823	48988	-0.0390156
wm3907_P0_WES	10	119439677	133202671	290727	0.0349359
wm3907_P0_WES	10	133206811	133456451	30187	-0.0779317
wm3907_P0_WES	10	133625384	133757331	7190	-0.0778582
wm3907_P0_WES	11	180225	1010649	116591	-0.0455533
wm3907_P0_WES	11	1016665	1018483	1765	-0.125376
wm3907_P0_WES	11	1018523	1094777	16405	-0.0737243
