ID	chromosome	start	end	N	log2.ratio
J000077712_J000077712PT_PT_AffySNP	1	61736	3852667	1105	0.00197709
J000077712_J000077712PT_PT_AffySNP	1	3852698	47748951	26191	-0.00507672
J000077712_J000077712PT_PT_AffySNP	1	47749210	47762700	18	-0.489716
J000077712_J000077712PT_PT_AffySNP	1	47763500	67275100	13681	0.0169871
J000077712_J000077712PT_PT_AffySNP	1	67275152	67620036	258	-0.0299858
J000077712_J000077712PT_PT_AffySNP	1	67621432	72482857	3078	0.0308831
J000077712_J000077712PT_PT_AffySNP	1	72483607	73192824	454	0.190292
J000077712_J000077712PT_PT_AffySNP	1	73198926	82672936	6275	0.0237499
J000077712_J000077712PT_PT_AffySNP	1	82675200	82722000	45	-0.391337
J000077712_J000077712PT_PT_AffySNP	1	82724500	88325749	3936	0.0119345
J000077712_J000077712PT_PT_AffySNP	1	88334232	114125881	16716	-0.0215666
J000077712_J000077712PT_PT_AffySNP	1	114126552	121741000	4146	0.0249926
J000077712_J000077712PT_PT_AffySNP	1	143285000	152785214	3182	-0.00494501
J000077712_J000077712PT_PT_AffySNP	1	152787202	201134000	33208	-0.0236462
J000077712_J000077712PT_PT_AffySNP	1	201135461	201148005	13	-0.473771
J000077712_J000077712PT_PT_AffySNP	1	201148730	203824524	1809	0.0110831
J000077712_J000077712PT_PT_AffySNP	1	203827987	227989116	16829	-0.00204958
J000077712_J000077712PT_PT_AffySNP	1	227993000	230143000	1349	-0.0282351
J000077712_J000077712PT_PT_AffySNP	1	230143835	232484557	1842	0.0741332
J000077712_J000077712PT_PT_AffySNP	1	232484779	248930000	12275	-0.000192782
J000077712_J000077712PT_PT_AffySNP	2	12784	4045162	3001	0.0421953
J000077712_J000077712PT_PT_AffySNP	2	4045661	52527600	35213	-0.0010362
J000077712_J000077712PT_PT_AffySNP	2	52527700	52554400	35	-3.16095
J000077712_J000077712PT_PT_AffySNP	2	52560811	64438201	7783	-0.0293714
J000077712_J000077712PT_PT_AffySNP	2	64440674	64465900	24	-0.769729
J000077712_J000077712PT_PT_AffySNP	2	64466300	77750100	8879	-0.0162476
J000077712_J000077712PT_PT_AffySNP	2	77759600	146104517	38205	0.0233879
J000077712_J000077712PT_PT_AffySNP	2	146107000	146109000	24	-2.18884
J000077712_J000077712PT_PT_AffySNP	2	146120238	158670000	7652	-0.00911756
J000077712_J000077712PT_PT_AffySNP	2	158675000	158708000	27	0.599022
J000077712_J000077712PT_PT_AffySNP	2	158708610	191920735	20831	-0.0214355
J000077712_J000077712PT_PT_AffySNP	2	191926000	191966000	34	-0.336697
J000077712_J000077712PT_PT_AffySNP	2	191968033	236791000	28599	-0.0105789
J000077712_J000077712PT_PT_AffySNP	2	236802815	242147000	3293	-0.0271257
J000077712_J000077712PT_PT_AffySNP	3	18668	4630480	4310	0.0116689
J000077712_J000077712PT_PT_AffySNP	3	4634510	5590413	775	-0.0793889
J000077712_J000077712PT_PT_AffySNP	3	5590436	13510310	6389	-0.00507074
J000077712_J000077712PT_PT_AffySNP	3	13513386	14669081	838	-0.0143192
J000077712_J000077712PT_PT_AffySNP	3	14669172	21944976	4714	-0.0148408
J000077712_J000077712PT_PT_AffySNP	3	21949300	21979200	22	-0.588166
J000077712_J000077712PT_PT_AffySNP	3	21979633	38845762	11944	0.00970497
J000077712_J000077712PT_PT_AffySNP	3	38846479	43238880	2903	-0.00830138
J000077712_J000077712PT_PT_AffySNP	3	43243877	49269500	3178	-0.0212373
