ID	chromosome	start	end	N	log2.ratio
TM00324_OV2022F394P0_P0_AffySNP	1	61736	18361584	10309	0.467645
TM00324_OV2022F394P0_P0_AffySNP	1	18362758	38679718	11800	-0.0215865
TM00324_OV2022F394P0_P0_AffySNP	1	38683200	38718613	21	-0.00597564
TM00324_OV2022F394P0_P0_AffySNP	1	38718700	38766127	35	1.35029
TM00324_OV2022F394P0_P0_AffySNP	1	38766500	38779825	10	1.26743
TM00324_OV2022F394P0_P0_AffySNP	1	38781662	38973866	112	1.3611
TM00324_OV2022F394P0_P0_AffySNP	1	38975200	41094100	1118	2.27753
TM00324_OV2022F394P0_P0_AffySNP	1	41097400	41123600	18	-0.422134
TM00324_OV2022F394P0_P0_AffySNP	1	41126900	46727386	3272	0.00160581
TM00324_OV2022F394P0_P0_AffySNP	1	46727700	47979819	812	0.0458782
TM00324_OV2022F394P0_P0_AffySNP	1	47982234	69433483	14917	0.093398
TM00324_OV2022F394P0_P0_AffySNP	1	69433500	69683000	180	1.06819
TM00324_OV2022F394P0_P0_AffySNP	1	69683076	71366100	1031	0.0756467
TM00324_OV2022F394P0_P0_AffySNP	1	71371700	72642933	818	-0.78534
TM00324_OV2022F394P0_P0_AffySNP	1	72643000	73626500	580	0.144395
TM00324_OV2022F394P0_P0_AffySNP	1	73626812	75574700	1176	0.129458
TM00324_OV2022F394P0_P0_AffySNP	1	75575200	76472118	712	-0.68503
TM00324_OV2022F394P0_P0_AffySNP	1	76472700	83425723	4630	-0.681138
TM00324_OV2022F394P0_P0_AffySNP	1	83428400	84387600	687	-0.652181
TM00324_OV2022F394P0_P0_AffySNP	1	84388931	101314118	11104	-0.787222
TM00324_OV2022F394P0_P0_AffySNP	1	101316172	102916900	1114	-0.870714
TM00324_OV2022F394P0_P0_AffySNP	1	102924000	108816609	3572	-0.785043
TM00324_OV2022F394P0_P0_AffySNP	1	108816672	110234483	834	-0.643484
TM00324_OV2022F394P0_P0_AffySNP	1	110236123	113103246	2314	-0.870159
TM00324_OV2022F394P0_P0_AffySNP	1	113110000	116488097	2259	-0.710154
TM00324_OV2022F394P0_P0_AffySNP	1	116488360	118562384	1293	-0.706155
TM00324_OV2022F394P0_P0_AffySNP	1	118564000	121741000	1171	0.115974
TM00324_OV2022F394P0_P0_AffySNP	1	145721000	152495537	2573	0.968182
TM00324_OV2022F394P0_P0_AffySNP	1	152496610	153386209	819	0.133908
TM00324_OV2022F394P0_P0_AffySNP	1	153389670	214655090	42256	0.0422521
TM00324_OV2022F394P0_P0_AffySNP	1	214656573	234500361	13958	0.0704813
TM00324_OV2022F394P0_P0_AffySNP	1	234500849	234764346	245	0.714382
TM00324_OV2022F394P0_P0_AffySNP	1	234767459	248930000	10345	0.0269091
TM00324_OV2022F394P0_P0_AffySNP	2	12784	8519290	6972	-0.0918604
TM00324_OV2022F394P0_P0_AffySNP	2	8520346	28325100	13422	0.00741293
TM00324_OV2022F394P0_P0_AffySNP	2	28325189	31064085	2082	0.609197
TM00324_OV2022F394P0_P0_AffySNP	2	31064625	53311712	16415	0.055245
TM00324_OV2022F394P0_P0_AffySNP	2	53312449	55217200	1481	1.01585
TM00324_OV2022F394P0_P0_AffySNP	2	55219220	74146300	12052	0.0361234
TM00324_OV2022F394P0_P0_AffySNP	2	74148330	75698100	1122	0.609144
TM00324_OV2022F394P0_P0_AffySNP	2	75699439	88095582	7492	0.119204
TM00324_OV2022F394P0_P0_AffySNP	2	88096305	98175600	2144	0.800507
TM00324_OV2022F394P0_P0_AffySNP	2	98176800	99755600	878	1.02523
TM00324_OV2022F394P0_P0_AffySNP	2	99757200	116574000	10309	0.625321
TM00324_OV2022F394P0_P0_AffySNP	2	116574581	139488000	14597	0.0418443
TM00324_OV2022F394P0_P0_AffySNP	2	139488000	199708000	37155	0.632347
TM00324_OV2022F394P0_P0_AffySNP	2	199709000	229960000	19763	0.0601372
TM00324_OV2022F394P0_P0_AffySNP	2	229963000	231917000	1047	0.490112
TM00324_OV2022F394P0_P0_AffySNP	2	231919000	242147000	6680	-0.0700903
TM00324_OV2022F394P0_P0_AffySNP	3	18668	12487600	10631	0.0173633
TM00324_OV2022F394P0_P0_AffySNP	3	12488914	15866794	2424	0.571059
TM00324_OV2022F394P0_P0_AffySNP	3	15867300	16821052	750	0.880687
TM00324_OV2022F394P0_P0_AffySNP	3	16821370	17940826	580	1.16365
TM00324_OV2022F394P0_P0_AffySNP	3	17941606	19303300	790	0.684204
TM00324_OV2022F394P0_P0_AffySNP	3	19304600	23103200	2728	0.0227837
TM00324_OV2022F394P0_P0_AffySNP	3	23103615	24172410	632	-1.02652
TM00324_OV2022F394P0_P0_AffySNP	3	24172747	30760400	5104	-0.781208
TM00324_OV2022F394P0_P0_AffySNP	3	30760534	31499384	599	-0.767457
TM00324_OV2022F394P0_P0_AffySNP	3	31499496	32311639	523	-0.834364
TM00324_OV2022F394P0_P0_AffySNP	3	32312061	32800500	301	-0.659484
TM00324_OV2022F394P0_P0_AffySNP	3	32800609	33894400	562	-0.736137
TM00324_OV2022F394P0_P0_AffySNP	3	33899800	36444195	1775	-0.956775
TM00324_OV2022F394P0_P0_AffySNP	3	36444518	38539500	1348	-0.800817
TM00324_OV2022F394P0_P0_AffySNP	3	38540600	39972500	986	-0.907456
TM00324_OV2022F394P0_P0_AffySNP	3	39972675	40945400	579	-0.926077
TM00324_OV2022F394P0_P0_AffySNP	3	40949700	43614200	1791	-0.791048
TM00324_OV2022F394P0_P0_AffySNP	3	43616000	50579215	3472	-0.835734
TM00324_OV2022F394P0_P0_AffySNP	3	50579991	53298333	1301	-0.813663
TM00324_OV2022F394P0_P0_AffySNP	3	53298447	71588612	14405	-0.840711
TM00324_OV2022F394P0_P0_AffySNP	3	71589700	72819900	976	0.0670939
TM00324_OV2022F394P0_P0_AffySNP	3	72820256	73659434	635	-0.690906
TM00324_OV2022F394P0_P0_AffySNP	3	73663187	76471300	1676	-0.845375
TM00324_OV2022F394P0_P0_AffySNP	3	76471450	81476000	2990	-0.828317
TM00324_OV2022F394P0_P0_AffySNP	3	81476700	81713100	133	-0.759975
TM00324_OV2022F394P0_P0_AffySNP	3	81714259	82811900	631	0.681828
TM00324_OV2022F394P0_P0_AffySNP	3	82812500	93800600	4097	-0.856992
TM00324_OV2022F394P0_P0_AffySNP	3	93801200	102964000	5062	0.0540248
TM00324_OV2022F394P0_P0_AffySNP	3	102972148	108053000	3330	0.67161
TM00324_OV2022F394P0_P0_AffySNP	3	108059000	118732801	6887	0.044723
TM00324_OV2022F394P0_P0_AffySNP	3	118737000	119324164	348	0.918273
TM00324_OV2022F394P0_P0_AffySNP	3	119325000	120292000	600	2.05976
TM00324_OV2022F394P0_P0_AffySNP	3	120294000	132746000	7658	-0.0244348
TM00324_OV2022F394P0_P0_AffySNP	3	132748000	134846592	1445	0.554964
TM00324_OV2022F394P0_P0_AffySNP	3	134851840	135008000	165	0.103635
TM00324_OV2022F394P0_P0_AffySNP	3	135009000	135303186	222	0.954817
TM00324_OV2022F394P0_P0_AffySNP	3	135303576	135960000	423	0.030352
TM00324_OV2022F394P0_P0_AffySNP	3	135960000	137084000	450	1.3482
TM00324_OV2022F394P0_P0_AffySNP	3	137084595	137123513	18	2.04551
TM00324_OV2022F394P0_P0_AffySNP	3	137124000	137314000	161	1.99713
TM00324_OV2022F394P0_P0_AffySNP	3	137314000	139745658	1356	0.984481
TM00324_OV2022F394P0_P0_AffySNP	3	139749000	140066388	270	2.00177
TM00324_OV2022F394P0_P0_AffySNP	3	140066440	143470000	2251	0.972166
TM00324_OV2022F394P0_P0_AffySNP	3	143477055	144923827	973	2.00546
TM00324_OV2022F394P0_P0_AffySNP	3	144924000	145126000	118	0.633502
TM00324_OV2022F394P0_P0_AffySNP	3	145129150	148039000	1793	2.87388
TM00324_OV2022F394P0_P0_AffySNP	3	148042457	148071000	20	1.6089
TM00324_OV2022F394P0_P0_AffySNP	3	148073932	148143000	46	0.947697
TM00324_OV2022F394P0_P0_AffySNP	3	148146000	148234064	58	1.61662
TM00324_OV2022F394P0_P0_AffySNP	3	148236605	151345042	2049	1.92856
TM00324_OV2022F394P0_P0_AffySNP	3	151346228	160123000	5473	1.32815
TM00324_OV2022F394P0_P0_AffySNP	3	160123638	165368000	3164	1.02198
TM00324_OV2022F394P0_P0_AffySNP	3	165371000	167881000	1400	1.38631
TM00324_OV2022F394P0_P0_AffySNP	3	167885000	171428000	2267	2.32411
TM00324_OV2022F394P0_P0_AffySNP	3	171428596	171481779	38	1.2148
TM00324_OV2022F394P0_P0_AffySNP	3	171482000	173466000	1327	1.3609
TM00324_OV2022F394P0_P0_AffySNP	3	173466044	178376279	3265	1.10503
TM00324_OV2022F394P0_P0_AffySNP	3	178377635	188127689	6189	0.973534
TM00324_OV2022F394P0_P0_AffySNP	3	188128168	198169000	6508	-3.0601
TM00324_OV2022F394P0_P0_AffySNP	4	12282	5159044	2617	-0.932941
TM00324_OV2022F394P0_P0_AffySNP	4	5159300	5744227	527	-0.904038
TM00324_OV2022F394P0_P0_AffySNP	4	5744370	10155000	2841	-0.756357
TM00324_OV2022F394P0_P0_AffySNP	4	10157479	14032500	3227	-0.987412
TM00324_OV2022F394P0_P0_AffySNP	4	14033300	21506557	5415	-0.821943
TM00324_OV2022F394P0_P0_AffySNP	4	21507200	22564900	802	-0.919212
TM00324_OV2022F394P0_P0_AffySNP	4	22566790	31215053	5907	-0.754744
TM00324_OV2022F394P0_P0_AffySNP	4	31215629	45227499	9140	-0.860105
TM00324_OV2022F394P0_P0_AffySNP	4	45227566	46959600	885	-0.969482
TM00324_OV2022F394P0_P0_AffySNP	4	46959881	54190477	2812	0.0767583
TM00324_OV2022F394P0_P0_AffySNP	4	54190500	56061028	1450	1.7416
TM00324_OV2022F394P0_P0_AffySNP	4	56062747	56726300	406	0.670315
TM00324_OV2022F394P0_P0_AffySNP	4	56729975	59774341	2108	1.2653
TM00324_OV2022F394P0_P0_AffySNP	4	59774598	64356887	2624	2.77676
