ID	chromosome	start	end	N	log2.ratio
165739--295-R--ORIGINATOR_PT_WES	1	856883	21481814	1295772	-0.255434
165739--295-R--ORIGINATOR_PT_WES	1	21483285	23057762	111040	-0.21134
165739--295-R--ORIGINATOR_PT_WES	1	23362409	37997226	904301	-0.173139
165739--295-R--ORIGINATOR_PT_WES	1	38864910	39763944	92855	-0.113147
165739--295-R--ORIGINATOR_PT_WES	1	39764664	50106424	561113	-0.155865
165739--295-R--ORIGINATOR_PT_WES	1	50177328	51760585	43019	0.00716284
165739--295-R--ORIGINATOR_PT_WES	1	51791402	81943903	758094	0.0163947
165739--295-R--ORIGINATOR_PT_WES	1	84401880	94903655	380952	0.050351
165739--295-R--ORIGINATOR_PT_WES	1	95143782	100148883	75624	0.140024
165739--295-R--ORIGINATOR_PT_WES	1	100156409	121565562	701867	-0.0352803
165739--295-R--ORIGINATOR_PT_WES	1	143884651	148334750	104483	-0.0230092
165739--295-R--ORIGINATOR_PT_WES	1	148808353	150441679	86394	-0.00768086
165739--295-R--ORIGINATOR_PT_WES	1	150509506	156384575	683000	-0.0493455
165739--295-R--ORIGINATOR_PT_WES	1	156539000	156868349	65553	-0.155321
165739--295-R--ORIGINATOR_PT_WES	1	156876441	173043857	746468	0.0508913
165739--295-R--ORIGINATOR_PT_WES	1	173503326	174219147	47947	0.105972
165739--295-R--ORIGINATOR_PT_WES	1	174304924	186122944	437174	0.113643
165739--295-R--ORIGINATOR_PT_WES	1	196429489	223764139	1075075	0.0446683
165739--295-R--ORIGINATOR_PT_WES	1	223788891	225185517	49791	0.200745
165739--295-R--ORIGINATOR_PT_WES	1	225231201	241879243	638607	0.0442843
165739--295-R--ORIGINATOR_PT_WES	1	241881772	243572908	30830	0.0470731
165739--295-R--ORIGINATOR_PT_WES	1	244364555	248650751	164958	0.0696489
165739--295-R--ORIGINATOR_PT_WES	2	224970	38931156	1190878	0.0112429
165739--295-R--ORIGINATOR_PT_WES	2	38965871	39267056	18976	0.135073
165739--295-R--ORIGINATOR_PT_WES	2	39267328	55355548	388949	0.101648
165739--295-R--ORIGINATOR_PT_WES	2	55523670	61835912	122423	0.155889
165739--295-R--ORIGINATOR_PT_WES	2	61838716	79651538	532480	-0.00727435
165739--295-R--ORIGINATOR_PT_WES	2	85305082	91767183	207143	-0.00248773
165739--295-R--ORIGINATOR_PT_WES	2	94876407	95962211	43665	-0.133839
165739--295-R--ORIGINATOR_PT_WES	2	96032437	97118094	116708	-0.145347
165739--295-R--ORIGINATOR_PT_WES	2	97162000	160062509	1370991	0.0543466
165739--295-R--ORIGINATOR_PT_WES	2	160275782	164493346	84949	0.200897
165739--295-R--ORIGINATOR_PT_WES	2	164497202	165883959	56692	0.253793
165739--295-R--ORIGINATOR_PT_WES	2	166012002	166306054	21322	0.290061
165739--295-R--ORIGINATOR_PT_WES	2	166306533	191072937	907807	0.158748
165739--295-R--ORIGINATOR_PT_WES	2	196220258	202194138	272286	0.124933
165739--295-R--ORIGINATOR_PT_WES	2	202208103	202882889	25956	0.0871816
165739--295-R--ORIGINATOR_PT_WES	2	202955552	241897463	1569845	-0.0171137
165739--295-R--ORIGINATOR_PT_WES	3	197562	89472543	2691542	-0.143468
165739--295-R--ORIGINATOR_PT_WES	3	93874275	197955589	2874143	0.0870022
165739--295-R--ORIGINATOR_PT_WES	4	60507	20268977	652864	-0.0499638
165739--295-R--ORIGINATOR_PT_WES	4	20480838	36165240	156695	0.272372
165739--295-R--ORIGINATOR_PT_WES	4	36214492	48991867	342859	0.0789319
165739--295-R--ORIGINATOR_PT_WES	4	52029884	82661058	682628	0.0967516
165739--295-R--ORIGINATOR_PT_WES	4	82872206	84705549	61235	0.0714982
165739--295-R--ORIGINATOR_PT_WES	4	84708766	93455524	199321	0.13913
165739--295-R--ORIGINATOR_PT_WES	4	94308477	94610961	7480	0.169359
165739--295-R--ORIGINATOR_PT_WES	4	94640308	110620998	345821	0.116809
165739--295-R--ORIGINATOR_PT_WES	4	112186673	118757896	124995	0.0772133
165739--295-R--ORIGINATOR_PT_WES	4	119026891	121951564	80663	0.107836
165739--295-R--ORIGINATOR_PT_WES	4	122170549	150285975	396136	0.0897981
165739--295-R--ORIGINATOR_PT_WES	4	150849315	151679994	30881	0.0828479
165739--295-R--ORIGINATOR_PT_WES	4	151688542	169156638	322895	0.111372
165739--295-R--ORIGINATOR_PT_WES	4	169156750	176131864	76689	0.126991
165739--295-R--ORIGINATOR_PT_WES	4	176162015	190026883	231177	0.0248087
165739--295-R--ORIGINATOR_PT_WES	5	140417	35955924	570897	-2.62E-07
165739--295-R--ORIGINATOR_PT_WES	5	36051736	39021310	142190	0.159437
165739--295-R--ORIGINATOR_PT_WES	5	39074194	44809380	133265	0.134798
165739--295-R--ORIGINATOR_PT_WES	5	50399214	107670745	1126146	0.0482273
165739--295-R--ORIGINATOR_PT_WES	5	107861719	109883634	29494	0.149835
165739--295-R--ORIGINATOR_PT_WES	5	111071809	146104140	1067592	-0.0634483
165739--295-R--ORIGINATOR_PT_WES	5	146129235	147397502	45377	0.0271359
165739--295-R--ORIGINATOR_PT_WES	5	147397625	181247152	1129665	-0.0525225
165739--295-R--ORIGINATOR_PT_WES	6	335251	10942731	242613	-0.149318
