ID	chromosome	start	end	N	log2.ratio
TC333_PT_WES	1	14907	1439878	144951	0.0717834
TC333_PT_WES	1	1440430	15584854	817607	0.051369
TC333_PT_WES	1	15718684	16960919	144747	0.106983
TC333_PT_WES	1	16966183	121538245	4186355	0.033874
TC333_PT_WES	1	143401818	247896410	4468148	0.0285391
TC333_PT_WES	1	247896554	248682157	41479	-0.0315317
TC333_PT_WES	2	224970	86878763	2524990	-0.0433177
TC333_PT_WES	2	86886761	91931663	174329	0.0414627
TC333_PT_WES	2	94822969	131829293	1324488	0.0485646
TC333_PT_WES	2	131829380	235524687	3287081	-0.00613609
TC333_PT_WES	2	235670872	236238025	16710	-0.0532647
TC333_PT_WES	2	236503525	242110562	335462	-0.0361563
TC333_PT_WES	3	1173329	89480907	2811546	0.0161842
TC333_PT_WES	3	93874275	195618565	2818859	-0.0595491
TC333_PT_WES	3	195619481	198167823	180959	-0.00115066
TC333_PT_WES	4	65000	9198142	489761	-0.0183827
TC333_PT_WES	4	9210558	9368032	11519	0.259802
TC333_PT_WES	4	9386313	49559635	668071	-0.057342
TC333_PT_WES	4	51862976	189984987	2659822	-0.06817
TC333_PT_WES	4	190022045	190065324	2945	0.0325637
TC333_PT_WES	4	190065609	190069288	865	0.682173
TC333_PT_WES	5	163090	26988317	407410	0.448002
TC333_PT_WES	5	31293962	45260962	445879	0.00660315
TC333_PT_WES	5	50399214	69631874	415883	-0.051798
TC333_PT_WES	5	69632791	71467261	110904	0.0416722
TC333_PT_WES	5	71501672	181368247	3079528	-0.0565822
TC333_PT_WES	6	325403	31269076	936645	0.0124866
TC333_PT_WES	6	31269240	31410451	3109	0.0645217
TC333_PT_WES	6	31410581	57938850	1547640	0.0318048
TC333_PT_WES	6	62683120	170318651	2285756	-0.0491475
TC333_PT_WES	7	20860	57828536	1499608	0.13401
TC333_PT_WES	7	63292701	78078812	564614	0.0978936
TC333_PT_WES	7	78125880	102337534	865658	0.0310778
TC333_PT_WES	7	102377386	102772454	55202	0.129994
TC333_PT_WES	7	102976292	159059113	1738931	0.0389609
TC333_PT_WES	8	216322	7115967	106836	-0.0123632
TC333_PT_WES	8	7186211	7577914	41717	-0.0543133
TC333_PT_WES	8	7579770	8030033	40857	-0.372657
TC333_PT_WES	8	8039356	43192450	1001012	-0.0211326
TC333_PT_WES	8	50394144	144946051	1908194	0.11065
TC333_PT_WES	9	14690	39357557	985777	-0.0334108
TC333_PT_WES	9	39358549	42910851	53303	0.0206509
TC333_PT_WES	9	60838348	68392599	131962	0.0191508
TC333_PT_WES	9	68610900	138114563	2728169	-0.00318585
TC333_PT_WES	9	138174605	138177303	2543	0.0620234
TC333_PT_WES	10	47876	38686434	898759	-0.0367183
TC333_PT_WES	10	42185416	133659554	2947244	-0.0332464
TC333_PT_WES	11	87018	33033050	1326268	-0.0201462
TC333_PT_WES	11	33033208	50422246	492204	0.14016
TC333_PT_WES	11	54591798	134735933	3334567	0.112879
TC333_PT_WES	12	15890	3627579	175549	0.671292
TC333_PT_WES	12	3640708	23543111	838762	0.182024
TC333_PT_WES	12	23584632	27264289	90506	2.17429
TC333_PT_WES	12	27315380	34022573	167822	0.0989268
TC333_PT_WES	12	37933973	133219374	3628092	0.0314139
TC333_PT_WES	13	18468441	114325598	1735938	-0.0314106
TC333_PT_WES	14	18334019	19906486	38124	0.143255
TC333_PT_WES	14	19906634	88662960	2111087	0.122551
TC333_PT_WES	14	89360743	89797156	1474	0.118482
TC333_PT_WES	14	89954709	104883051	633975	0.0693036
TC333_PT_WES	14	104883540	105626185	85626	0.139368
TC333_PT_WES	14	105641848	106874951	72594	0.181574
TC333_PT_WES	15	20012715	32603691	500610	0.0290781
TC333_PT_WES	15	32679733	101753930	2919031	-0.023016
TC333_PT_WES	15	101753937	101757672	3146	0.527626
TC333_PT_WES	15	101758303	101976289	23322	0.104546
TC333_PT_WES	16	14458	35169939	2242804	0.0543367
TC333_PT_WES	16	46550517	71977282	1084687	0.078125
TC333_PT_WES	16	71977294	71978518	678	0.12854
TC333_PT_WES	16	71979898	88731957	477345	-0.0251854
TC333_PT_WES	16	88731961	90177933	158491	-0.0556962
