ID	chromosome	start	end	N	log2.ratio
J000092712_J000095175_P0_004P0_AffySNP	1	61736	34660620	19844	-0.032331
J000092712_J000095175_P0_004P0_AffySNP	1	34661337	34670604	11	-0.920832
J000092712_J000095175_P0_004P0_AffySNP	1	34672380	37284499	1400	-0.0450091
J000092712_J000095175_P0_004P0_AffySNP	1	37287372	37341400	53	0.473002
J000092712_J000095175_P0_004P0_AffySNP	1	37342256	41517466	2346	-0.0301607
J000092712_J000095175_P0_004P0_AffySNP	1	41517900	44979300	2182	-0.00235826
J000092712_J000095175_P0_004P0_AffySNP	1	44979324	45009300	14	0.470013
J000092712_J000095175_P0_004P0_AffySNP	1	45012003	48362343	1938	-0.0856644
J000092712_J000095175_P0_004P0_AffySNP	1	48364800	50083900	907	-0.0699929
J000092712_J000095175_P0_004P0_AffySNP	1	50086500	57350400	4743	0.0323189
J000092712_J000095175_P0_004P0_AffySNP	1	57350552	72297700	10770	0.017128
J000092712_J000095175_P0_004P0_AffySNP	1	72302700	72345500	48	2.72566
J000092712_J000095175_P0_004P0_AffySNP	1	72346221	99294768	17778	0.0124583
J000092712_J000095175_P0_004P0_AffySNP	1	99295110	109538000	6383	-0.0215191
J000092712_J000095175_P0_004P0_AffySNP	1	109538187	111769129	1731	-0.0387568
J000092712_J000095175_P0_004P0_AffySNP	1	111769532	121741000	5755	0.0328233
J000092712_J000095175_P0_004P0_AffySNP	1	143285000	148897000	1347	-0.595145
J000092712_J000095175_P0_004P0_AffySNP	1	148897000	153198462	2189	-0.0839861
J000092712_J000095175_P0_004P0_AffySNP	1	153198672	153774000	362	0.497063
J000092712_J000095175_P0_004P0_AffySNP	1	153775140	155542077	868	1.23022
J000092712_J000095175_P0_004P0_AffySNP	1	155543000	157035362	706	2.20909
J000092712_J000095175_P0_004P0_AffySNP	1	157037184	160030645	2259	2.03946
J000092712_J000095175_P0_004P0_AffySNP	1	160034000	161507000	909	1.8552
J000092712_J000095175_P0_004P0_AffySNP	1	161508961	163259715	1441	2.16619
J000092712_J000095175_P0_004P0_AffySNP	1	163260000	164315000	745	2.03922
J000092712_J000095175_P0_004P0_AffySNP	1	164315279	168494630	3361	1.61512
J000092712_J000095175_P0_004P0_AffySNP	1	168495000	169603000	948	1.92055
J000092712_J000095175_P0_004P0_AffySNP	1	169603107	171900102	1630	1.67754
J000092712_J000095175_P0_004P0_AffySNP	1	171901456	174157000	1401	1.81575
J000092712_J000095175_P0_004P0_AffySNP	1	174157604	174393000	98	1.4254
J000092712_J000095175_P0_004P0_AffySNP	1	174398000	175468000	679	-0.140539
J000092712_J000095175_P0_004P0_AffySNP	1	175469575	178105000	1802	-0.895511
J000092712_J000095175_P0_004P0_AffySNP	1	178105446	178523312	215	-3.01917
J000092712_J000095175_P0_004P0_AffySNP	1	178527106	178727000	201	-1.90217
J000092712_J000095175_P0_004P0_AffySNP	1	178727615	180172250	1030	-2.72539
J000092712_J000095175_P0_004P0_AffySNP	1	180173929	180311843	106	-2.11585
J000092712_J000095175_P0_004P0_AffySNP	1	180316438	180918153	344	-3.91787
J000092712_J000095175_P0_004P0_AffySNP	1	180919406	181063182	110	-1.93893
J000092712_J000095175_P0_004P0_AffySNP	1	181066000	182684000	1278	-2.91058
J000092712_J000095175_P0_004P0_AffySNP	1	182684000	185750000	2041	-0.89289
J000092712_J000095175_P0_004P0_AffySNP	1	185755865	195795000	6757	0.00622556
J000092712_J000095175_P0_004P0_AffySNP	1	195798000	197259000	971	0.963149
J000092712_J000095175_P0_004P0_AffySNP	1	197263000	197650000	217	-0.823538
J000092712_J000095175_P0_004P0_AffySNP	1	197652000	199748004	1404	0.0240174
J000092712_J000095175_P0_004P0_AffySNP	1	199753720	201199000	1045	-0.834033
J000092712_J000095175_P0_004P0_AffySNP	1	201201443	204904000	2607	-0.0322547
J000092712_J000095175_P0_004P0_AffySNP	1	204904000	205035000	136	-0.892135
J000092712_J000095175_P0_004P0_AffySNP	1	205038000	206806000	953	-0.0444934
J000092712_J000095175_P0_004P0_AffySNP	1	206807000	206925000	82	-0.834978
J000092712_J000095175_P0_004P0_AffySNP	1	206935822	213350000	4662	0.443932
J000092712_J000095175_P0_004P0_AffySNP	1	213351000	215070207	1374	0.0138961
J000092712_J000095175_P0_004P0_AffySNP	1	215071167	216852842	1282	-0.79111
J000092712_J000095175_P0_004P0_AffySNP	1	216860435	220812469	2851	-0.765888
J000092712_J000095175_P0_004P0_AffySNP	1	220812486	222850000	1392	-0.995769
J000092712_J000095175_P0_004P0_AffySNP	1	222850427	223430540	343	0.472811
J000092712_J000095175_P0_004P0_AffySNP	1	223434047	224996000	1052	1.15269
J000092712_J000095175_P0_004P0_AffySNP	1	224998449	226553000	911	0.69878
J000092712_J000095175_P0_004P0_AffySNP	1	226553175	227092940	386	-0.0507164
J000092712_J000095175_P0_004P0_AffySNP	1	227093016	227756258	426	0.464865
J000092712_J000095175_P0_004P0_AffySNP	1	227759000	232020509	2865	-0.0371316
J000092712_J000095175_P0_004P0_AffySNP	1	232021020	233258000	1059	0.515779
J000092712_J000095175_P0_004P0_AffySNP	1	233258000	234281863	894	-0.109173
J000092712_J000095175_P0_004P0_AffySNP	1	234281877	236158000	1225	0.475429
J000092712_J000095175_P0_004P0_AffySNP	1	236160000	243290608	5739	-0.00290462
J000092712_J000095175_P0_004P0_AffySNP	1	243290712	245127000	1238	0.517109
J000092712_J000095175_P0_004P0_AffySNP	1	245130000	247200761	1508	0.00853046
J000092712_J000095175_P0_004P0_AffySNP	1	247201000	247327005	88	-0.907142
J000092712_J000095175_P0_004P0_AffySNP	1	247327405	248930000	974	0.0307161
J000092712_J000095175_P0_004P0_AffySNP	2	12784	11462800	9015	0.183529
J000092712_J000095175_P0_004P0_AffySNP	2	11463200	52427524	29105	0.213695
J000092712_J000095175_P0_004P0_AffySNP	2	52427606	53115517	595	0.324905
J000092712_J000095175_P0_004P0_AffySNP	2	53116000	56154604	2228	0.208094
J000092712_J000095175_P0_004P0_AffySNP	2	56154789	58295500	1476	0.244015
J000092712_J000095175_P0_004P0_AffySNP	2	58295526	65550316	4308	0.180579
J000092712_J000095175_P0_004P0_AffySNP	2	65551256	66133318	527	0.233593
J000092712_J000095175_P0_004P0_AffySNP	2	66133329	74962700	5651	0.198736
J000092712_J000095175_P0_004P0_AffySNP	2	74962897	112832890	19102	0.253199
J000092712_J000095175_P0_004P0_AffySNP	2	112833698	113172000	344	0.178447
J000092712_J000095175_P0_004P0_AffySNP	2	113173000	116138970	1754	0.252185
J000092712_J000095175_P0_004P0_AffySNP	2	116143843	116447000	169	-0.161526
J000092712_J000095175_P0_004P0_AffySNP	2	116455723	116941000	302	0.169287
J000092712_J000095175_P0_004P0_AffySNP	2	116941000	161055000	27838	0.052476
J000092712_J000095175_P0_004P0_AffySNP	2	161055000	167727471	3876	0.120292
J000092712_J000095175_P0_004P0_AffySNP	2	167729043	180568295	8608	0.0279715
J000092712_J000095175_P0_004P0_AffySNP	2	180568733	182224000	1028	-0.154903
J000092712_J000095175_P0_004P0_AffySNP	2	182224636	189489044	4188	0.0853289
J000092712_J000095175_P0_004P0_AffySNP	2	189489737	195189000	3349	0.0402065
J000092712_J000095175_P0_004P0_AffySNP	2	195192000	196299970	645	0.0442127
J000092712_J000095175_P0_004P0_AffySNP	2	196300038	222058000	16408	0.0519568
J000092712_J000095175_P0_004P0_AffySNP	2	222060948	237039000	10057	0.0268329
J000092712_J000095175_P0_004P0_AffySNP	2	237043341	242147000	3040	-0.0230732
J000092712_J000095175_P0_004P0_AffySNP	3	18668	3581650	3332	-0.0662568
J000092712_J000095175_P0_004P0_AffySNP	3	3583570	4083740	501	-0.00479206
J000092712_J000095175_P0_004P0_AffySNP	3	4084997	13608934	7718	0
J000092712_J000095175_P0_004P0_AffySNP	3	13609976	13681136	54	0.444278
J000092712_J000095175_P0_004P0_AffySNP	3	13682268	28893825	10562	0.00261474
J000092712_J000095175_P0_004P0_AffySNP	3	28894618	55700645	16611	-0.00529887
J000092712_J000095175_P0_004P0_AffySNP	3	55701026	58014200	1381	0.0222921
J000092712_J000095175_P0_004P0_AffySNP	3	58015261	62051050	3551	-0.0133449
J000092712_J000095175_P0_004P0_AffySNP	3	62051553	76440544	10833	0.0249506
J000092712_J000095175_P0_004P0_AffySNP	3	76440879	87544065	6371	0.21671
J000092712_J000095175_P0_004P0_AffySNP	3	87554857	90200300	1460	0.201628
J000092712_J000095175_P0_004P0_AffySNP	3	94025100	96672102	1408	0.562189
J000092712_J000095175_P0_004P0_AffySNP	3	96672116	198169000	63831	0.0389608
J000092712_J000095175_P0_004P0_AffySNP	4	12282	43532	36	0.334629
J000092712_J000095175_P0_004P0_AffySNP	4	45414	64616	24	1.10766
J000092712_J000095175_P0_004P0_AffySNP	4	66086	5841129	3187	-0.783878
J000092712_J000095175_P0_004P0_AffySNP	4	5841539	9894236	2453	-0.688549
J000092712_J000095175_P0_004P0_AffySNP	4	9894669	12733063	2514	-0.866289
J000092712_J000095175_P0_004P0_AffySNP	4	12733600	14788854	1670	-0.817715
J000092712_J000095175_P0_004P0_AffySNP	4	14796300	24013700	6521	-0.796574
J000092712_J000095175_P0_004P0_AffySNP	4	24015706	24690264	505	-0.81922
J000092712_J000095175_P0_004P0_AffySNP	4	24692812	26293600	1218	-0.750535
J000092712_J000095175_P0_004P0_AffySNP	4	26297503	26871100	311	-0.889256
J000092712_J000095175_P0_004P0_AffySNP	4	26882786	30812885	2645	-0.765806
J000092712_J000095175_P0_004P0_AffySNP	4	30813467	34311700	2060	-0.785507
J000092712_J000095175_P0_004P0_AffySNP	4	34312200	38136000	2777	-0.945986
J000092712_J000095175_P0_004P0_AffySNP	4	38137040	41543800	2183	-0.791605
J000092712_J000095175_P0_004P0_AffySNP	4	41546800	41680800	106	-0.65832
J000092712_J000095175_P0_004P0_AffySNP	4	41681195	42336300	378	-0.745601
J000092712_J000095175_P0_004P0_AffySNP	4	42336700	44550900	1425	-0.919592
J000092712_J000095175_P0_004P0_AffySNP	4	44555094	45675900	692	-0.829181
J000092712_J000095175_P0_004P0_AffySNP	4	45680091	49146900	1981	-0.857762
J000092712_J000095175_P0_004P0_AffySNP	4	49152600	54473300	1783	0.00145016
J000092712_J000095175_P0_004P0_AffySNP	4	54474415	54747468	363	0.350623
J000092712_J000095175_P0_004P0_AffySNP	4	54747600	59317400	2990	0.0644712
J000092712_J000095175_P0_004P0_AffySNP	4	59318729	66795580	4609	0.00235956
J000092712_J000095175_P0_004P0_AffySNP	4	66795793	68086700	842	-0.169091
J000092712_J000095175_P0_004P0_AffySNP	4	68095092	77238800	5661	0.0114273
J000092712_J000095175_P0_004P0_AffySNP	4	77238835	78517108	970	0.00406566
J000092712_J000095175_P0_004P0_AffySNP	4	78517400	114234000	21942	-0.0113484
J000092712_J000095175_P0_004P0_AffySNP	4	114234789	140093895	15733	0.0390251
J000092712_J000095175_P0_004P0_AffySNP	4	140094928	176171000	22673	-0.00105791
J000092712_J000095175_P0_004P0_AffySNP	4	176182000	178414000	1570	0.13
J000092712_J000095175_P0_004P0_AffySNP	4	178414078	181058663	1986	0.00880476
J000092712_J000095175_P0_004P0_AffySNP	4	181059000	183427000	1883	0.0898965
