ID	chromosome	start	end	N	log2.ratio
146476--266-R--ORIGINATOR_PT_WES	1	817514	121382653	4995883	0.0854132
146476--266-R--ORIGINATOR_PT_WES	1	143904542	151049033	294889	0.932967
146476--266-R--ORIGINATOR_PT_WES	1	151090481	151526844	72525	1.00682
146476--266-R--ORIGINATOR_PT_WES	1	151529951	168309026	1265858	0.954611
146476--266-R--ORIGINATOR_PT_WES	1	168542046	245082100	2528012	0.0947961
146476--266-R--ORIGINATOR_PT_WES	1	245540517	248816707	137095	0.683494
146476--266-R--ORIGINATOR_PT_WES	2	224919	89244680	2434279	0.0494021
146476--266-R--ORIGINATOR_PT_WES	2	89244990	91767277	23269	-0.765305
146476--266-R--ORIGINATOR_PT_WES	2	94871500	96816776	144437	0.00560225
146476--266-R--ORIGINATOR_PT_WES	2	96878352	102684047	243661	-0.436501
146476--266-R--ORIGINATOR_PT_WES	2	105038258	124014373	382646	0.0531224
146476--266-R--ORIGINATOR_PT_WES	2	124434491	206771794	2111129	-0.360091
146476--266-R--ORIGINATOR_PT_WES	2	206774170	207946698	26942	-0.378108
146476--266-R--ORIGINATOR_PT_WES	2	207977552	241900493	1334639	-0.449223
146476--266-R--ORIGINATOR_PT_WES	3	319825	5172349	83086	-0.420484
146476--266-R--ORIGINATOR_PT_WES	3	6786661	11034714	214550	0.842987
146476--266-R--ORIGINATOR_PT_WES	3	11427118	12736699	53009	1.86943
146476--266-R--ORIGINATOR_PT_WES	3	12796583	13618397	47251	0.671598
146476--266-R--ORIGINATOR_PT_WES	3	13628037	75337042	2109798	-0.455607
146476--266-R--ORIGINATOR_PT_WES	3	75630725	75664611	407	0.255217
146476--266-R--ORIGINATOR_PT_WES	3	75664797	75665825	1022	-0.419293
146476--266-R--ORIGINATOR_PT_WES	3	75730401	75738551	2499	-0.962636
146476--266-R--ORIGINATOR_PT_WES	3	75738575	90227511	68716	0.0343769
146476--266-R--ORIGINATOR_PT_WES	3	93874275	100851960	150691	0.113026
146476--266-R--ORIGINATOR_PT_WES	3	100898688	108050472	75130	-0.124513
146476--266-R--ORIGINATOR_PT_WES	3	108060535	109494392	83337	1.41595
146476--266-R--ORIGINATOR_PT_WES	3	111070245	135248421	924149	-0.434652
146476--266-R--ORIGINATOR_PT_WES	3	136090781	143266258	248193	0.453872
146476--266-R--ORIGINATOR_PT_WES	3	143495557	187225703	999184	0.776609
146476--266-R--ORIGINATOR_PT_WES	3	187236536	197990871	335296	0.72901
146476--266-R--ORIGINATOR_PT_WES	4	60507	7007640	380050	-0.976545
146476--266-R--ORIGINATOR_PT_WES	4	7010611	49061855	634877	-1.28865
146476--266-R--ORIGINATOR_PT_WES	4	51848345	138214645	1561352	-0.390433
146476--266-R--ORIGINATOR_PT_WES	4	138219340	190026883	877668	0.154375
146476--266-R--ORIGINATOR_PT_WES	5	140417	795949	61245	1.37496
146476--266-R--ORIGINATOR_PT_WES	5	800887	41910966	833570	1.58923
146476--266-R--ORIGINATOR_PT_WES	5	42647462	45266963	58209	2.44914
146476--266-R--ORIGINATOR_PT_WES	5	52939752	102260127	954295	-0.413059
146476--266-R--ORIGINATOR_PT_WES	5	102291323	140829882	899168	0.0914172
146476--266-R--ORIGINATOR_PT_WES	5	140834646	141183999	45331	-0.00332527
146476--266-R--ORIGINATOR_PT_WES	5	141303190	173608490	919430	0.020318
146476--266-R--ORIGINATOR_PT_WES	5	173989188	175967314	18432	-0.053001
146476--266-R--ORIGINATOR_PT_WES	5	176345008	177672070	151730	0.0197685
146476--266-R--ORIGINATOR_PT_WES	5	177724455	178030619	8768	-0.219487
146476--266-R--ORIGINATOR_PT_WES	5	178185738	181195615	189553	0.0181871
146476--266-R--ORIGINATOR_PT_WES	6	335251	29889065	804088	1.18061
146476--266-R--ORIGINATOR_PT_WES	6	29889633	31558135	192688	1.08797
146476--266-R--ORIGINATOR_PT_WES	6	31572548	32460285	283755	1.08309
146476--266-R--ORIGINATOR_PT_WES	6	32518282	32746672	12884	1.35578
146476--266-R--ORIGINATOR_PT_WES	6	32829711	37045004	396781	1.14962
146476--266-R--ORIGINATOR_PT_WES	6	37269768	55331789	791318	0.981729
146476--266-R--ORIGINATOR_PT_WES	6	55514306	57961543	105940	1.08968
146476--266-R--ORIGINATOR_PT_WES	6	60425399	63788162	29266	1.43852
146476--266-R--ORIGINATOR_PT_WES	6	64590397	167157040	2056456	-0.386517
146476--266-R--ORIGINATOR_PT_WES	6	167170713	167659327	15585	-0.578762
146476--266-R--ORIGINATOR_PT_WES	6	167659350	170583760	93867	-0.45053
146476--266-R--ORIGINATOR_PT_WES	7	256591	57177540	1476633	0.0672807
146476--266-R--ORIGINATOR_PT_WES	7	63449935	158926556	3001626	0.0318578
146476--266-R--ORIGINATOR_PT_WES	8	311290	7470278	104496	-0.691589
146476--266-R--ORIGINATOR_PT_WES	8	7470545	7896499	16390	-1.16772
146476--266-R--ORIGINATOR_PT_WES	8	8318699	37872938	733983	-0.621064
146476--266-R--ORIGINATOR_PT_WES	8	38119041	39231888	91077	1.29859
146476--266-R--ORIGINATOR_PT_WES	8	39233797	42187436	97939	0.851677
146476--266-R--ORIGINATOR_PT_WES	8	42271987	43192450	64382	1.08727
146476--266-R--ORIGINATOR_PT_WES	8	47190764	48918619	65066	1.57907
146476--266-R--ORIGINATOR_PT_WES	8	50394144	68815773	385199	1.56075
146476--266-R--ORIGINATOR_PT_WES	8	68818197	70683418	42718	1.60236
146476--266-R--ORIGINATOR_PT_WES	8	71199364	96386614	449028	1.62205
146476--266-R--ORIGINATOR_PT_WES	8	96494077	112636702	376632	1.48022
146476--266-R--ORIGINATOR_PT_WES	8	115586972	119240041	47874	2.41602
146476--266-R--ORIGINATOR_PT_WES	8	119419266	144978026	889151	1.36074
146476--266-R--ORIGINATOR_PT_WES	9	154795	33750750	534080	-0.494984
146476--266-R--ORIGINATOR_PT_WES	9	33750847	33798114	1787	-0.497779
146476--266-R--ORIGINATOR_PT_WES	9	33935738	41183587	309529	-0.53806
146476--266-R--ORIGINATOR_PT_WES	9	62801443	63837645	3172	-0.720821
146476--266-R--ORIGINATOR_PT_WES	9	68387638	77321499	198594	-0.496603
146476--266-R--ORIGINATOR_PT_WES	9	77339629	138177100	2560016	-0.0942573
146476--266-R--ORIGINATOR_PT_WES	10	49134	4845796	79333	-1.36136
146476--266-R--ORIGINATOR_PT_WES	10	4966191	6462174	82806	-0.545685
146476--266-R--ORIGINATOR_PT_WES	10	6489590	9407863	51071	0.491136
146476--266-R--ORIGINATOR_PT_WES	10	11017912	12099979	37704	1.47733
146476--266-R--ORIGINATOR_PT_WES	10	12210218	35608197	501799	-1.34759
146476--266-R--ORIGINATOR_PT_WES	10	37152144	38383216	22745	-0.681519
146476--266-R--ORIGINATOR_PT_WES	10	41860304	133659554	2714516	-0.518544
146476--266-R--ORIGINATOR_PT_WES	11	205271	308290	23513	-0.526755
146476--266-R--ORIGINATOR_PT_WES	11	308363	1011490	127241	-0.525031
146476--266-R--ORIGINATOR_PT_WES	11	1016665	1018483	1749	-0.29528
146476--266-R--ORIGINATOR_PT_WES	11	1027811	1099604	16085	-0.479255
146476--266-R--ORIGINATOR_PT_WES	11	1227261	26565586	997442	-0.511405
146476--266-R--ORIGINATOR_PT_WES	11	26624347	26671420	4797	1.06013
146476--266-R--ORIGINATOR_PT_WES	11	26673265	36492740	224971	-0.342914
146476--266-R--ORIGINATOR_PT_WES	11	43321522	47292763	255447	1.74948
146476--266-R--ORIGINATOR_PT_WES	11	47333354	49981655	139343	1.44385
146476--266-R--ORIGINATOR_PT_WES	11	54603136	56663740	54583	-0.488905
146476--266-R--ORIGINATOR_PT_WES	11	56989189	134382227	3228095	-0.502365
146476--266-R--ORIGINATOR_PT_WES	12	66802	34022573	1309602	0.00543346
146476--266-R--ORIGINATOR_PT_WES	12	38316781	40442140	70601	0.00540735
146476--266-R--ORIGINATOR_PT_WES	12	40443529	133231689	3784341	-4.14E-07
146476--266-R--ORIGINATOR_PT_WES	13	19026186	45516396	733365	0.48929
146476--266-R--ORIGINATOR_PT_WES	13	45702368	114299210	949280	0.0802601
146476--266-R--ORIGINATOR_PT_WES	14	19097438	93694175	2373650	-0.123914
146476--266-R--ORIGINATOR_PT_WES	14	93694265	105597873	612512	0.309523
146476--266-R--ORIGINATOR_PT_WES	14	105707021	106276924	36527	0.259361
146476--266-R--ORIGINATOR_PT_WES	14	106324340	106359721	1660	0.36365
146476--266-R--ORIGINATOR_PT_WES	14	106466127	106592773	4859	0.0559664
146476--266-R--ORIGINATOR_PT_WES	14	106592891	106675341	2080	0.0589336
146476--266-R--ORIGINATOR_PT_WES	14	106675378	106874951	5024	0.0230277
146476--266-R--ORIGINATOR_PT_WES	15	19964897	76203891	2348080	-0.521509
146476--266-R--ORIGINATOR_PT_WES	15	76203999	76941869	23822	-0.418866
146476--266-R--ORIGINATOR_PT_WES	15	77615193	101775533	749401	-0.504627
146476--266-R--ORIGINATOR_PT_WES	16	31779	32882559	1924402	-0.358315
146476--266-R--ORIGINATOR_PT_WES	16	33570199	35344059	20586	-0.640938
146476--266-R--ORIGINATOR_PT_WES	16	47129165	90094884	1748266	-0.340731
146476--266-R--ORIGINATOR_PT_WES	17	161655	805328	31865	0.333503
146476--266-R--ORIGINATOR_PT_WES	17	822193	1006211	5047	0.2409
146476--266-R--ORIGINATOR_PT_WES	17	1007068	3240689	179523	0.304009
146476--266-R--ORIGINATOR_PT_WES	17	3278090	3420792	5046	0.203118
146476--266-R--ORIGINATOR_PT_WES	17	3420961	4932557	207241	0.0114669
146476--266-R--ORIGINATOR_PT_WES	17	4942473	4972271	11438	-0.0634238
146476--266-R--ORIGINATOR_PT_WES	17	4973825	12896668	664286	-0.133627
146476--266-R--ORIGINATOR_PT_WES	17	12917104	15538016	33749	-0.327402
146476--266-R--ORIGINATOR_PT_WES	17	15540420	15700268	14254	-0.304062
146476--266-R--ORIGINATOR_PT_WES	17	15701081	18333025	214815	-0.135678
146476--266-R--ORIGINATOR_PT_WES	17	18335698	18490624	7477	-0.205831
146476--266-R--ORIGINATOR_PT_WES	17	18490655	21244091	142932	-0.192634
146476--266-R--ORIGINATOR_PT_WES	17	21291273	21295771	661	-0.0704207
146476--266-R--ORIGINATOR_PT_WES	17	21295924	21300898	1884	0.112458
146476--266-R--ORIGINATOR_PT_WES	17	21300945	22567587	8819	-0.0958662
146476--266-R--ORIGINATOR_PT_WES	17	27301794	33292116	438357	0.312505
146476--266-R--ORIGINATOR_PT_WES	17	34037703	45816736	1042274	-0.519822
146476--266-R--ORIGINATOR_PT_WES	17	45821521	59964765	660438	0.00853826
146476--266-R--ORIGINATOR_PT_WES	17	60055399	74230806	566381	0.295605
146476--266-R--ORIGINATOR_PT_WES	17	74237420	83094678	943129	0.0536765
146476--266-R--ORIGINATOR_PT_WES	18	117394	334758	13492	-1.34809
146476--266-R--ORIGINATOR_PT_WES	18	335316	2847363	49904	-0.640449
146476--266-R--ORIGINATOR_PT_WES	18	2847732	7117783	96058	-1.34548
146476--266-R--ORIGINATOR_PT_WES	18	7774440	10797364	89873	0.000825737
146476--266-R--ORIGINATOR_PT_WES	18	10911053	15005737	107195	-0.538422
146476--266-R--ORIGINATOR_PT_WES	18	21778279	80159596	955951	-0.518364
146476--266-R--ORIGINATOR_PT_WES	19	282401	500215	20574	-0.398495
146476--266-R--ORIGINATOR_PT_WES	19	501695	536437	3379	-0.384627
146476--266-R--ORIGINATOR_PT_WES	19	536900	4511128	530536	-0.461696
146476--266-R--ORIGINATOR_PT_WES	19	4511266	4538587	7234	-0.492359
146476--266-R--ORIGINATOR_PT_WES	19	4548233	5712097	91632	-0.43594
146476--266-R--ORIGINATOR_PT_WES	19	5787214	5866805	7524	-0.462421
146476--266-R--ORIGINATOR_PT_WES	19	5867166	7012000	126057	-0.503546
146476--266-R--ORIGINATOR_PT_WES	19	7012015	7168202	11614	0.393922
146476--266-R--ORIGINATOR_PT_WES	19	7362771	8888697	222953	1.4903
146476--266-R--ORIGINATOR_PT_WES	19	8888707	8902271	8801	1.25506
146476--266-R--ORIGINATOR_PT_WES	19	8902282	9126866	54266	1.39229
146476--266-R--ORIGINATOR_PT_WES	19	9140263	9856678	60214	1.94852
146476--266-R--ORIGINATOR_PT_WES	19	9857463	10296493	80535	1.77831
146476--266-R--ORIGINATOR_PT_WES	19	10446221	10687243	45400	1.78578
146476--266-R--ORIGINATOR_PT_WES	19	10759823	11116394	52878	1.32404
146476--266-R--ORIGINATOR_PT_WES	19	11116804	11172840	6578	1.16085
146476--266-R--ORIGINATOR_PT_WES	19	11194146	11416414	45539	1.2355
146476--266-R--ORIGINATOR_PT_WES	19	11419282	11767280	35507	1.09037
146476--266-R--ORIGINATOR_PT_WES	19	11780188	13956550	229716	-0.519029
146476--266-R--ORIGINATOR_PT_WES	19	13980744	14396495	36222	-0.424974
146476--266-R--ORIGINATOR_PT_WES	19	14397573	17420641	323751	-0.444747
146476--266-R--ORIGINATOR_PT_WES	19	17420841	18462024	158918	0.599656
146476--266-R--ORIGINATOR_PT_WES	19	18465674	23361032	256575	-0.482008
146476--266-R--ORIGINATOR_PT_WES	19	23362202	24127230	18800	0.499699
146476--266-R--ORIGINATOR_PT_WES	19	29076139	33521955	133237	1.13847
146476--266-R--ORIGINATOR_PT_WES	19	33800378	34779639	53388	1.5514
146476--266-R--ORIGINATOR_PT_WES	19	34929937	36750879	266177	0.950698
146476--266-R--ORIGINATOR_PT_WES	19	36825391	38742506	220651	1.84198
146476--266-R--ORIGINATOR_PT_WES	19	38771666	38790900	2450	1.37119
146476--266-R--ORIGINATOR_PT_WES	19	38790991	39198261	53563	1.89103
