ID	chromosome	start	end	N	log2.ratio
HCC8_P3_AffySNP	1	110329868	114668503	3125	-2.26939
HCC8_P3_AffySNP	1	114669174	117539373	1991	-1.96796
HCC8_P3_AffySNP	1	117541054	121482979	2069	1.48343
HCC8_P3_AffySNP	1	144007049	153346263	3623	1.44596
HCC8_P3_AffySNP	1	153354347	157196700	1866	1.15339
HCC8_P3_AffySNP	1	157197616	159815940	1970	1.41607
HCC8_P3_AffySNP	1	159816313	159872118	39	0.873573
HCC8_P3_AffySNP	1	159872274	162118046	1424	1.28739
HCC8_P3_AffySNP	1	162118984	175039603	9386	1.45705
HCC8_P3_AffySNP	1	175040048	175845344	656	1.31672
HCC8_P3_AffySNP	1	175846158	178900497	1917	1.4831
HCC8_P3_AffySNP	1	178901653	186204020	5071	1.38783
HCC8_P3_AffySNP	1	186204057	192181214	3871	1.647
HCC8_P3_AffySNP	1	192181271	194031757	1410	1.52036
HCC8_P3_AffySNP	1	194033705	197769540	2338	1.7309
HCC8_P3_AffySNP	1	197769821	200249988	1714	1.51802
HCC8_P3_AffySNP	1	200252578	205493742	3602	1.25231
HCC8_P3_AffySNP	1	205494924	213962023	5655	1.36714
HCC8_P3_AffySNP	1	213962554	214939196	767	1.5292
HCC8_P3_AffySNP	1	214939861	216982542	1449	1.72791
HCC8_P3_AffySNP	1	216982853	221324693	3114	1.57111
HCC8_P3_AffySNP	1	221325536	230275697	5638	1.31278
HCC8_P3_AffySNP	1	230278905	238014970	5922	1.40993
HCC8_P3_AffySNP	1	238015523	239557049	1236	1.63894
HCC8_P3_AffySNP	1	239564682	244373372	3630	1.45477
HCC8_P3_AffySNP	1	244377971	249224388	3060	1.3692
HCC8_P3_AffySNP	1	61735	110329825	67468	-2.1181
HCC8_P3_AffySNP	2	102840107	104434005	994	0.0891439
HCC8_P3_AffySNP	2	104434484	109538541	3395	0.0342491
HCC8_P3_AffySNP	2	109539382	109878866	261	-0.0891757
HCC8_P3_AffySNP	2	109883195	115200708	2515	-0.038763
HCC8_P3_AffySNP	2	115201516	119879588	3047	0.101009
HCC8_P3_AffySNP	2	119879640	121318166	815	-0.0827875
HCC8_P3_AffySNP	2	12126414	23709257	8417	0.0822434
HCC8_P3_AffySNP	2	121326297	123363785	1317	-0.126046
HCC8_P3_AffySNP	2	123366840	127578555	2783	0.131392
HCC8_P3_AffySNP	2	127578744	129903894	1480	-0.153211
HCC8_P3_AffySNP	2	12784	3480710	2451	-0.119522
HCC8_P3_AffySNP	2	129904740	129962864	44	0.397371
HCC8_P3_AffySNP	2	129963836	137806047	4662	0.00850479
HCC8_P3_AffySNP	2	137810419	151896033	8556	0.137188
HCC8_P3_AffySNP	2	151896128	154246449	1646	-0.0395312
HCC8_P3_AffySNP	2	154250223	156553307	1348	0.270225
HCC8_P3_AffySNP	2	156553448	161916845	3262	-0.0109176
HCC8_P3_AffySNP	2	161917087	168802906	3957	0.223948
HCC8_P3_AffySNP	2	168804733	177620620	5813	-0.0312509
HCC8_P3_AffySNP	2	177621188	179016993	938	-0.0118514
HCC8_P3_AffySNP	2	179017303	230270946	31881	0.0397597
HCC8_P3_AffySNP	2	230271780	236407861	3906	-0.144759
HCC8_P3_AffySNP	2	236407963	236836773	285	-0.207398
HCC8_P3_AffySNP	2	236837395	238117179	879	-0.14104
HCC8_P3_AffySNP	2	23709783	33947264	6090	-0.10642
HCC8_P3_AffySNP	2	238118447	243089456	2876	-0.260819
HCC8_P3_AffySNP	2	33947985	40380254	4811	0.0303882
HCC8_P3_AffySNP	2	3481637	8704293	4404	0.0820661
HCC8_P3_AffySNP	2	40380512	42129211	1532	0.175322
HCC8_P3_AffySNP	2	42129595	43132737	648	-0.124636
HCC8_P3_AffySNP	2	43133492	43856927	478	-0.0390584
HCC8_P3_AffySNP	2	43857539	68187172	16667	0.0189608
HCC8_P3_AffySNP	2	68187435	70684451	1656	-0.113496
HCC8_P3_AffySNP	2	70687052	73387162	1561	-0.0221637
HCC8_P3_AffySNP	2	73387386	85510425	7822	0.0808919
HCC8_P3_AffySNP	2	85510965	86423848	545	-0.219329
HCC8_P3_AffySNP	2	86424249	86725067	212	-0.0421692
HCC8_P3_AffySNP	2	86730182	88976528	768	0.0404029
HCC8_P3_AffySNP	2	8704633	9277443	336	-0.147066
HCC8_P3_AffySNP	2	9277612	9991013	492	-0.0946156
HCC8_P3_AffySNP	2	95550958	102839755	3699	-0.0156994
HCC8_P3_AffySNP	2	9991527	12123111	1531	-0.156183
HCC8_P3_AffySNP	3	116706685	120603324	2460	-0.0417543
HCC8_P3_AffySNP	3	12014169	12531612	321	-0.0807452
HCC8_P3_AffySNP	3	120605718	121862665	619	-0.00388836
HCC8_P3_AffySNP	3	121865014	126926658	3293	-0.100915
HCC8_P3_AffySNP	3	12531928	13621589	874	-0.292029
HCC8_P3_AffySNP	3	126927930	127459072	329	-0.357384
HCC8_P3_AffySNP	3	127459754	128272530	519	-0.23364
HCC8_P3_AffySNP	3	128275496	129401990	537	-0.222801
HCC8_P3_AffySNP	3	129403615	133172801	2455	-0.0538361
HCC8_P3_AffySNP	3	133173247	133536512	249	-0.145035
HCC8_P3_AffySNP	3	133536655	133702524	125	-0.118456
HCC8_P3_AffySNP	3	133703660	134095212	233	-0.0309237
HCC8_P3_AffySNP	3	134105985	143512288	5780	-0.023748
HCC8_P3_AffySNP	3	13621911	20268299	4118	-0.112317
HCC8_P3_AffySNP	3	143512737	150116989	4136	0.200249
HCC8_P3_AffySNP	3	150117235	157146307	4351	0.0245716
HCC8_P3_AffySNP	3	157147521	159503191	1435	0.0286874
HCC8_P3_AffySNP	3	159509531	160450483	561	-0.0766331
HCC8_P3_AffySNP	3	160451155	169042352	5102	0.127922
HCC8_P3_AffySNP	3	169042979	171284445	1422	-0.0743961
HCC8_P3_AffySNP	3	171286059	176667893	3615	0.149494
HCC8_P3_AffySNP	3	176671048	186983728	6262	-0.0397282
HCC8_P3_AffySNP	3	186984141	190588344	2723	0.129767
HCC8_P3_AffySNP	3	190588704	193945997	2348	-0.00655529
HCC8_P3_AffySNP	3	193946488	197896118	2008	-0.164733
HCC8_P3_AffySNP	3	20270313	20549062	198	-0.778932
HCC8_P3_AffySNP	3	20556763	29248261	6420	0.0648023
HCC8_P3_AffySNP	3	29248536	31541300	1822	0.198936
HCC8_P3_AffySNP	3	31541383	32330322	493	-0.164045
HCC8_P3_AffySNP	3	32330611	32398251	67	0.224266
HCC8_P3_AffySNP	3	32398383	36794175	2765	0.0418907
HCC8_P3_AffySNP	3	36794597	40614922	2468	-0.146556
HCC8_P3_AffySNP	3	3973674	8896787	4317	0.00022431
HCC8_P3_AffySNP	3	40615380	41584779	761	0.130915
HCC8_P3_AffySNP	3	41585371	43384243	1087	-0.0375798
HCC8_P3_AffySNP	3	43384957	45096815	846	-0.0467472
HCC8_P3_AffySNP	3	45097147	46322044	895	-0.0941867
HCC8_P3_AffySNP	3	46323449	58646484	6775	-0.157835
HCC8_P3_AffySNP	3	58646552	58654095	14	0.918842
HCC8_P3_AffySNP	3	58654265	61506098	2584	0.111483
HCC8_P3_AffySNP	3	60345	3967467	3589	0.049523
HCC8_P3_AffySNP	3	61506509	61717616	181	0.179129
HCC8_P3_AffySNP	3	61718585	62281358	489	-2.31823
HCC8_P3_AffySNP	3	62281436	62689206	345	0.10369
HCC8_P3_AffySNP	3	62689369	66753918	3278	0.163849
HCC8_P3_AffySNP	3	66754007	75397213	6338	0
HCC8_P3_AffySNP	3	75404163	83693110	4603	0.208148
HCC8_P3_AffySNP	3	83699919	87648553	2219	0.135514
HCC8_P3_AffySNP	3	87648763	116702342	15337	0.0521243
HCC8_P3_AffySNP	3	8896800	12013859	2228	-0.207804
HCC8_P3_AffySNP	4	101904205	112559821	6406	-0.745169
HCC8_P3_AffySNP	4	112561857	114115082	969	-1.05224
HCC8_P3_AffySNP	4	114121119	121765162	4808	-0.587561
HCC8_P3_AffySNP	4	121765247	122096742	202	-1.04969
HCC8_P3_AffySNP	4	122097886	124527554	1358	-0.848088
HCC8_P3_AffySNP	4	12281	8096507	4904	-2.39178
HCC8_P3_AffySNP	4	124527848	139071461	8472	-0.572719
HCC8_P3_AffySNP	4	139071884	144682159	3708	-0.724753
HCC8_P3_AffySNP	4	144682805	144986863	211	-0.0519204
HCC8_P3_AffySNP	4	144990003	155054910	5852	-0.860158
HCC8_P3_AffySNP	4	155055498	158981959	2618	-0.571395
HCC8_P3_AffySNP	4	158982525	184494224	16790	-0.718317
HCC8_P3_AffySNP	4	184494284	185286073	563	-1.06861
HCC8_P3_AffySNP	4	185291142	185328614	35	-7.48646
HCC8_P3_AffySNP	4	185335866	185365032	37	-7.48646
HCC8_P3_AffySNP	4	185365317	185391244	21	-7.48646
HCC8_P3_AffySNP	4	185391408	191027923	3818	-0.766857
HCC8_P3_AffySNP	4	25956505	26905033	584	-2.85878
HCC8_P3_AffySNP	4	26906040	49148922	14061	-2.2852
HCC8_P3_AffySNP	4	49154618	55709958	2190	1.47816
HCC8_P3_AffySNP	4	55709975	84029069	17491	-2.14709
HCC8_P3_AffySNP	4	8097469	25956191	12617	-2.19341
HCC8_P3_AffySNP	4	84035696	84439640	249	-3.25058
HCC8_P3_AffySNP	4	84439820	85765541	860	-2.33883
HCC8_P3_AffySNP	4	85765619	101904104	9750	-0.658978
