ID	chromosome	start	end	N	log2.ratio
135848--042-T--JI5_P0_WES	1	817514	1627156	148209	-0.534925
135848--042-T--JI5_P0_WES	1	1634663	1739519	24488	-0.554792
135848--042-T--JI5_P0_WES	1	1817785	12794567	659308	-0.490929
135848--042-T--JI5_P0_WES	1	13004962	13116501	1478	-0.49129
135848--042-T--JI5_P0_WES	1	13116573	16058512	133812	-0.485093
135848--042-T--JI5_P0_WES	1	16058636	16062214	1137	-0.487869
135848--042-T--JI5_P0_WES	1	16198838	16535691	28502	-0.461994
135848--042-T--JI5_P0_WES	1	16535801	16760970	14772	-0.599065
135848--042-T--JI5_P0_WES	1	16761087	21176463	278219	-0.497472
135848--042-T--JI5_P0_WES	1	21424721	21481814	6126	-0.388809
135848--042-T--JI5_P0_WES	1	21483357	39492473	1128796	-0.499444
135848--042-T--JI5_P0_WES	1	39511903	39774309	25254	-0.479263
135848--042-T--JI5_P0_WES	1	39774887	108185862	1918586	-0.551493
135848--042-T--JI5_P0_WES	1	108223511	108470718	5174	-0.638399
135848--042-T--JI5_P0_WES	1	108470836	121382640	582564	-0.52999
135848--042-T--JI5_P0_WES	1	143885124	248816707	4369723	4.88E-07
135848--042-T--JI5_P0_WES	2	224919	91578722	2641218	0.358454
135848--042-T--JI5_P0_WES	2	95025851	95954125	45542	0.227563
135848--042-T--JI5_P0_WES	2	96130118	96902716	110090	0.379168
135848--042-T--JI5_P0_WES	2	97083670	97162102	7769	0.0709442
135848--042-T--JI5_P0_WES	2	97163117	142988925	1084633	0.347859
135848--042-T--JI5_P0_WES	2	143952728	185815314	1233496	-0.0295057
135848--042-T--JI5_P0_WES	2	186500647	202188321	530347	0.662978
135848--042-T--JI5_P0_WES	2	202231822	229836785	1027830	0.933246
135848--042-T--JI5_P0_WES	2	229840671	240598004	492088	-0.536768
135848--042-T--JI5_P0_WES	2	240629912	240682330	2503	-0.511367
135848--042-T--JI5_P0_WES	2	240682449	241897212	163933	-0.558101
135848--042-T--JI5_P0_WES	3	319825	75737230	2712563	-0.0315718
135848--042-T--JI5_P0_WES	3	75737252	76435032	4085	-0.156481
135848--042-T--JI5_P0_WES	3	77565064	90227511	65638	0.275203
135848--042-T--JI5_P0_WES	3	93886282	195668760	2815322	0.345622
135848--042-T--JI5_P0_WES	3	195671037	195984171	38084	0.393723
135848--042-T--JI5_P0_WES	3	196027293	198035752	129414	0.411874
135848--042-T--JI5_P0_WES	4	60507	48992121	1131098	-0.560323
135848--042-T--JI5_P0_WES	4	51860656	90309428	912054	-0.606491
135848--042-T--JI5_P0_WES	4	90313099	174766987	1419719	-0.0778476
135848--042-T--JI5_P0_WES	4	176125390	177440260	28269	-0.676109
135848--042-T--JI5_P0_WES	4	177442224	190026883	208407	-0.0293113
135848--042-T--JI5_P0_WES	5	143645	19591065	402980	0.380291
135848--042-T--JI5_P0_WES	5	21461973	44809344	466255	-0.127388
135848--042-T--JI5_P0_WES	5	50399214	124630706	1332186	-0.623768
135848--042-T--JI5_P0_WES	5	124638008	181155043	2068740	-0.000264822
135848--042-T--JI5_P0_WES	6	203722	33076153	1268540	0.0494184
135848--042-T--JI5_P0_WES	6	33080571	33086818	2324	0.16319
135848--042-T--JI5_P0_WES	6	33117233	57961543	1220911	0.0378848
135848--042-T--JI5_P0_WES	6	60425399	73190615	149464	-0.0458038
135848--042-T--JI5_P0_WES	6	73194466	76042021	116514	0.330466
135848--042-T--JI5_P0_WES	6	78867927	80106935	47730	1.57289
135848--042-T--JI5_P0_WES	6	81495336	166956052	1881862	-0.598885
135848--042-T--JI5_P0_WES	6	166997846	170569798	119043	-0.578341
135848--042-T--JI5_P0_WES	7	193091	1937113	116959	0.997234
135848--042-T--JI5_P0_WES	7	2002003	57469686	1479204	0.371084
135848--042-T--JI5_P0_WES	7	63621021	108234726	1620825	0.381665
135848--042-T--JI5_P0_WES	7	108515606	142749413	993578	0.689686
135848--042-T--JI5_P0_WES	7	142750365	142752101	1289	1.52971
135848--042-T--JI5_P0_WES	7	142752336	159043279	640330	0.706242
135848--042-T--JI5_P0_WES	8	300217	7055322	105901	-0.661578
135848--042-T--JI5_P0_WES	8	7414807	7896714	25570	-1.519
135848--042-T--JI5_P0_WES	8	8318699	38030499	788100	-0.614858
135848--042-T--JI5_P0_WES	8	38148699	42322565	183270	-0.0573586
135848--042-T--JI5_P0_WES	8	46846189	140300545	1886910	1.43044
135848--042-T--JI5_P0_WES	8	140450975	145053585	465811	1.74252
135848--042-T--JI5_P0_WES	9	154933	40928919	955355	0.312129
135848--042-T--JI5_P0_WES	9	40928964	41183705	1039	0.0442072
135848--042-T--JI5_P0_WES	9	61104542	63814236	2879	0.349889
135848--042-T--JI5_P0_WES	9	63819388	75146941	170408	0.32737
135848--042-T--JI5_P0_WES	9	75891271	78236434	78519	0.36749
135848--042-T--JI5_P0_WES	9	78236611	109037916	836806	0.288842
135848--042-T--JI5_P0_WES	9	109038312	109149495	8642	0.362456
135848--042-T--JI5_P0_WES	9	109174508	133155959	1332095	0.374209
135848--042-T--JI5_P0_WES	9	133206211	138177303	576288	0.394853
135848--042-T--JI5_P0_WES	10	49156	38451454	958685	0.30388
135848--042-T--JI5_P0_WES	10	41860304	114468336	2405148	0.332817
135848--042-T--JI5_P0_WES	10	114491927	133626299	639582	-0.0699558
135848--042-T--JI5_P0_WES	11	193194	50287785	1936271	-0.0675867
135848--042-T--JI5_P0_WES	11	54591999	134986767	3567856	-0.0499205
135848--042-T--JI5_P0_WES	12	66973	10388652	686363	-0.564544
135848--042-T--JI5_P0_WES	12	10435845	11134221	39681	-0.689501
135848--042-T--JI5_P0_WES	12	11267932	22325913	285387	-0.607334
135848--042-T--JI5_P0_WES	12	23536367	26122622	45141	1.2917
135848--042-T--JI5_P0_WES	12	26495159	33382575	226052	-0.122733
135848--042-T--JI5_P0_WES	12	38316781	133219447	4024461	-0.0405541
135848--042-T--JI5_P0_WES	13	19173750	110627655	1694352	1.03907
135848--042-T--JI5_P0_WES	13	110637351	114299067	187358	0.687908
135848--042-T--JI5_P0_WES	14	19097638	21941380	209936	0.34873
135848--042-T--JI5_P0_WES	14	21941580	22525105	54292	1.38117
135848--042-T--JI5_P0_WES	14	22525836	106802646	3009176	0.329323
135848--042-T--JI5_P0_WES	15	20014037	97758615	3296976	-0.0797296
135848--042-T--JI5_P0_WES	15	97970615	101848788	136242	0.336582
135848--042-T--JI5_P0_WES	16	31779	18836292	1123808	0.0145976
135848--042-T--JI5_P0_WES	16	19030273	32880816	943038	0.369031
135848--042-T--JI5_P0_WES	16	32881147	34163367	20493	0.20823
135848--042-T--JI5_P0_WES	16	46474402	90094884	1971126	0.35633
135848--042-T--JI5_P0_WES	17	172420	3027045	202783	-0.534298
135848--042-T--JI5_P0_WES	17	3062621	3514860	20677	-0.691864
135848--042-T--JI5_P0_WES	17	3518738	18388304	1168593	-0.577529
135848--042-T--JI5_P0_WES	17	18411516	18494397	4626	-0.00217782
135848--042-T--JI5_P0_WES	17	18594591	21291328	143880	-0.646888
135848--042-T--JI5_P0_WES	17	21291341	22299650	11240	-0.642285
