ID	chromosome	start	end	N	log2.ratio
218243--119-R--AL-N97_P0_WES	1	65797	16409637	1028723	-0.0221836
218243--119-R--AL-N97_P0_WES	1	16410051	16760375	23546	-0.058456
218243--119-R--AL-N97_P0_WES	1	16760870	108223802	3378561	0.0235947
218243--119-R--AL-N97_P0_WES	1	108228902	108698482	14548	0.0677129
218243--119-R--AL-N97_P0_WES	1	108699770	121375092	567930	0.0297607
218243--119-R--AL-N97_P0_WES	1	143904542	153747169	498426	0.01631
218243--119-R--AL-N97_P0_WES	1	153760643	153952018	28872	-0.0117341
218243--119-R--AL-N97_P0_WES	1	153953602	212064871	2520511	0.0235469
218243--119-R--AL-N97_P0_WES	1	212078402	215758586	98883	0.0552108
218243--119-R--AL-N97_P0_WES	1	215782962	248324336	1031221	0.00859822
218243--119-R--AL-N97_P0_WES	1	248324466	248918526	32946	-0.114559
218243--119-R--AL-N97_P0_WES	2	224970	25531366	534393	0.00675675
218243--119-R--AL-N97_P0_WES	2	25607501	26476291	64884	0.0243807
218243--119-R--AL-N97_P0_WES	2	26476954	36597994	456610	0.0197989
218243--119-R--AL-N97_P0_WES	2	36738038	37096370	33043	0.0214093
218243--119-R--AL-N97_P0_WES	2	37175230	90022295	1362974	0.0177574
218243--119-R--AL-N97_P0_WES	2	94871500	96277695	74024	-0.151459
218243--119-R--AL-N97_P0_WES	2	96373104	97164626	79486	-0.0568567
218243--119-R--AL-N97_P0_WES	2	97167456	186833292	2230307	0.0165833
218243--119-R--AL-N97_P0_WES	2	186833326	189449164	53336	0.0365398
218243--119-R--AL-N97_P0_WES	2	189458804	242004279	1995028	0.0253033
218243--119-R--AL-N97_P0_WES	3	197562	46675575	1325379	0.022993
218243--119-R--AL-N97_P0_WES	3	46863605	48440161	157257	0.0370071
218243--119-R--AL-N97_P0_WES	3	48549975	75664995	1097847	0.0147317
218243--119-R--AL-N97_P0_WES	3	75665147	75737477	2257	-0.339614
218243--119-R--AL-N97_P0_WES	3	75737521	75738575	1035	-0.447308
218243--119-R--AL-N97_P0_WES	3	75738658	89479327	67797	-0.0213175
218243--119-R--AL-N97_P0_WES	3	94049424	123682213	743394	0.053822
218243--119-R--AL-N97_P0_WES	3	123692593	124821637	57197	0.0586763
218243--119-R--AL-N97_P0_WES	3	124913280	198036087	1968526	0.0219367
218243--119-R--AL-N97_P0_WES	4	60507	15008489	580775	0.504121
218243--119-R--AL-N97_P0_WES	4	15481185	15979352	30614	-0.951693
218243--119-R--AL-N97_P0_WES	4	15991031	47903141	493482	0.488967
218243--119-R--AL-N97_P0_WES	4	47943438	48171530	14568	-1.06108
218243--119-R--AL-N97_P0_WES	4	48176047	48998582	42505	0.0518351
218243--119-R--AL-N97_P0_WES	4	51911324	190026599	2609914	0.479702
218243--119-R--AL-N97_P0_WES	5	192037	44809060	821800	0.0102882
218243--119-R--AL-N97_P0_WES	5	50399127	62403624	222059	0.022029
218243--119-R--AL-N97_P0_WES	5	62442893	64801318	25988	0.0890452
218243--119-R--AL-N97_P0_WES	5	64807887	157294978	2366780	0.0337898
218243--119-R--AL-N97_P0_WES	5	157302621	159268771	58862	-0.00363383
218243--119-R--AL-N97_P0_WES	5	160232255	181242113	660866	-0.00707683
218243--119-R--AL-N97_P0_WES	6	203878	9809491	196478	-0.0337147
218243--119-R--AL-N97_P0_WES	6	9845601	10633809	15929	-0.0291265
218243--119-R--AL-N97_P0_WES	6	10724710	31978837	839234	0.00113045
218243--119-R--AL-N97_P0_WES	6	31979060	32046573	39537	-0.0967864
218243--119-R--AL-N97_P0_WES	6	32049328	32521873	82671	-0.000111191
218243--119-R--AL-N97_P0_WES	6	32521878	32578966	895	-0.0766321
218243--119-R--AL-N97_P0_WES	6	32579176	32741532	7505	-0.00985886
218243--119-R--AL-N97_P0_WES	6	32741569	57382049	1220380	0.0220684
218243--119-R--AL-N97_P0_WES	6	60447280	167968930	2227638	0.0224233
218243--119-R--AL-N97_P0_WES	6	167976186	168035883	2252	0.0812708
218243--119-R--AL-N97_P0_WES	6	168042007	170584276	75387	-0.045718
218243--119-R--AL-N97_P0_WES	7	195501	57469686	1489729	-0.00829951
218243--119-R--AL-N97_P0_WES	7	63349653	158880133	3017913	-4.05E-07
218243--119-R--AL-N97_P0_WES	8	241076	42193396	1102568	-0.0260404
218243--119-R--AL-N97_P0_WES	8	42329377	43317266	54480	0.0202227
218243--119-R--AL-N97_P0_WES	8	46848090	98140932	852937	-0.00646878
218243--119-R--AL-N97_P0_WES	8	98141058	102234866	103254	0.0109282
218243--119-R--AL-N97_P0_WES	8	102238547	140450963	633796	-0.0271074
218243--119-R--AL-N97_P0_WES	8	140451086	140558626	8278	-0.113099
218243--119-R--AL-N97_P0_WES	8	140572797	144889982	399218	-0.0715465
218243--119-R--AL-N97_P0_WES	9	214864	4490880	83631	-0.0484436
218243--119-R--AL-N97_P0_WES	9	4561227	5754988	45081	-0.0235086
218243--119-R--AL-N97_P0_WES	9	5762533	8528506	74738	-0.0241494
218243--119-R--AL-N97_P0_WES	9	12708910	19076675	118097	-1.02329
218243--119-R--AL-N97_P0_WES	9	19120754	21816759	66196	0.007278
218243--119-R--AL-N97_P0_WES	9	21818311	27292531	41396	-0.762216
218243--119-R--AL-N97_P0_WES	9	27556782	41047537	428790	-0.0283572
218243--119-R--AL-N97_P0_WES	9	62801145	69174240	23009	-0.100145
218243--119-R--AL-N97_P0_WES	9	69375729	138175895	2795260	-0.02512
218243--119-R--AL-N97_P0_WES	10	49156	15104062	368164	-0.0406768
218243--119-R--AL-N97_P0_WES	10	15119335	15860304	27740	-0.04517
218243--119-R--AL-N97_P0_WES	10	16520601	38451403	489767	-0.0245096
218243--119-R--AL-N97_P0_WES	10	41860263	89743993	1162269	-0.268182
218243--119-R--AL-N97_P0_WES	10	89758631	133626074	1676838	-0.0216121
218243--119-R--AL-N97_P0_WES	11	193194	284538	21351	-0.100201
218243--119-R--AL-N97_P0_WES	11	294523	320237	4268	-0.00647514
218243--119-R--AL-N97_P0_WES	11	320394	1013987	131760	-0.0617361
218243--119-R--AL-N97_P0_WES	11	1016665	1017684	975	0.34884
218243--119-R--AL-N97_P0_WES	11	1019375	1085368	15798	-0.0569416
218243--119-R--AL-N97_P0_WES	11	1085499	1099604	5909	0.010402
218243--119-R--AL-N97_P0_WES	11	1099802	1459408	58561	-0.0171715
218243--119-R--AL-N97_P0_WES	11	1470259	1630383	11086	0.01826
218243--119-R--AL-N97_P0_WES	11	1630413	12262381	638380	-0.0347213
218243--119-R--AL-N97_P0_WES	11	12350065	13727770	29967	-0.012605
218243--119-R--AL-N97_P0_WES	11	14080204	18242853	167422	-0.00136318
218243--119-R--AL-N97_P0_WES	11	18245826	18281986	2984	-0.12167
218243--119-R--AL-N97_P0_WES	11	18286534	19714441	73710	0.00844496
218243--119-R--AL-N97_P0_WES	11	19832446	49186881	684338	-0.00324894
218243--119-R--AL-N97_P0_WES	11	55343762	134986767	3460836	-0.0129666
218243--119-R--AL-N97_P0_WES	12	67521	32841124	1359644	0.436348
218243--119-R--AL-N97_P0_WES	12	39332793	54539004	995040	0.47014
218243--119-R--AL-N97_P0_WES	12	54570123	54856930	12914	-0.932036
218243--119-R--AL-N97_P0_WES	12	55294483	97245366	1272690	0.531176
218243--119-R--AL-N97_P0_WES	12	98455257	98735719	23125	-1.00817
218243--119-R--AL-N97_P0_WES	12	98773027	109185531	436668	0.427343
218243--119-R--AL-N97_P0_WES	12	109227202	117049359	429569	0.427173
218243--119-R--AL-N97_P0_WES	12	117222662	133219299	806604	0.410608
218243--119-R--AL-N97_P0_WES	13	19026335	114073541	1645261	-0.0358176
218243--119-R--AL-N97_P0_WES	14	19302080	23127531	336088	0.0125088
218243--119-R--AL-N97_P0_WES	14	23129640	23372831	26183	-0.0489566
218243--119-R--AL-N97_P0_WES	14	23375770	106714960	2711186	-0.0174602
218243--119-R--AL-N97_P0_WES	15	19964897	23441777	59389	-0.0780756
218243--119-R--AL-N97_P0_WES	15	23443797	65715634	1894858	-0.0730663
218243--119-R--AL-N97_P0_WES	15	65719292	72737059	283066	0.0143812
218243--119-R--AL-N97_P0_WES	15	72737433	101819000	1073543	-0.0206636
218243--119-R--AL-N97_P0_WES	16	31779	1229252	209357	-0.0799919
218243--119-R--AL-N97_P0_WES	16	1229703	1241453	1045	-0.341632
218243--119-R--AL-N97_P0_WES	16	1241799	35022642	1812100	-0.0262507
218243--119-R--AL-N97_P0_WES	16	46568907	89859148	1814605	-0.0249798
218243--119-R--AL-N97_P0_WES	16	89907376	90044390	25047	-0.0137386
218243--119-R--AL-N97_P0_WES	17	172420	5350688	490377	-0.0249347
218243--119-R--AL-N97_P0_WES	17	5373236	5386713	3207	-0.184929
218243--119-R--AL-N97_P0_WES	17	5387279	22567449	1071932	-0.0335289
218243--119-R--AL-N97_P0_WES	17	27294326	39215266	758198	-0.0207572
218243--119-R--AL-N97_P0_WES	17	39216742	40096975	106556	-0.016218
218243--119-R--AL-N97_P0_WES	17	40126126	63918844	1565395	-0.00728007
218243--119-R--AL-N97_P0_WES	17	63940657	65636134	93961	-0.0523689
218243--119-R--AL-N97_P0_WES	17	65636955	83135686	1191003	-0.0184587
218243--119-R--AL-N97_P0_WES	18	196829	15005786	384973	-0.0120908
218243--119-R--AL-N97_P0_WES	18	21622915	80160338	1017913	-0.0508563
218243--119-R--AL-N97_P0_WES	19	107233	24127230	2538211	-0.0353769
218243--119-R--AL-N97_P0_WES	19	29527145	39100121	669876	-0.0252343
218243--119-R--AL-N97_P0_WES	19	39100315	39393732	31868	0.0293386
218243--119-R--AL-N97_P0_WES	19	39415263	39902117	58741	-0.0093363
218243--119-R--AL-N97_P0_WES	19	39902691	40047622	18104	-0.055179
218243--119-R--AL-N97_P0_WES	19	40213169	50454347	1248107	-0.0083455
218243--119-R--AL-N97_P0_WES	19	50460331	50662808	21962	-0.0025237
218243--119-R--AL-N97_P0_WES	19	50667931	54574172	409803	-0.0614898
218243--119-R--AL-N97_P0_WES	19	54574782	54866036	35905	0.0135967
218243--119-R--AL-N97_P0_WES	19	54936204	58563286	431016	-0.0354995
218243--119-R--AL-N97_P0_WES	20	157484	26208315	740955	0.363114
218243--119-R--AL-N97_P0_WES	20	30391040	35145275	307338	0.21503
218243--119-R--AL-N97_P0_WES	20	35252136	35286917	5718	-0.917091
218243--119-R--AL-N97_P0_WES	20	35291675	47001518	617134	0.483479
218243--119-R--AL-N97_P0_WES	20	47167102	47188001	2109	-1.04177
218243--119-R--AL-N97_P0_WES	20	47224384	49123277	79292	0.807897
218243--119-R--AL-N97_P0_WES	20	49223116	49275733	14706	-1.02146
218243--119-R--AL-N97_P0_WES	20	49325647	63595827	515162	0.252088
218243--119-R--AL-N97_P0_WES	20	63597891	64327831	91918	0.415031
218243--119-R--AL-N97_P0_WES	21	8987468	10718728	13552	-0.552307
218243--119-R--AL-N97_P0_WES	21	13408294	46602462	955976	-0.0361248
218243--119-R--AL-N97_P0_WES	22	15820136	19210386	124695	-0.0463602
218243--119-R--AL-N97_P0_WES	22	19224142	23999952	354094	-0.0225244
218243--119-R--AL-N97_P0_WES	22	24000289	50772964	1582169	-0.00641921
218243--119-R--AL-N99_P0_WES	1	65797	16410051	1016841	-0.0434391
218243--119-R--AL-N99_P0_WES	1	16450275	16757377	15490	-0.149923
218243--119-R--AL-N99_P0_WES	1	16757393	121375092	3949180	0.0261527
218243--119-R--AL-N99_P0_WES	1	143904542	149860800	133157	-0.0414448
218243--119-R--AL-N99_P0_WES	1	149900352	152109445	264107	-0.0226517
218243--119-R--AL-N99_P0_WES	1	152155645	153952018	122515	-0.00251672
218243--119-R--AL-N99_P0_WES	1	153953602	211360648	2484285	0.0163101
218243--119-R--AL-N99_P0_WES	1	211669466	212626528	33905	0.0548323
218243--119-R--AL-N99_P0_WES	1	212626607	247896174	1096079	0.0274018
218243--119-R--AL-N99_P0_WES	1	247896401	248918526	51726	-0.0781026
218243--119-R--AL-N99_P0_WES	2	224970	91752542	2463907	0.0273451
218243--119-R--AL-N99_P0_WES	2	94871500	98333643	227236	-0.0896364
218243--119-R--AL-N99_P0_WES	2	98370047	242004279	4226723	0.0448326
218243--119-R--AL-N99_P0_WES	3	197562	75630725	2611994	0.0249822
218243--119-R--AL-N99_P0_WES	3	75630786	75731922	2091	-0.244488
218243--119-R--AL-N99_P0_WES	3	75736727	75738575	1812	-0.257491
218243--119-R--AL-N99_P0_WES	3	75738658	89479327	68414	0.0233904
218243--119-R--AL-N99_P0_WES	3	93884991	197990830	2780533	0.0580082
218243--119-R--AL-N99_P0_WES	4	60507	15008489	575514	0.516162
218243--119-R--AL-N99_P0_WES	4	15481185	15979352	30674	-0.914271
218243--119-R--AL-N99_P0_WES	4	15991031	47903141	494304	0.531499
218243--119-R--AL-N99_P0_WES	4	47943438	48171530	14671	-1.00542
218243--119-R--AL-N99_P0_WES	4	48176047	48998582	42850	0.0734548
218243--119-R--AL-N99_P0_WES	4	51886926	190026599	2615091	0.523974
218243--119-R--AL-N99_P0_WES	5	192037	6751313	183051	-0.0182464
218243--119-R--AL-N99_P0_WES	5	6754649	7757666	8437	0.117401
218243--119-R--AL-N99_P0_WES	5	7802250	36301272	389746	0.0391918
218243--119-R--AL-N99_P0_WES	5	36680023	38823275	84641	0.126614
218243--119-R--AL-N99_P0_WES	5	38917472	45262925	148467	0.0587425
218243--119-R--AL-N99_P0_WES	5	50399127	62403624	222767	0.0680196
218243--119-R--AL-N99_P0_WES	5	62442893	64807942	27325	0.148106
218243--119-R--AL-N99_P0_WES	5	64977191	181234256	3093466	0.0379223
218243--119-R--AL-N99_P0_WES	6	203878	31979060	1059964	-0.00262462
218243--119-R--AL-N99_P0_WES	6	31982874	32046573	36984	-0.207674
218243--119-R--AL-N99_P0_WES	6	32049328	32460012	80640	-0.0251682
218243--119-R--AL-N99_P0_WES	6	32521873	32741586	8693	-0.0944034
218243--119-R--AL-N99_P0_WES	6	32741593	57382049	1213701	0.0210389
218243--119-R--AL-N99_P0_WES	6	60447280	166931095	2181546	0.0509601
218243--119-R--AL-N99_P0_WES	6	166952374	167000051	2108	-0.267455
218243--119-R--AL-N99_P0_WES	6	167010805	170584276	120804	-0.0255402
218243--119-R--AL-N99_P0_WES	7	195501	57469686	1483325	-0.00359913
218243--119-R--AL-N99_P0_WES	7	63349653	158317079	2981816	0.00498291
218243--119-R--AL-N99_P0_WES	8	241076	43317266	1164221	-0.012837
218243--119-R--AL-N99_P0_WES	8	46848090	144889982	1998796	-0.00398257
218243--119-R--AL-N99_P0_WES	9	214864	8528506	205250	-0.00164979
218243--119-R--AL-N99_P0_WES	9	12708910	19076675	118368	-1.02553
218243--119-R--AL-N99_P0_WES	9	19120754	21818311	66698	0.0481103
218243--119-R--AL-N99_P0_WES	9	21838146	27292531	41393	-0.744669
218243--119-R--AL-N99_P0_WES	9	27556782	41047537	427345	-0.0339979
218243--119-R--AL-N99_P0_WES	9	62801443	63819729	2820	-0.0736473
218243--119-R--AL-N99_P0_WES	9	63837645	138175895	2807384	-0.027842
218243--119-R--AL-N99_P0_WES	10	49156	38451403	888821	-0.0430562
218243--119-R--AL-N99_P0_WES	10	41860304	133626074	2859626	-0.0058597
218243--119-R--AL-N99_P0_WES	11	193194	49186881	1856238	-0.0232733
218243--119-R--AL-N99_P0_WES	11	55343762	134986767	3438577	-0.0294186
218243--119-R--AL-N99_P0_WES	12	67521	32841124	1356655	0.453222
218243--119-R--AL-N99_P0_WES	12	39332793	54539004	990138	0.461957
218243--119-R--AL-N99_P0_WES	12	54570123	54856930	12783	-0.873822
218243--119-R--AL-N99_P0_WES	12	55294483	97245366	1269026	0.530401
218243--119-R--AL-N99_P0_WES	12	98455257	98735719	23340	-0.931544
218243--119-R--AL-N99_P0_WES	12	98773027	110536939	576112	0.485079
218243--119-R--AL-N99_P0_WES	12	110641777	112836595	143894	0.315073
218243--119-R--AL-N99_P0_WES	12	112875665	133219299	948749	0.404125
218243--119-R--AL-N99_P0_WES	13	19026335	114074009	1646816	-0.00282377
218243--119-R--AL-N99_P0_WES	14	19302111	106714960	3066543	-0.0166192
218243--119-R--AL-N99_P0_WES	15	19964897	43630820	996740	-0.0332684
218243--119-R--AL-N99_P0_WES	15	43632484	43696406	16553	-0.219024
218243--119-R--AL-N99_P0_WES	15	43697320	101819000	2290514	-0.0155941
218243--119-R--AL-N99_P0_WES	16	31779	1229252	206865	-0.117914
